"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504100000266","Nodes","266",21.000000,32.881108,"DDS demands","Known Flow",219543.200897,665428.583279,,0.000000,,,,,,-3.450000,,,,-3.085051,-3.450000,,"",,,,,,"D1 PROFILE",,,
"62504100000368","Nodes","368",21.000000,28.801079,"DDS demands","Known Flow",219454.200872,665496.708297,,0.000000,,,-2.509999,,,-15.989999,,,,-16.543030,-18.499999,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,
"62504100000250","Nodes","250",21.000000,28.781297,"DDS demands","Known Flow",219406.950860,667035.208716,,0.000000,-6.000000,,,,,-24.889998,,,,-27.622390,-30.889997,,"","C1 PROFILE",,,,,"D1 PROFILE",,,
"62504100000253","Nodes","253",21.000000,24.191214,"Default Known Flow Node","Known Flow",219224.825810,666531.208579,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000285","Nodes","285",21.000000,27.021462,"Default Known Flow Node","Known Flow",219333.700840,667383.208811,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000246","Nodes","246,",24.000000,25.295853,"DDS demands","Known Flow",219231.825812,667345.083800,,0.000000,,,,,,-19.160000,,,,-17.133215,-19.160000,,"",,,,,,"D1 PROFILE",,,
"62504100000251","Nodes","251",21.000000,28.864786,"DDS demands","Known Flow",219407.325860,667043.458718,,0.000000,,,,,,-3.229999,,,,-2.888323,-3.229999,,"",,,,,,"D1 PROFILE",,,
"62504100000395","Nodes","395",21.000000,32.224639,"DDS demands","Known Flow",220126.381055,660713.147996,,0.000000,,,,,,-3.930000,,,,-3.514276,-3.930000,,"",,,,,,"D1 PROFILE",,,
"62504100000267","Nodes","267",21.000000,32.620981,"Default Known Flow Node","Known Flow",219563.450902,663908.207865,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000372","Nodes","372",21.000000,33.481586,"DDS demands","Known Flow",219568.950904,664444.583011,,0.000000,,,,,,-4.300000,,,,-3.845137,-4.300000,,"",,,,,,"D1 PROFILE",,,
"62504100000347","Nodes","347",21.000000,33.246992,"DDS demands","Known Flow",219926.451001,668019.385984,,0.000000,,,,,,-12.789999,,,,-11.437046,-12.789999,,"",,,,,,"D1 PROFILE",,,
"62504100000104","Nodes","104, P00085515, SHORE ROAD, 39.50scm/h",24.000000,24.425223,"CSEP DDS Matched","Known Flow",219303.294605,666261.183325,,0.000000,,,,,,,-39.499999,,,-35.321608,-39.499999,,"",,,,,,,"DC PROFILE",,
"62504100000387","Nodes","387, P00095414, SHORE ROAD, 29.00scm/h",24.000000,23.718272,"CSEP DDS Matched","Known Flow",219237.338065,666589.893750,,0.000000,,,,,,-28.200001,-29.000000,,,-51.149267,-57.200004,,"",,,,,,"D1 PROFILE","DC PROFILE",,
"62504100000254","Nodes","254",21.000000,24.320062,"Default Known Flow Node","Known Flow",219257.201819,666482.957566,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100001019","Nodes","019, P00049308, Kilmory Gardens, 20.40scm/h",24.000000,24.442214,"CSEP DDS Matched","Known Flow",219234.075813,667160.958750,,0.000000,,,,,,,-20.399999,,,-18.242045,-20.399999,,"",,,,,,,"DC PROFILE",,
"62504100000005","Nodes","5",21.000000,34.067904,"Default Known Flow Node","Known Flow",219385.947846,669265.340626,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000008","Nodes","8",21.000000,34.067904,"Default Known Flow Node","Known Flow",219395.340568,669263.832005,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000007","Nodes","7",21.000000,34.067904,"Default Known Flow Node","Known Flow",219397.454426,669262.708132,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100002006","Nodes","2006",21.000000,33.269720,"Default Known Flow Node","Known Flow",219904.704190,668018.702865,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100002008","Nodes","2008",21.000000,33.103043,"Default Known Flow Node","Known Flow",219960.935468,668020.027166,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100002012","Nodes","2012",21.000000,33.103184,"Default Known Flow Node","Known Flow",219960.537371,668019.720937,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100002007","Nodes","2007",21.000000,33.103184,"Default Known Flow Node","Known Flow",219960.278485,668019.521795,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100002017","Nodes","2017",21.000000,24.040287,"Default Known Flow Node","Known Flow",219229.809044,666589.600065,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000010","Nodes",,21.000000,35.909851,"Default Known Flow Node","Known Flow",219766.078252,667005.936875,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000006","Nodes","Logger 9587, 38 Shore Road Skelmorlie",21.000000,24.242120,"Val Log Cath","Known Flow",219239.024747,666311.173750,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000004","Nodes","Logger7039 , The Bungalow Routenburn Road",21.000000,34.179136,"Val Log Cath","Known Flow",219874.017438,661274.260608,,0.000000,,,,,,-2.049999,,,,-1.833146,-2.049999,,"",,,,,,"D1 PROFILE",,,
"62504100006170","Nodes","6170",21.000000,34.694019,"DDS demands","Known Flow",219695.555099,661686.407265,,0.000000,,,,,,-1.129999,,,,-1.010466,-1.129999,,"",,,,,,"D1 PROFILE",,,
"62504100002003","Nodes","2003",21.000000,28.191579,"Default Known Flow Node","Known Flow",219364.778977,668342.035386,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504100000041","Nodes",,0.000000,33.309981,"Default Known Flow Node","Known Flow",219903.560479,668030.570374,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
