"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62501000002476","Nodes","-326854","21.000000","36.723465","Default Known Flow Node","Known Flow","185855.152542","729826.156051","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000000060","Nodes","60","21.000000","36.626873","DDS demands","Known Flow","185876.117740","729850.202808","","0.000000","-8.569999","","","","","","","","-7.663447","-8.569999","","","C1 PROFILE","","","","","","",""
"62501000001035","Nodes","1035","21.000000","40.166188","Default Known Flow Node","Known Flow","186055.761013","729272.817755","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000001036","Nodes","","21.000000","39.829168","Default Known Flow Node","Known Flow","185990.690772","729312.930662","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000002494","Nodes","-7","21.000000","39.221392","Default Known Flow Node","Known Flow","186035.937784","729209.995634","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000002386","Nodes","-13","21.000000","41.058086","Default Known Flow Node","Known Flow","186071.630794","729327.797666","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000001019","Nodes","1019,","21.000000","22.827665","Default Known Flow Node","Known Flow","186157.061439","730928.947955","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000001034","Nodes","1034","21.000000","27.711190","Default Known Flow Node","Known Flow","185803.973683","728658.681169","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62501000001030","Nodes","","21.000000","27.996944","DDS demands","Known Flow","185961.865880","728463.468246","","0.000000","","-39.999997","","","","","","","-35.768714","-39.999997","","","","C2 PROFILE","","","","","",""
"62501000001032","Nodes","1032,","21.000000","39.736592","Default Known Flow Node","Known Flow","185872.632843","730259.447759","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
