"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62502200000134","Nodes","134",21.000000,32.533619,"DDS demands","Known Flow",242367.524106,645533.085865,,0.000000,,,,,,-30.829999,,,,,-27.568737,-30.829999,,"",,,,,,"D1 PROFILE",,,,
"62502200000130","Nodes","130",21.000000,42.598502,"Default Known Flow Node","Known Flow",242128.522041,645564.874874,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000002","Nodes","HOLM STREET DG, Clocked, SITE ID 3223",21.000000,44.000001,"Default Known Pressure Node","Known Pressure",242085.317030,645531.625865,,5938.799902,,,,,,,,,,,1696.506865,1897.196202,,"",,,,,,,,,,
"62502200000047","Nodes","47",21.000000,35.444875,"DDS demands","Known Flow",241757.041940,646292.611072,,0.000000,,,,,,-5.349999,,,,,-4.784065,-5.349999,,"",,,,,,"D1 PROFILE",,,,
"62502200000077","Nodes","77",21.000000,35.129542,"DDS demands","Known Flow",241835.514962,646049.235005,,0.000000,,,,0.000000,,-15.100000,,,,,-13.502690,-15.100000,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,
"62502200000204","Nodes","204",21.000000,28.442977,"DDS demands","Known Flow",242329.908096,646007.887994,,0.000000,,,,,,-1.200000,,,,,-1.073061,-1.200000,,"",,,,,,"D1 PROFILE",,,,
"62502200000116","Nodes","P13131953 - N12731, KILWINNING ROAD, 244.06",26.000000,34.115972,"CSEP DDS Matched","Known Flow",241233.688888,645686.800000,,0.000000,,,,,,,-90.180003,,,,-80.640570,-90.180003,,"",,,,,,,"DC PROFILE",,,
"62502200000064","Nodes","64",21.000000,27.800618,"DDS demands","Known Flow",242074.938027,646193.447045,,0.000000,,,-2.240000,,,-11.149999,,,,,-11.973577,-13.390000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,
"62502200000057","Nodes","57",21.000000,28.288384,"DDS demands","Known Flow",242191.255058,646459.032117,,0.000000,,,-2.730000,,,-36.669998,,,,,-35.232182,-39.400000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,
"62502200000066","Nodes","66",21.000000,28.219758,"DDS demands","Known Flow",242294.411087,646265.115064,,0.000000,,,,,,-2.910000,,,,,-2.602174,-2.910000,,"",,,,,,"D1 PROFILE",,,,
"62502200000058","Nodes","58",21.000000,27.189357,"DDS demands","Known Flow",242076.783912,646228.120386,,0.000000,,,,,,-2.589999,,,,,-2.316024,-2.589999,,"",,,,,,"D1 PROFILE",,,,
"62502200000200","Nodes","200",21.000000,27.142278,"DDS demands","Known Flow",242388.673112,645832.063946,,0.000000,,,,,,-10.499999,,,,,-9.389287,-10.499999,,"",,,,,,"D1 PROFILE",,,,
"62502200000215","Nodes","215",21.000000,26.873531,"DDS demands","Known Flow",242440.513126,645831.324946,,0.000000,,,,,,-6.959999,,,,,-6.223756,-6.959999,,"",,,,,,"D1 PROFILE",,,,
"62502200000206","Nodes","206",21.000000,26.759216,"DDS demands","Known Flow",242445.269128,645900.435965,,0.000000,,,,,,-8.709999,,,,,-7.788637,-8.709999,,"",,,,,,"D1 PROFILE",,,,
"62502200000137","Nodes","P00037273 - N9600, DRAFFEN FARM, 29.54",25.000000,30.625877,"CSEP DDS Matched","Known Flow",242470.313134,645332.439810,,0.000000,,,,,,,-29.540000,,,,-26.415196,-29.540000,,"",,,,,,,"DC PROFILE",,,
"62502200000205","Nodes","205",21.000000,24.830790,"DDS demands","Known Flow",242400.624115,645949.100978,,0.000000,-4.349999,,,,,-4.010000,,,,,-7.475661,-8.360000,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,
"62502200000095","Nodes","95",21.000000,24.656607,"DDS demands","Known Flow",242412.603119,646020.225998,,0.000000,,,,,,-7.519999,,,,,-6.724518,-7.519999,,"",,,,,,"D1 PROFILE",,,,
"62502200000069","Nodes","P00008579 - PPS9134, DEAN ST, 12.55",24.500000,25.130224,"CSEP DDS Matched","Known Flow",242488.956139,646357.405089,,0.000000,-1.200000,,,,,-26.420000,-12.550000,,,,-35.920735,-40.169999,,"","C1 PROFILE",,,,,"D1 PROFILE","DC PROFILE",,,
"62502200000063","Nodes","63",21.000000,26.894097,"DDS demands","Known Flow",242077.976028,646253.541061,,0.000000,,,,,,-15.829999,,,,,-14.155468,-15.829999,,"",,,,,,"D1 PROFILE",,,,
"62502200011724","Nodes","11724",21.000000,49.523922,"Default Known Flow Node","Known Flow",242593.531208,645708.123666,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502210000430","Nodes","CUTSBURN RD RRI",21.000000,49.999990,"Default Known Pressure Node","Known Pressure",242596.988169,645717.485915,,0.000000,,,,,,,,,,,65.420982,73.159998,,"",,,,,,,,,,
"62502210000464","Nodes","RIGGHEAD (2) RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",241400.212843,645933.104974,,99999.896702,,,,,,,,,,,58.660693,65.600001,,"",,,,,,,,,,
"62502200000456","Nodes","RIGHEAD RRI",21.000000,50.000007,"Default Known Pressure Node","Known Pressure",241399.574843,645937.446975,,0.000000,,,,,,,,,,,60.887296,68.090001,,"",,,,,,,,,,
"62502210000451","Nodes","STANDALANE DG, Clocked, SITE ID 3225",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",241554.244885,645852.197952,,2514.867902,,,,,,,,,,,934.050658,1044.544759,,"",,,,,,,,,,
"62502200000366","Nodes","366",21.000000,23.018938,"DDS demands","Known Flow",242437.447125,646096.372018,,0.000000,,,,,,-3.420000,,,,,-3.058225,-3.420000,,"",,,,,,"D1 PROFILE",,,,
"62502200000003","Nodes","3",21.000000,36.245161,"Default Known Flow Node","Known Flow",241644.971582,646000.761813,,0.000000,,,,,,-11.790000,,,,,-10.542829,-11.790000,,"",,,,,,"D1 PROFILE",,,,
"62502210000456","Nodes","10000456",21.000000,49.520935,"DDS demands","Known Flow",241402.853844,645937.881975,,0.000000,,,,,,-1.840000,,,,,-1.645360,-1.840000,,"",,,,,,"D1 PROFILE",,,,
"62502200000214","Nodes","214",21.000000,35.206305,"Default Known Flow Node","Known Flow",241715.062300,646205.939508,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000006","Nodes","6",21.000000,33.330774,"Default Known Flow Node","Known Flow",241507.247872,645936.656975,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000008","Nodes","8",21.000000,34.111983,"Default Known Flow Node","Known Flow",241229.679797,645687.508907,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000009","Nodes","9",21.000000,33.175550,"Default Known Flow Node","Known Flow",241287.912629,646108.934891,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200000020","Nodes","20",21.000000,32.574990,"DDS demands","Known Flow",241352.343983,645524.025573,,0.000000,,,,,,-21.030000,,,,,-18.805402,-21.030000,,"",,,,,,"D1 PROFILE",,,,
