"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62503700000108","Nodes","108","21.000000","27.444442","DDS demands","Known Flow","238161.979257","664826.932353","","0.000000","","","","","-8.300000","","","","","-7.422008","-8.300000","","","","","","","D1 PROFILE","","","",""
"62503700000134","Nodes","134","21.000000","27.494550","DDS demands","Known Flow","238161.867413","664856.056278","","0.000000","","","","","-12.250000","","","","","-10.954169","-12.250000","","","","","","","D1 PROFILE","","","",""
"62503700003017","Nodes","-118880","21.000000","27.672337","Default Known Flow Node","Known Flow","238155.162752","664937.179876","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000106","Nodes","106","21.000000","27.966233","DDS demands","Known Flow","238148.172712","664995.430043","","0.000000","","","","","-18.549999","","","","","-16.587741","-18.549999","","","","","","","D1 PROFILE","","","",""
"62503700000092","Nodes","92","21.000000","30.496817","Default Known Flow Node","Known Flow","238894.552927","664832.628677","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000217","Nodes","217","21.000000","30.500428","DDS demands","Known Flow","238887.090897","664841.353171","","0.000000","","","","","-51.029997","","","","","-45.631936","-51.029997","","","","","","","D1 PROFILE","","","",""
"62503700000093","Nodes","93","21.000000","30.619515","DDS demands","Known Flow","238859.679600","664916.573709","","0.000000","","","","","-34.360000","","","","","-30.725328","-34.360000","","","","","","","D1 PROFILE","","","",""
"62503700000095","Nodes","95","21.000000","30.192506","DDS demands","Known Flow","239026.581701","664961.646521","","0.000000","","","","","-18.839999","","","","","-16.847065","-18.839999","","","","","","","D1 PROFILE","","","",""
"62503700000088","Nodes","88","21.000000","30.098061","DDS demands","Known Flow","239305.663646","664861.429903","","0.000000","","","","","-9.909999","","","","","-8.861699","-9.909999","","","","","","","D1 PROFILE","","","",""
"62503700000285","Nodes","285","21.000000","31.946674","DDS demands","Known Flow","239290.613293","664967.685450","","0.000000","","","-3.250000","","-3.859999","","","","","-6.357889","-7.109999","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000094","Nodes","94","21.000000","31.533783","DDS demands","Known Flow","239098.617432","664880.924292","","0.000000","","","-1.900000","","-42.719999","","","","","-39.900004","-44.619996","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700003087","Nodes","-119033","21.000000","31.813770","Default Known Flow Node","Known Flow","239288.000269","664993.024160","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000279","Nodes","RANFURLY DG - GCM 3338","21.000000","32.000001","Default Known Pressure Node","Known Pressure","239292.979510","664975.809291","","999998.967025","","","","","","","","","","372.420697","416.476444","","","","","","","","","","",""
"62503700003107","Nodes","-151635","21.000000","31.993777","Default Known Flow Node","Known Flow","239292.388334","664979.689594","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000423","Nodes","423","21.000000","30.857638","DDS demands","Known Flow","239556.394031","664901.412341","","0.000000","","","","","-7.560000","","","","","-6.760287","-7.560000","","","","","","","D1 PROFILE","","","",""
"62503700000270","Nodes","270","21.000000","30.587048","DDS demands","Known Flow","239724.965809","664926.643327","","0.000000","","","","","-2.829999","","","","","-2.530636","-2.829999","","","","","","","D1 PROFILE","","","",""
"62503700000086","Nodes","86","21.000000","30.856945","DDS demands","Known Flow","239559.858345","664902.114949","","0.000000","","","","","-3.110000","","","","","-2.781017","-3.110000","","","","","","","D1 PROFILE","","","",""
"62503700000113","Nodes","113","21.000000","27.911528","DDS demands","Known Flow","237811.958287","665007.638807","","0.000000","","","","","-6.630000","","","","","-5.928664","-6.630000","","","","","","","D1 PROFILE","","","",""
