"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"62504500000202","Nodes","202","21.000000","64.735130","Default Known Flow Node","Known Flow","234832.006056","658822.933481","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62504500000201","Nodes","201","21.000000","64.735130","DDS","Known Flow","234903.306076","658749.351461","","0.000000","","","","","","-16.679999","","","-14.915554","-16.679999","","","","","","","","D1 PROFILE","",""
"62504500000233","Nodes","233","21.000000","32.397881","Default Known Flow Node","Known Flow","235524.810081","659110.043972","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62504500000131","Nodes","131","21.000000","32.566005","DDS","Known Flow","235539.205249","659087.831553","","0.000000","","","","","","-2.269999","","","-2.029874","-2.269999","","","","","","","","D1 PROFILE","",""
"62504500000228","Nodes","228","21.000000","40.836504","DDS","Known Flow","235208.836159","658894.457501","","0.000000","","","","","","-3.670000","","","-3.281779","-3.670000","","","","","","","","D1 PROFILE","",""
"62504500001006","Nodes","","21.000000","40.565366","Default Known Flow Node","Known Flow","235219.230489","658883.273910","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62504500001257","Nodes","-102","21.000000","39.883982","Default Known Flow Node","Known Flow","235242.026849","658858.649776","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62504500000168","Nodes","168","21.000000","35.338174","DDS","Known Flow","235439.462221","658779.237469","","0.000000","","","","","","-14.049999","","","-12.563761","-14.049999","","","","","","","","D1 PROFILE","",""
"62504500001002","Nodes","","21.000000","35.046684","DDS","Known Flow","235481.844821","658817.077642","","0.000000","","","","","","-15.510000","","","-13.869319","-15.510000","","","","","","","","D1 PROFILE","",""
"62504500000171","Nodes","171","21.000000","34.942761","DDS","Known Flow","235559.541254","658905.869504","","0.000000","","","","","","-9.300000","","","-8.316226","-9.300000","","","","","","","","D1 PROFILE","",""
"62504500000166","Nodes","166","21.000000","39.429810","DDS","Known Flow","235251.087170","658858.447491","","0.000000","","","","-1.460000","","","","","-1.305558","-1.460000","","","","","","C4 PROFILE","","","",""
"62504500001001","Nodes","","21.000000","38.226697","Default Known Flow Node","Known Flow","235292.542341","658812.100413","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62504500000198","Nodes","198","21.000000","36.362384","Default Known Flow Node","Known Flow","235362.331200","658736.581458","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
