"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"62506700000009","Nodes","9",21.000000,47.907117,"DDS demands","Known Flow",235776.607313,614429.734401,,0.000000,-1.290000,,,-3.739999,,,,-4.497916,-5.030000,,"","C1 PROFILE",,,"D1 PROFILE",,,
"62506700000008","Nodes","8",21.000000,47.883696,"DDS demands","Known Flow",235803.899321,614449.615407,,0.000000,,,,-29.450001,,,,-26.334717,-29.450001,,"",,,,"D1 PROFILE",,,
"62506700000010","Nodes","10",21.000000,54.943275,"Default Known Flow Node","Known Flow",236316.312244,614669.567595,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000021","Nodes","21",21.000000,47.800872,"DDS demands","Known Flow",235617.379270,614333.739375,,0.000000,,,,-3.390000,,,,-3.031398,-3.390000,,"",,,,"D1 PROFILE",,,
"62506700000020","Nodes","20",21.000000,48.607388,"DDS demands","Known Flow",235872.352339,614375.999387,,0.000000,,,,-4.519999,,,,-4.041864,-4.519999,,"",,,,"D1 PROFILE",,,
"62506700000047","Nodes","47",21.000000,47.973540,"Default Known Flow Node","Known Flow",235733.443301,614486.348417,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000023","Nodes","23",21.000000,45.952774,"DDS demands","Known Flow",236388.833668,614428.469846,,0.000000,,,,-7.459999,,,,-6.670865,-7.459999,,"",,,,"D1 PROFILE",,,
"62506700301231","Nodes","301231",21.000000,46.254944,"Default Known Flow Node","Known Flow",236452.145550,614422.723694,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000013","Nodes","13",21.000000,46.660697,"DDS demands","Known Flow",236465.465216,614486.120353,,0.000000,,,,-23.530000,,,,-21.040948,-23.530000,,"",,,,"D1 PROFILE",,,
"62506700000014","Nodes","14",21.000000,45.177593,"DDS demands","Known Flow",236577.776531,614461.170410,,0.000000,,,,-24.069999,,,,-21.523824,-24.069999,,"",,,,"D1 PROFILE",,,
"62506700301237","Nodes","301237",21.000000,44.220547,"Default Known Flow Node","Known Flow",236575.028986,614398.249781,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000016","Nodes","16",21.000000,43.790773,"DDS demands","Known Flow",236647.490550,614481.936416,,0.000000,,,,-2.819999,,,,-2.521694,-2.819999,,"",,,,"D1 PROFILE",,,
"62506700000015","Nodes","15",21.000000,42.997880,"DDS demands","Known Flow",236565.065528,614287.918363,,0.000000,,,,-4.060000,,,,-3.630524,-4.060000,,"",,,,"D1 PROFILE",,,
"62506700301233","Nodes","301233",21.000000,41.332565,"DDS demands","Known Flow",236510.088513,614304.903368,,0.000000,,,,-10.350000,,,,-9.255155,-10.350000,,"",,,,"D1 PROFILE",,,
"62506700000026","Nodes","26",21.000000,42.851077,"Default Known Flow Node","Known Flow",236596.797536,614280.360361,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000017","Nodes","17",21.000000,35.265894,"DDS demands","Known Flow",236720.124570,614460.067410,,0.000000,,,,-17.139999,,,,-15.326894,-17.139999,,"",,,,"D1 PROFILE",,,
"62506700301245","Nodes","301245",21.000000,35.275231,"Default Known Flow Node","Known Flow",236742.979576,614454.336408,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
