"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"625043-3601626","Nodes","-3601626",21.000000,40.670510,"Default Known Flow Node","Known Flow",221048.750000,648383.625000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000013","Nodes","logger,Bowfield road, 9455",21.000000,29.353869,"DDS demands","Known Flow",220456.500000,647438.625000,,0.000000,,,,,-6.150000,,,,,-5.499440,-6.150000,,"",,,,,"D1 PROFILE",,,,
"62504300000193","Nodes","193",21.000000,29.225343,"DDS demands","Known Flow",220467.593750,647412.875000,,0.000000,,,,,,,-1.820000,,,-1.627476,-1.820000,,"",,,,,,,"",,
"62504300000175","Nodes","175",21.000000,29.104647,"DDS demands","Known Flow",220488.250000,647388.875000,,0.000000,,,,,-11.790000,,,,,-10.542829,-11.790000,,"",,,,,"D1 PROFILE",,,,
"62504300000126","Nodes","126",21.000000,28.415065,"DDS demands","Known Flow",220460.531250,647319.312500,,0.000000,,,,,-2.279999,,,,,-2.038816,-2.279999,,"",,,,,"D1 PROFILE",,,,
"62504300000125","Nodes","125",21.000000,28.169966,"DDS demands","Known Flow",220402.250000,647311.375000,,0.000000,,,,,-7.780000,,,,,-6.957015,-7.780000,,"",,,,,"D1 PROFILE",,,,
"62504300000174","Nodes","174",21.000000,29.675909,"DDS demands","Known Flow",220076.625000,647245.000000,,0.000000,,,,,-0.319999,,,,,-0.286149,-0.319999,,"",,,,,"D1 PROFILE",,,,
"62504300000251","Nodes","251",21.000000,29.542162,"DDS demands","Known Flow",220044.328125,647300.750000,,0.000000,,,,,-4.409999,,,,,-3.943500,-4.409999,,"",,,,,"D1 PROFILE",,,,
"62504300000029","Nodes","29",21.000000,29.412648,"Default Known Flow Node","Known Flow",220015.375000,647279.875000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000026","Nodes","26",21.000000,31.335228,"DDS demands","Known Flow",220118.125000,647396.125000,,0.000000,,,,,-10.710000,,,,,-9.577073,-10.710000,,"",,,,,"D1 PROFILE",,,,
"62504300001007","Nodes","logger,Hyndman Road,9206",21.000000,31.329002,"Val Log Cath","Known Flow",220093.218750,647379.250000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000140","Nodes","140",21.000000,31.143259,"DDS demands","Known Flow",220042.875000,647375.250000,,0.000000,,,,,-3.930000,,,,,-3.514276,-3.930000,,"",,,,,"D1 PROFILE",,,,
"62504300000022","Nodes","22",21.000000,34.627970,"DDS demands","Known Flow",220053.750000,647721.875000,,0.000000,,,-2.669999,,-33.910000,,,,,-32.710491,-36.579999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
