"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62500300005305","Nodes","5305",21.000000,29.244753,"Default Known Flow Node","Known Flow",227035.827935,675341.585976,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300004927","Nodes","4927",21.000000,29.003912,"DDS demands","Known Flow",227014.077929,675366.585983,,0.000000,,,,,,,-14.100000,,,,,,,,,,-12.608473,-14.100000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004928","Nodes","4928",21.000000,28.507935,"DDS demands","Known Flow",227070.577945,675386.710988,,0.000000,,,,,,,-6.239999,,,,,,,,,,-5.579919,-6.239999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004929","Nodes","4929",21.000000,28.786334,"DDS demands","Known Flow",227003.327926,675380.835987,,0.000000,,,,,,,-5.800000,,,,,,,,,,-5.186464,-5.800000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300004936","Nodes","4936",21.000000,27.311542,"DDS demands","Known Flow",226929.702906,675316.085969,,0.000000,,,,,,,-16.020000,,,,,,,,,,-14.325371,-16.020000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500301463567","Nodes","-1463567",21.000000,28.622614,"DDS demands","Known Flow",227145.327965,675429.086000,,0.000000,,-24.999999,,,,,,,,,,,,,,,-22.355447,-24.999999,,"",,"C2 PROFILE",,,,,,,,,,,,,,
"62500300004066","Nodes","4066",21.000000,29.539923,"DDS demands","Known Flow",227706.328118,675411.460995,,0.000000,,,,,,,,,,,-12.000000,,,,,,-10.730614,-12.000000,,"",,,,,,,,,,,"I2 PROFILE",,,,,
"62500300002535","Nodes","-2535",21.000000,30.204483,"Default Known Flow Node","Known Flow",227647.203101,675423.585998,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500301463851","Nodes","-1463851",21.000000,32.895060,"Default Known Flow Node","Known Flow",227663.953106,675339.210975,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300003704","Nodes","3704",21.000000,32.677502,"DDS demands","Known Flow",227719.703121,675327.835972,,0.000000,,,,,,,-6.789999,,,,,,,,,,-6.071739,-6.789999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300002533","Nodes","-2533",21.000000,32.431547,"Default Known Flow Node","Known Flow",227762.578133,675422.960998,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002527","Nodes","-2527",21.000000,32.301213,"Default Known Flow Node","Known Flow",227785.078139,675414.085996,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
