"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505200000166","Nodes","166","21.000000","24.437761","DDS demands","Known Flow","253050.536013","637127.769578","","0.000000","","","","","-0.980000","","","","","-0.876333","-0.980000","","","","","","","D1 PROFILE","","","",""
"62505200000101","Nodes","101","21.000000","21.735353","DDS demands","Known Flow","253070.239019","637403.469653","","0.000000","","","","","-1.609999","","","","","-1.439690","-1.609999","","","","","","","D1 PROFILE","","","",""
"62505200000099","Nodes","99","21.000000","22.234648","DDS demands","Known Flow","253218.645546","637540.294756","","0.000000","","","","","-5.780000","","","","","-5.168579","-5.780000","","","","","","","D1 PROFILE","","","",""
"62505200000143","Nodes","143","21.000000","26.965828","DDS demands","Known Flow","253932.877253","637267.871616","","0.000000","","","","","-4.219999","","","","","-3.773599","-4.219999","","","","","","","D1 PROFILE","","","",""
"62505200000161","Nodes","161","21.000000","29.760209","DDS demands","Known Flow","253974.971265","637360.039641","","0.000000","","","-1.080000","","","","","","","-0.965755","-1.080000","","","","","C3 PROFILE","","","","","",""
"62505200000127","Nodes","127","21.000000","27.973378","DDS demands","Known Flow","254082.904294","637260.363614","","0.000000","","","","","-0.600000","","","","","-0.536530","-0.600000","","","","","","","D1 PROFILE","","","",""
"62505200000111","Nodes","111","21.000000","28.911041","DDS demands","Known Flow","254060.058288","637364.166642","","0.000000","","","","","-7.070000","","","","","-6.322121","-7.070000","","","","","","","D1 PROFILE","","","",""
"62505200000080","Nodes","80","21.000000","26.814556","DDS demands","Known Flow","254002.369272","637453.379666","","0.000000","","","","","-20.399999","","","","","-18.242045","-20.399999","","","","","","","D1 PROFILE","","","",""
"62505200000134","Nodes","134","21.000000","27.963180","Default Known Flow Node","Known Flow","253505.503137","637426.775659","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000160","Nodes","160","21.000000","30.441319","DDS demands","Known Flow","253577.993157","637312.112628","","0.000000","","","","","-2.140000","","","","","-1.913626","-2.140000","","","","","","","D1 PROFILE","","","",""
"62505200000128","Nodes","128","21.000000","24.275870","DDS demands","Known Flow","254088.724296","637259.125614","","0.000000","","","","","-6.480000","","","","","-5.794532","-6.480000","","","","","","","D1 PROFILE","","","",""
"62505200000124","Nodes","124","21.000000","25.360028","DDS demands","Known Flow","254237.833336","637186.245594","","0.000000","","","","","-2.460000","","","","","-2.199776","-2.460000","","","","","","","D1 PROFILE","","","",""
"62505200000103","Nodes","103","21.000000","25.114287","DDS demands","Known Flow","254282.048348","637167.663589","","0.000000","","","","","-1.389999","","","","","-1.242962","-1.389999","","","","","","","D1 PROFILE","","","",""
"62505200000090","Nodes","90","21.000000","27.432970","DDS demands","Known Flow","254251.320340","637368.583643","","0.000000","","","","","-24.469998","","","","","-21.881511","-24.469998","","","","","","","D1 PROFILE","","","",""
