"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62501300010897","Nodes","-4904562","21.000000","33.303899","Default Known Flow Node","Known Flow","228985.526057","682472.491534","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300010750","Nodes","-188","21.000000","33.334109","Default Known Flow Node","Known Flow","228994.578468","682467.962915","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300011007","Nodes","-826","21.000000","35.796221","Default Known Flow Node","Known Flow","230834.328969","682568.212943","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300000220","Nodes","220,","21.000000","35.929335","DDS demands","Known Flow","230842.798857","682518.031740","","0.000000","","","","","-17.729999","","","","","","","-15.854480","-17.729999","","","","","","","D1 PROFILE","","","","","",""
"62501300000229","Nodes","229","21.000000","21.437054","DDS demands","Known Flow","231064.704031","682279.837864","","0.000000","","","","","-8.619999","","","","","","","-7.708157","-8.619999","","","","","","","D1 PROFILE","","","","","",""
"62501300001055","Nodes","1055","21.000000","21.174066","Default Known Flow Node","Known Flow","231079.512352","682287.844925","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300000671","Nodes","671","21.000000","21.088961","DDS demands","Known Flow","231066.829032","682312.962873","","0.000000","","","","","-0.529999","","","","","","","-0.473935","-0.529999","","","","","","","D1 PROFILE","","","","","",""
"62501300010536","Nodes","-1462627","21.000000","26.172682","Default Known Flow Node","Known Flow","230931.702788","682272.720394","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300000151","Nodes","151","21.000000","31.430476","DDS demands","Known Flow","229957.328730","683253.713129","","0.000000","","","","","-6.550000","","","","","","","-5.857127","-6.550000","","","","","","","D1 PROFILE","","","","","",""
"62501300001036","Nodes","1036","21.000000","33.128613","Default Known Flow Node","Known Flow","229005.396255","682848.092176","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300001037","Nodes","1037","21.000000","31.531192","DDS demands","Known Flow","229008.470548","682842.778615","","0.000000","","","","","-10.010000","","","","","","","-8.951120","-10.010000","","","","","","","D1 PROFILE","","","","","",""
"62501300000569","Nodes","569","21.000000","32.583520","DDS demands","Known Flow","229852.328701","682918.963038","","0.000000","","","-3.119999","","-28.819998","","","","","","","-28.561315","-31.939998","","","","","C3 PROFILE","","D1 PROFILE","","","","","",""
"62501300001032","Nodes","P12129892, Victoria Road, -19.29","24.000000","31.523670","CSEP Unmatched","Known Flow","229894.515652","682903.978877","","0.000000","","","","","","-19.290000","","","","","","-17.249461","-19.290000","","","","","","","","DC PROFILE","","","","",""
"62501300000568","Nodes","568","21.000000","32.936154","Default Known Flow Node","Known Flow","229843.078699","682915.838037","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501300000253","Nodes","253","21.000000","26.744383","DDS demands","Known Flow","231334.579105","681350.087611","","0.000000","","","","","-0.970000","","","","","","","-0.867391","-0.970000","","","","","","","D1 PROFILE","","","","","",""
