"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"62506400000018","Nodes","18",21.000000,55.577579,"DDS demands","Known Flow",247978.833633,605805.317055,,0.000000,,,,,-24.670000,,,,-22.060355,-24.670000,,"",,,,,"D1 PROFILE",,,
"62506400300831","Nodes","300831",21.000000,55.534818,"Default Known Flow Node","Known Flow",247973.083632,605793.067051,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62506400000002","Nodes","2",21.000000,62.493547,"DDS demands","Known Flow",247441.958487,606884.942348,,0.000000,,,,,-9.670000,,,,-8.647087,-9.670000,,"",,,,,"D1 PROFILE",,,
"62506400000001","Nodes","1",21.000000,74.432222,"DDS demands","Known Flow",247387.208472,606918.815000,,0.000000,,,,,-4.249999,,,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",,,
"62506400000059","Nodes","Burnton Village RRI",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",247387.208472,606915.942357,,999998.967025,,,,,,,,,73.261481,81.928002,,"",,,,,,,,
"62506400000052","Nodes","52",21.000000,45.807364,"DDS demands","Known Flow",247571.333522,606407.942219,,0.000000,,,,,-22.930000,,,,-20.504417,-22.930000,,"",,,,,"D1 PROFILE",,,
"62506400000089","Nodes","89",21.000000,47.416587,"Default Known Flow Node","Known Flow",247640.275559,606387.418638,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62506400300823","Nodes","300823",21.000000,48.845235,"Default Known Flow Node","Known Flow",247703.833558,606382.692212,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62506400000091","Nodes","91",21.000000,50.213291,"Default Known Flow Node","Known Flow",248326.333728,605658.009849,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62506400000035","Nodes","35",21.000000,48.677724,"DDS demands","Known Flow",248496.583774,605560.566988,,0.000000,,,,,-12.930000,,,,-11.562238,-12.930000,,"",,,,,"D1 PROFILE",,,
