"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62502400003518","Nodes","-1462535",21.000000,22.044569,"Default Known Flow Node","Known Flow",171458.306819,619848.320876,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502400003604","Nodes","-61",21.000000,22.044569,"Default Known Flow Node","Known Flow",171465.208821,619846.590875,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502400000091","Nodes","91",21.000000,40.053335,"DDS demands","Known Flow",171933.576949,620952.216001,,0.000000,,,,,-10.239999,,,,,,-9.156791,-10.239999,,"",,,,,"D1 PROFILE",,,,,
"62502400000090","Nodes","90",21.000000,39.528852,"DDS demands","Known Flow",172003.752968,621010.411192,,0.000000,-0.049999,,,,-13.319999,,,,,,-11.955693,-13.369999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"62502400003558","Nodes","-208",21.000000,40.043796,"Default Known Flow Node","Known Flow",171498.749469,620966.108667,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502400001005","Nodes","Logger 9731, 6 Albyn Avenue",21.000000,39.503878,"Val Log Cath","Known Flow",171565.877770,620957.243011,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502400000061","Nodes","61",21.000000,39.378358,"DDS demands","Known Flow",171591.606856,620939.325173,,0.000000,,,,,-6.670000,,,,,,-5.964433,-6.670000,,"",,,,,"D1 PROFILE",,,,,
"62502400000065","Nodes","65",21.000000,38.605277,"DDS demands","Known Flow",171700.651885,621168.202235,,0.000000,,,,,-1.169999,,,,,,-1.046234,-1.169999,,"",,,,,"D1 PROFILE",,,,,
"62502400001006","Nodes","Logger 9791, 33 Dalaruarn Street",21.000000,38.861577,"Val Log Cath","Known Flow",171722.419894,621157.358274,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502400000071","Nodes",,21.000000,39.274957,"DDS demands","Known Flow",171753.925900,621141.663228,,0.000000,,,,,-0.389999,,,,,,-0.348744,-0.389999,,"",,,,,"D1 PROFILE",,,,,
