"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"62506100000208","Nodes","208",21.000000,37.630749,"Default Known Flow Node","Known Flow",240901.639180,625068.039506,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000206","Nodes","206",21.000000,37.950964,"Default Known Flow Node","Known Flow",240900.063575,625073.411039,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000203","Nodes","203",21.000000,37.481065,"Default Known Flow Node","Known Flow",241117.658389,625117.511743,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000200","Nodes","200",21.000000,37.165974,"Default Known Flow Node","Known Flow",241141.854683,625120.598089,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000201","Nodes","201",21.000000,37.591448,"Default Known Flow Node","Known Flow",241115.314026,625120.235850,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000202","Nodes","202",21.000000,37.540559,"Default Known Flow Node","Known Flow",241117.534676,625118.365838,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000205","Nodes","205",21.000000,37.962524,"Default Known Flow Node","Known Flow",240895.906866,625091.524457,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000209","Nodes","209",21.000000,37.630749,"Default Known Flow Node","Known Flow",240901.336652,625070.592085,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000210","Nodes","210",21.000000,57.930047,"Default Known Flow Node","Known Flow",240395.703096,624959.409645,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000211","Nodes","211",21.000000,66.501151,"DDS demands","Known Flow",240036.142060,624970.259296,,0.000000,,,,-1.279999,,,-1.144598,-1.279999,,"",,,,"D1 PROFILE",,
"62506100000213","Nodes","213",21.000000,73.645087,"Default Known Flow Node","Known Flow",240159.559343,624663.722840,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000216","Nodes","216",21.000000,68.503083,"Default Known Flow Node","Known Flow",240365.785681,624762.944354,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62506100000215","Nodes","215",21.000000,68.503083,"Default Known Flow Node","Known Flow",240372.366259,624782.208019,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
