"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62502000000212","Nodes","212",21.000000,33.217139,"DDS demands","Known Flow",249426.875000,636419.500000,,0.000000,,,,,-0.980000,,,,,,,-0.876333,-0.980000,,"",,,,,"D1 PROFILE",,,,,,
"62502000001007","Nodes","P14134776, BREWLANDS STREET CSEP, 10.43 SCMH",22.999998,33.310768,"CSEP Unmatched","Known Flow",249798.141360,636383.729411,,0.000000,,,,,,,,,,-10.430000,,-9.326693,-10.430000,,"",,,,,,,,,,"DC PROFILE",
"62502000000214","Nodes","214",21.000000,32.959345,"DDS demands","Known Flow",249415.750000,636434.500000,,0.000000,,,,,-6.520000,,,,,,,-5.830300,-6.520000,,"",,,,,"D1 PROFILE",,,,,,
"62502000000288","Nodes","288",21.000000,34.398488,"DDS demands","Known Flow",249633.375000,636578.875000,,0.000000,,,,,-5.420000,,,,,,,-4.846660,-5.420000,,"",,,,,"D1 PROFILE",,,,,,
"62502000001006","Nodes","1006",21.000000,34.251284,"Default Known Flow Node","Known Flow",249607.578125,636579.312500,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000252","Nodes","252",21.000000,34.193959,"DDS demands","Known Flow",249601.250000,636579.375000,,0.000000,,,,,-7.119999,,,,,,,-6.366831,-7.119999,,"",,,,,"D1 PROFILE",,,,,,
"625020-3421804","Nodes","-3421804",21.000000,33.631060,"Default Known Flow Node","Known Flow",250648.250000,636493.750000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000001002","Nodes","1002",21.000000,33.747678,"Default Known Flow Node","Known Flow",250649.093750,636544.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000133","Nodes","133",21.000000,34.168188,"DDS demands","Known Flow",250717.000000,636617.750000,,0.000000,,,,,-24.479999,,,,,,,-21.890453,-24.479999,,"",,,,,"D1 PROFILE",,,,,,
"62502000001000","Nodes","1000",21.000000,32.504123,"Default Known Flow Node","Known Flow",250465.734375,636678.750000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000218","Nodes","218",21.000000,32.668178,"DDS demands","Known Flow",250494.799251,636679.375000,,0.000000,,,,,-6.130000,,,,,,,-5.481555,-6.130000,,"",,,,,"D1 PROFILE",,,,,,
"62502000000055","Nodes","55",21.000000,32.222956,"Default Known Flow Node","Known Flow",250409.625000,636681.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000216","Nodes","216",21.000000,34.744760,"DDS demands","Known Flow",250703.750000,636678.125000,,0.000000,,,,,-5.899999,,,,,,,-5.275885,-5.899999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000116","Nodes","116",21.000000,34.879403,"DDS demands","Known Flow",250773.609375,636709.375000,,0.000000,,,,,-4.929999,,,,,,,-4.408494,-4.929999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000117","Nodes","117",21.000000,34.817718,"DDS demands","Known Flow",250806.625000,636726.875000,,0.000000,,,,,-9.140000,,,,,,,-8.173152,-9.140000,,"",,,,,"D1 PROFILE",,,,,,
"625020-3617259","Nodes","-3617259",21.000000,34.741567,"Default Known Flow Node","Known Flow",250702.375000,636675.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
