"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62500500001774","Nodes","1774",21.000000,27.416230,"DDS demands","Known Flow",232928.454538,617994.320371,,0.000000,,,,,,,-14.720000,,,,,,-13.162887,-14.720000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500000122","Nodes","122",21.000000,33.362099,"DDS demands","Known Flow",235460.830227,626337.322642,,0.000000,,,,,,,-11.289999,,,,,,-10.095719,-11.289999,,"",,,,,,,"D1 PROFILE",,,,,
"62500500003231","Nodes","P08119810, VIEWFIELD ROAD CSEP, 33.69 SCMH",24.000000,30.859982,"CSEP DDS Matched","Known Flow",234271.226361,622681.848715,,0.000000,,,,,,,,-33.689999,,,,,-30.126200,-33.689999,,"",,,,,,,,"DC PROFILE",,,,
"62500500001974","Nodes","1974",21.000000,33.316031,"DDS demands","Known Flow",235104.125419,624958.460676,,0.000000,,,,,,,-8.479999,,,,,,-7.582967,-8.479999,,"",,,,,,,"D1 PROFILE",,,,,
"62500500000770","Nodes","770",21.000000,32.383896,"DDS demands","Known Flow",233728.329756,622868.696698,,0.000000,-17.809999,,,,,,-35.819998,,,-6.260000,,,-53.554709,-59.889998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,"I2 PROFILE",,
"62500500003063","Nodes","3063",21.000000,38.005938,"DDS demands","Known Flow",233735.579758,622889.946704,,0.000000,-43.009997,,,,,,,,,,,,-38.460309,-43.009997,,"","C1 PROFILE",,,,,,,,,,,
"62500501462620","Nodes","-1462620",21.000000,28.045719,"Default Known Flow Node","Known Flow",235405.137212,620693.712106,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500011501","Nodes","P09122052, BOYDFIELD AVENUE CSEP, 42.83 SCMH",24.000000,35.748796,"CSEP DDS Matched","Known Flow",235758.984260,625975.112155,,0.000000,,,,,-32.310001,,,-10.520000,,,,,-38.299353,-42.829999,,"",,,,,"CC PROFILE",,,"DC PROFILE",,,,
"62500504904815","Nodes","-4904815",21.000000,33.626848,"Default Known Flow Node","Known Flow",235652.460043,620858.203440,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500000308","Nodes","308",21.000000,38.577147,"DDS demands","Known Flow",235894.355760,625981.168282,,0.000000,,,,,,,-22.250000,,,,,,-19.896348,-22.250000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500000310","Nodes","310",21.000000,38.799070,"DDS demands","Known Flow",235961.519239,625947.739923,,0.000000,,,,,,,-5.780000,,,,,,-5.168579,-5.780000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500011502","Nodes","P09122107, ST LEONARDS COURT CSEP, 24.46 SCMH",24.000000,29.430893,"CSEP DDS Matched","Known Flow",234004.926537,620320.679160,,0.000000,,,,,,,,-24.459999,,,,,-21.872570,-24.459999,,"",,,,,,,,"DC PROFILE",,,,
"62500500011503","Nodes","-408",21.000000,33.050257,"Default Known Flow Node","Known Flow",233193.954610,620515.696058,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500001510","Nodes","1510",21.000000,32.222963,"DDS demands","Known Flow",232967.079549,619549.695795,,0.000000,,,,,,,-15.010000,,,,,,-13.422211,-15.010000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500001511","Nodes","P07115167, DOONFOOT ROAD CSEP, 96.37 SCMH",25.000000,31.641872,"CSEP DDS Matched","Known Flow",232995.624556,619621.743814,,0.000000,,,,,,,,-96.369998,,,,,-86.175775,-96.369998,,"",,,,,,,,"DC PROFILE",,,,
"62500500001547","Nodes","1547",21.000000,30.845829,"DDS demands","Known Flow",234188.829881,619897.195889,,0.000000,-6.000000,,,,,,-4.699999,,,,,,-9.568131,-10.699999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"62500500001566","Nodes","P00069600, EWENFIELD ROAD CSEP, 46.15 SCMH",25.000000,32.007981,"CSEP DDS Matched","Known Flow",234121.104863,619861.336879,,0.000000,,,,,,,,-46.199998,,,,,-41.312865,-46.199998,,"",,,,,,,,"DC PROFILE",,,,
"62500500000349","Nodes","-349",21.000000,38.050803,"Default Known Flow Node","Known Flow",233784.704771,619904.445891,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500001275","Nodes","1275",21.000000,31.257518,"DDS demands","Known Flow",233069.747577,620010.940920,,0.000000,-15.640000,,,,,,-17.940000,,,,,,-30.027838,-33.580000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"62500500005008","Nodes","LOGGER 10363, 28 DOONFOOT ROAD",21.000000,31.286632,"Val Log Cath","Known Flow",233076.056876,620062.333387,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500418193","Nodes","SNHS Arrol Park Hospital (NDM)",21.000000,31.213029,"Daily Metered Site","Known Flow",233138.454595,620327.946006,,0.000000,,-198.599999,,,,,,,,,,,-177.591670,-198.599999,,"",,"C2 PROFILE",,,,,,,,,,
"62500500003255","Nodes","3255",21.000000,34.546024,"DDS demands","Known Flow",234963.080092,625370.447379,,0.000000,,,-3.199999,-5.909999,,,-19.879999,,,,,,-25.923377,-28.990000,,"",,,"C3  PROFILE","C4 PROFILE",,,"D1 PROFILE",,,,,
"62500500005007","Nodes","LOGGER 2468, 3 AYR ROAD",21.000000,36.018969,"Val Log Cath","Known Flow",234989.290998,625455.018507,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500418182","Nodes","P09121078, PRESTWICK ROAD CSEP, 11.91 SCMH",22.999998,35.054772,"CSEP DDS Matched","Known Flow",234337.893028,623296.507801,,0.000000,,,,,,,,-11.910000,,,,,-10.650135,-11.910000,,"",,,,,,,,"DC PROFILE",,,,
"62500500002625","Nodes","2625",21.000000,32.630667,"Default Known Flow Node","Known Flow",234371.454137,621942.884073,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500005005","Nodes","LOGGER 9337, 12 CRAIGIE AVENUE",21.000000,32.701389,"Val Log Cath","Known Flow",234375.682985,621942.830265,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500001178","Nodes","1178",21.000000,33.826847,"DDS demands","Known Flow",234514.329970,621943.946446,,0.000000,,,,,,,-36.000000,,,,,,-32.191845,-36.000000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500002747","Nodes","2747",21.000000,29.299787,"DDS demands","Known Flow",234693.455018,619045.820658,,0.000000,,,,,,,-14.170000,,,,,,-12.671067,-14.170000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500005004","Nodes","LOGGER 10419, 44 FINLAS AVENUE",21.000000,29.300039,"Val Log Cath","Known Flow",234700.460781,619027.839200,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500001734","Nodes","1734",21.000000,29.170285,"DDS demands","Known Flow",234712.205024,618997.695644,,0.000000,,,,,,,-11.539999,,,,,,-10.319274,-11.539999,,"",,,,,,,"D1 PROFILE",,,,,
"62500500011505","Nodes","-1490",21.000000,26.015462,"Default Known Flow Node","Known Flow",234700.301020,620773.475128,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500005003","Nodes","LOGGER 9683, 60 LOCHLEA DRIVE",21.000000,25.973891,"Val Log Cath","Known Flow",234717.309359,620788.720276,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500002003","Nodes","2003",21.000000,26.020576,"Default Known Flow Node","Known Flow",234744.950892,620813.676524,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500000020","Nodes","20",21.000000,42.105178,"DDS demands","Known Flow",235731.922682,628051.069065,,0.000000,-4.650000,,,,,,-20.449999,,,,,,-22.444869,-25.099998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"62500500005002","Nodes","LOGGER 9130, 56 MAIN STREET",21.000000,42.042884,"Val Log Cath","Known Flow",235749.816409,628069.709656,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500002687","Nodes","2687",21.000000,42.000416,"DDS demands","Known Flow",235759.080308,628122.198127,,0.000000,-0.810000,,,-1.820000,,,-15.659999,,,,,,-16.355245,-18.289999,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"62500500001245","Nodes","1245",21.000000,31.171481,"DDS demands","Known Flow",232993.056556,620022.556923,,0.000000,,,,,,,-35.599997,,,,,,-31.834154,-35.599997,,"",,,,,,,"D1 PROFILE",,,,,
"62500500005001","Nodes",,21.000000,31.836112,"Default Known Flow Node","Known Flow",232897.350342,620565.919993,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500000738","Nodes","738",21.000000,37.680832,"DDS demands","Known Flow",233598.836617,622185.345650,,0.000000,,-17.660000,,-5.530000,,,-10.430000,,,,,,-30.063606,-33.620002,,"",,"C2 PROFILE",,"C4 PROFILE",,,"D1 PROFILE",,,,,
"62500500004133","Nodes","4133",21.000000,30.703532,"DDS demands","Known Flow",233334.829649,622396.071569,,0.000000,,,,,,,-36.349997,,,,,,-32.504817,-36.349997,,"",,,,,,,"D1 PROFILE",,,,,
"62500500001030","Nodes","1030",21.000000,38.775148,"DDS demands","Known Flow",233350.079653,621905.696436,,0.000000,,,,,,,-13.910000,,,,,,-12.438570,-13.910000,,"",,,,,,,"D1 PROFILE",,,,,
"62500500001156","Nodes","1156",21.000000,39.515052,"Default Known Flow Node","Known Flow",233262.614629,621982.391457,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"62500500000731","Nodes","731",21.000000,39.694378,"DDS demands","Known Flow",233197.829611,622015.196466,,0.000000,,,-3.520000,-8.239999,,,-16.860000,,,,,,-25.592517,-28.620001,,"",,,"C3  PROFILE","C4 PROFILE",,,"D1 PROFILE",,,,,
"62500500001466","Nodes","1466",21.000000,30.688641,"DDS demands","Known Flow",235502.084874,620700.201482,,0.000000,,,,,,,-14.319999,,,,,,-12.805199,-14.319999,,"",,,,,,,"D1 PROFILE",,,,,
"62500500011506","Nodes","-2747",21.000000,32.786631,"Default Known Flow Node","Known Flow",235612.205268,620798.821135,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
