"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62501600000544","Nodes","544","21.000000","25.040394","DDS demands","Known Flow","231139.454051","643409.452287","","0.000000","","","","-3.370000","","-7.450000","","","","","","-9.675438","-10.820000","","","","","","C4 PROFILE","","D1 PROFILE","","","","",""
"62501600000168","Nodes","168","21.000000","25.524406","DDS demands","Known Flow","231138.954051","643367.077276","","0.000000","","","","","","-6.569999","","","","","","-5.875011","-6.569999","","","","","","","","D1 PROFILE","","","","",""
"62501600000728","Nodes","728","21.000000","49.965391","DDS demands","Known Flow","229159.576543","642769.199017","","0.000000","","","","","","-2.650000","","","","","","-2.369677","-2.650000","","","","","","","","D1 PROFILE","","","","",""
"62501600000452","Nodes","Pinmore RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","229158.703513","642767.827113","","999998.967025","","","","","","","","","","","","20.477590","22.899999","","","","","","","","","","","","",""
"62501600003571","Nodes","-137","21.000000","49.884038","Default Known Flow Node","Known Flow","229070.453489","642712.202097","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62501600000714","Nodes","714","21.000000","49.957937","DDS demands","Known Flow","229073.952074","642709.828057","","0.000000","","","","","","-3.899999","","","","","","-3.487449","-3.899999","","","","","","","","D1 PROFILE","","","","",""
"62501600003919","Nodes","Kirkhill RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","229075.078490","642711.202097","","9999999.551650","","","","","","","","","","","","21.765263","24.340000","","","","","","","","","","","","",""
"62501600000703","Nodes","703","21.000000","49.822501","DDS demands","Known Flow","229239.578535","642899.077148","","0.000000","","","","","","-3.329999","","","","","","-2.977745","-3.329999","","","","","","","","D1 PROFILE","","","","",""
"62501600000702","Nodes","702","21.000000","49.945291","DDS demands","Known Flow","229232.325528","642903.199418","","0.000000","","","","","","-9.140000","","","","","","-8.173152","-9.140000","","","","","","","","D1 PROFILE","","","","",""
"62501600003913","Nodes","Wellwood RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","229230.953532","642901.952149","","9999999.551650","","","","","","","","","","","","24.716183","27.640000","","","","","","","","","","","","",""
