"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62101500000413","Nodes","413","21.000000","27.548563","DDS demands","Known Flow","256593.960977","651479.579483","","0.000000","","","","","-6.130000","","","","","-5.481555","-6.130000","","","","","","","D1 PROFILE","","","",""
"62101500000170","Nodes","170","21.000000","27.603775","DDS demands","Known Flow","256630.960987","651501.329489","","0.000000","","","","","-4.639999","","","","","-4.149170","-4.639999","","","","","","","D1 PROFILE","","","",""
"62101500001480","Nodes","1480","21.000000","45.508206","Default Known Flow Node","Known Flow","257169.711134","652361.329723","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500001009","Nodes","Logger 9757, 5 Glasgow Road","21.000000","45.895638","Val Log Cath","Known Flow","257168.353316","652379.700198","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000033","Nodes","33","21.000000","46.212476","DDS demands","Known Flow","257167.586133","652390.079731","","0.000000","","","","","-7.560000","","","","","-6.760287","-7.560000","","","","","","","D1 PROFILE","","","",""
"62101500000298","Nodes","298","21.000000","32.906043","DDS demands","Known Flow","257399.586197","652521.954767","","0.000000","","","","","-3.219999","","","","","-2.879381","-3.219999","","","","","","","D1 PROFILE","","","",""
"62101500001008","Nodes","Logger 10074, 45 Holehouse Road","21.000000","33.087568","Val Log Cath","Known Flow","257382.599397","652506.621549","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000297","Nodes","297","21.000000","33.252122","DDS demands","Known Flow","257371.336189","652496.454760","","0.000000","","","","","-1.960000","","","","","-1.752667","-1.960000","","","","","","","D1 PROFILE","","","",""
"62101500000164","Nodes","164","21.000000","30.647210","DDS demands","Known Flow","256705.711008","651612.204519","","0.000000","","","","","-4.289999","","","","","-3.836194","-4.289999","","","","","","","D1 PROFILE","","","",""
"62101500001007","Nodes","1007","21.000000","30.797989","Default Known Flow Node Sub","Known Flow","256701.819437","651625.825017","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000163","Nodes","CSEP, P12129506, MOOR RD, -56.49 SCMH (FY5 -120.83 SCMH)","24.000000","30.729022","CSEP Unmatched","Known Flow","256698.711006","651636.704526","","0.000000","","","","","","","","","-56.490001","-50.514371","-56.490001","","","","","","","","","","","PL-DC PROFILE"
"62101500000156","Nodes","156","21.000000","30.692853","DDS demands","Known Flow","256915.836065","651815.079574","","0.000000","","","","","-8.409999","","","","","-7.520372","-8.409999","","","","","","","D1 PROFILE","","","",""
"62101500001004","Nodes","1004","21.000000","30.601146","Default Known Flow Node","Known Flow","256925.476811","651822.929352","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000155","Nodes","155","21.000000","30.812498","Default Known Flow Node","Known Flow","256947.461074","651840.829581","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000067","Nodes","67","21.000000","34.300910","DDS demands","Known Flow","256826.336041","652062.454642","","0.000000","","","","","-8.310000","","","","","-7.430950","-8.310000","","","","","","","D1 PROFILE","","","",""
"62101500001001","Nodes","Logger 2468, 124 Bonnyton Drive","21.000000","34.332675","Val Log Cath","Known Flow","256829.312872","652077.338800","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000066","Nodes","66","21.000000","34.467192","DDS demands","Known Flow","256833.961043","652103.704653","","0.000000","","","","","-7.179999","","","","","-6.420484","-7.179999","","","","","","","D1 PROFILE","","","",""
"62101500000050","Nodes","50","21.000000","35.315723","DDS demands","Known Flow","256908.461063","652338.329717","","0.000000","","","","","-2.660000","","","","","-2.378619","-2.660000","","","","","","","D1 PROFILE","","","",""
"62101500001000","Nodes","Logger 10078, 33 Bonnyton Drive","21.000000","35.308934","Val Log Cath","Known Flow","256910.740070","652332.074570","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000051","Nodes","51","21.000000","35.499356","DDS demands","Known Flow","256925.711068","652306.204708","","0.000000","","","","","-0.910000","","","","","-0.813738","-0.910000","","","","","","","D1 PROFILE","","","",""
"62101500000034","Nodes","34","21.000000","45.453035","DDS demands","Known Flow","257169.913541","652358.825875","","0.000000","","","","","-4.269999","","","","","-3.818310","-4.269999","","","","","","","D1 PROFILE","","","",""
"62101500001003","Nodes","1003","21.000000","45.307206","Default Known Flow Node","Known Flow","257170.671721","652349.446905","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000344","Nodes","344","21.000000","44.886141","Default Known Flow Node","Known Flow","257173.086135","652319.579712","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000299","Nodes","299","21.000000","32.905521","Default Known Flow Node","Known Flow","257377.336190","652545.704773","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500001002","Nodes","1002","21.000000","32.905700","Default Known Flow Node","Known Flow","257384.941401","652537.586852","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000270","Nodes","270","21.000000","37.437429","DDS demands","Known Flow","257410.336199","651971.204617","","0.000000","0.000000","","","","-0.720000","","","","","-0.643836","-0.720000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"62101500001005","Nodes","Logger 10073, 53 Gilmour Street","21.000000","37.484706","Default Known Flow Node","Known Flow","257408.433067","651973.703288","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000276","Nodes","276","21.000000","37.849831","DDS demands","Known Flow","257391.961194","651995.329623","","0.000000","","","","","-0.930000","","","","","-0.831622","-0.930000","","","","","","","D1 PROFILE","","","",""
"62101500000207","Nodes","207","21.000000","28.593483","DDS demands","Known Flow","257588.336248","651736.954553","","0.000000","","","","","-2.339999","","","","","-2.092469","-2.339999","","","","","","","D1 PROFILE","","","",""
"62101500001006","Nodes","Logger 9489, 16 Strathaven Road","21.000000","29.413573","Val Log Cath","Known Flow","257576.411983","651753.688052","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000206","Nodes","206","21.000000","30.371785","DDS demands","Known Flow","257565.711242","651768.704562","","0.000000","-3.980000","","","","-1.009999","","","","","-4.462147","-4.990000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"62101500000169","Nodes","169","21.000000","28.936952","DDS demands","Known Flow","256533.085961","651536.454499","","0.000000","","","","","-3.450000","","","","","-3.085051","-3.450000","","","","","","","D1 PROFILE","","","",""
"62101500000168","Nodes","168","21.000000","28.967396","DDS demands","Known Flow","256566.210970","651550.454502","","0.000000","","","","","-6.399999","","","","","-5.722994","-6.399999","","","","","","","D1 PROFILE","","","",""
"62101500000110","Nodes","110","21.000000","29.939055","DDS demands","Known Flow","256686.961003","651900.454598","","0.000000","","","","","-11.199999","","","","","-10.015240","-11.199999","","","","","","","D1 PROFILE","","","",""
"62101500000111","Nodes","111","21.000000","29.360062","DDS demands","Known Flow","256719.461011","651878.329592","","0.000000","","","","","-11.740000","","","","","-10.498118","-11.740000","","","","","","","D1 PROFILE","","","",""
"62101500000101","Nodes","101","21.000000","31.387418","DDS demands","Known Flow","256653.085993","651924.204604","","0.000000","","","","","-6.139999","","","","","-5.490497","-6.139999","","","","","","","D1 PROFILE","","","",""
"62101500000102","Nodes","102","21.000000","31.366510","Default Known Flow Node","Known Flow","256636.710989","651900.579598","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62101500000123","Nodes","123","21.000000","30.506460","DDS demands","Known Flow","256831.461042","651974.079618","","0.000000","","","","","-5.449999","","","","","-4.873487","-5.449999","","","","","","","D1 PROFILE","","","",""
"62101500000122","Nodes","122","21.000000","31.147566","DDS demands","Known Flow","256812.836037","651988.579622","","0.000000","","","","","-2.859999","","","","","-2.557463","-2.859999","","","","","","","D1 PROFILE","","","",""
"62101500000086","Nodes","86","21.000000","33.211146","DDS demands","Known Flow","256894.711059","651992.204623","","0.000000","","","","","-3.890000","","","","","-3.478507","-3.890000","","","","","","","D1 PROFILE","","","",""
