"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62501700000223","Nodes","223","21.000000","24.732822","DDS demands","Known Flow","229471.537347","609738.761076","","0.000000","","","","","","-1.789999","","","","","-1.600649","-1.789999","","","","","","","","D1 PROFILE","","","",""
"62501700011871","Nodes","-84","21.000000","24.378254","Default Known Flow Node","Known Flow","229421.941005","609768.437642","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000224","Nodes","224","21.000000","24.321905","DDS demands","Known Flow","229413.443020","609773.558253","","0.000000","","","","","","-6.650000","","","","","-5.946549","-6.650000","","","","","","","","D1 PROFILE","","","",""
"62501700000324","Nodes","324","21.000000","31.862226","DDS demands","Known Flow","229872.217889","609494.624731","","0.000000","","","","","","-0.680000","","","","","-0.608068","-0.680000","","","","","","","","D1 PROFILE","","","",""
"62501700011866","Nodes","-69","21.000000","26.663004","Default Known Flow Node","Known Flow","229699.799988","609701.639654","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700011756","Nodes","-119","21.000000","24.880866","Default Known Flow Node","Known Flow","229531.627331","609817.286243","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000333","Nodes","333","21.000000","24.806836","DDS demands","Known Flow","229474.712173","609852.316952","","0.000000","","","","","","-13.120000","","","","","-11.732139","-13.120000","","","","","","","","D1 PROFILE","","","",""
"62501700011762","Nodes","-131","21.000000","24.852222","Default Known Flow Node","Known Flow","229498.621561","609837.792373","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000255","Nodes","255","21.000000","28.658862","DDS demands","Known Flow","229937.239131","609975.441966","","0.000000","","","","","","-4.340000","","","","","-3.880905","-4.340000","","","","","","","","D1 PROFILE","","","",""
"62501700011802","Nodes","-171","21.000000","29.010198","Default Known Flow Node","Known Flow","229961.810733","609941.022984","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
