"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62600500000023","Nodes","23",41.000000,44.928737,"DDS demands","Known Flow",142897.682081,932421.308928,,0.000000,-2.019999,,,,-9.270000,,,,,-25.402512,-11.290000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"62600500011657","Nodes","-10",41.000000,44.794842,"DDS demands","Known Flow",142908.238084,932452.150937,,0.000000,-8.770000,,,,-0.360000,,,,,-20.542511,-9.130000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"62600500000091","Nodes","91",41.000000,44.916963,"Default Known Flow Node","Known Flow",142875.030588,933667.691603,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001019","Nodes","1019",41.000000,44.934034,"DDS demands","Known Flow",142858.058918,933666.261048,,0.000000,,,,,-4.469999,,,,,-10.057504,-4.469999,,"",,,,,"D1 PROFILE",,,,
"62600500001016","Nodes","1016",41.000000,44.869329,"Default Known Flow Node","Known Flow",142843.815866,933654.769152,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001017","Nodes","1017",41.000000,44.869226,"Default Known Flow Node","Known Flow",142837.889823,933640.754847,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000051","Nodes","51",41.000000,45.054404,"DDS demands","Known Flow",142814.488058,933627.553256,,0.000000,,,,,-6.890000,,,,,-15.502507,-6.890000,,"",,,,,"D1 PROFILE",,,,
"62600500011712","Nodes","-170",41.000000,44.850494,"Default Known Flow Node","Known Flow",142837.869419,933655.554605,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001011","Nodes","1011",41.000000,46.889277,"Default Known Flow Node","Known Flow",143037.231362,933034.243456,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000110","Nodes","110",41.000000,42.890949,"Default Known Flow Node","Known Flow",142563.588030,934012.484585,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001014","Nodes","1014",41.000000,42.450458,"DDS demands","Known Flow",142590.636555,934002.089000,,0.000000,,,,,-10.079999,,,,,-22.680009,-10.079999,,"",,,,,"D1 PROFILE",,,,
"62600500000088","Nodes","88",41.000000,42.494434,"Default Known Flow Node","Known Flow",142654.971015,933977.256351,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500011666","Nodes","-132",41.000000,44.651413,"Default Known Flow Node","Known Flow",143448.190465,933418.706888,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001013","Nodes","1013",41.000000,44.653550,"Default Known Flow Node","Known Flow",143458.453632,933415.015460,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500003001","Nodes","3001",41.000000,44.931100,"DDS demands","Known Flow",143118.322141,933338.862178,,0.000000,-11.350000,,,,-1.900000,,,,,-29.812516,-13.250000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"62600500000036","Nodes","36",41.000000,45.256296,"Default Known Flow Node","Known Flow",142883.277488,932990.042827,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000027","Nodes","27",41.000000,46.834422,"Default Known Flow Node","Known Flow",143035.647651,933053.707220,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000136","Nodes","136",41.000000,44.915003,"Default Known Flow Node","Known Flow",142526.916981,933807.295305,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000194","Nodes","194",41.000000,46.164188,"DDS demands","Known Flow",143348.425203,933170.096132,,0.000000,,,,,-3.079999,,,,,-6.930003,-3.079999,,"",,,,,"D1 PROFILE",,,,
"62600500008109","Nodes","8109",41.000000,45.801475,"DDS demands","Known Flow",143403.636577,933199.477742,,0.000000,,,,,-3.690000,,,,,-8.302504,-3.690000,,"",,,,,"D1 PROFILE",,,,
"62600500000195","Nodes","195",41.000000,45.836214,"DDS demands","Known Flow",143427.120411,933213.608027,,0.000000,,,,,-4.530000,,,,,-10.192504,-4.530000,,"",,,,,"D1 PROFILE",,,,
"62600500000160","Nodes","160",41.000000,45.496950,"Default Known Flow Node","Known Flow",142803.887861,933162.039228,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000161","Nodes","161",41.000000,45.514042,"Default Known Flow Node","Known Flow",142796.219154,933170.624101,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000094","Nodes","94",41.000000,45.669681,"Default Known Flow Node","Known Flow",142850.715068,933317.767172,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000130","Nodes","130",41.000000,45.633204,"Default Known Flow Node","Known Flow",142989.130106,933262.211157,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500000129","Nodes","129",41.000000,46.445794,"Default Known Flow Node","Known Flow",143158.167468,933102.389097,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001005","Nodes","1005",41.000000,48.163046,"Default Known Flow Node","Known Flow",143600.248540,932911.216293,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001004","Nodes","1004",41.000000,47.670536,"Default Known Flow Node","Known Flow",143716.905316,933119.975197,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500011660","Nodes","-106",41.000000,47.471767,"Default Known Flow Node","Known Flow",143770.915660,933216.315093,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001002","Nodes","1002",41.000000,45.965691,"Default Known Flow Node","Known Flow",143414.619890,933436.408682,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62600500001001","Nodes","1001",41.000000,45.509661,"Default Known Flow Node","Known Flow",143281.316760,933546.791032,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
