"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62504400000339","Nodes","339","21.000000","44.531462","DDS demands","Known Flow","232706.977478","652489.677758","","0.000000","","","","","-0.889999","","","","","","-0.795853","-0.889999","","","","","","","D1 PROFILE","","","","",""
"62504400000368","Nodes","368","21.000000","44.390635","DDS demands","Known Flow","232676.719470","652458.605749","","0.000000","","","","","-0.899999","","","","","","-0.804796","-0.899999","","","","","","","D1 PROFILE","","","","",""
"62504400005061","Nodes","5061","21.000000","31.309480","Default Known Flow Node","Known Flow","231577.080171","654611.211335","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62504400000045","Nodes","45","21.000000","31.198262","DDS demands","Known Flow","231570.203169","654620.237338","","0.000000","-5.659999","","","","-1.970000","","","","","","-6.822882","-7.629999","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"62504400000168","Nodes","168","21.000000","34.353441","DDS demands","Known Flow","231538.511160","655069.891460","","0.000000","","","","","-13.060000","","","","","","-11.678486","-13.060000","","","","","","","D1 PROFILE","","","","",""
"62504400001002","Nodes","LOGGER 7043, 16 LYNN DRIVE.","21.000000","33.493993","Val Log Cath","Known Flow","231567.957629","655081.177815","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62504400000214","Nodes","214","21.000000","31.893593","DDS demands","Known Flow","231619.374182","655096.485467","","0.000000","","","","","-19.940000","","","","","","-17.830705","-19.940000","","","","","","","D1 PROFILE","","","","",""
"62504400000050","Nodes","50","21.000000","27.317281","Default Known Flow Node","Known Flow","231870.936251","655046.912454","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62504400001000","Nodes","LOGGER 9772, 34 DIPPLE ROAD.","21.000000","27.517239","Val Log Cath","Known Flow","231860.318659","655022.488507","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62504400005184","Nodes","5184","21.000000","28.376519","Default Known Flow Node","Known Flow","231863.343707","654912.828361","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62504400005015","Nodes","5015","21.000000","30.614939","DDS demands","Known Flow","231510.829153","653953.490156","","0.000000","-6.000000","","","","","","","","","","-5.365307","-6.000000","","","C1 PROFILE","","","","","","","","",""
"62504400001008","Nodes","1008, P08119858, LARGS ROAD, FY1(-44.31) & FY5(-46.52).","24.000000","27.090581","CSEP DDS Matched","Known Flow","231145.020486","654521.448987","","0.000000","","","","","","-46.519999","","","","","-41.599015","-46.519999","","","","","","","","DC PROFILE","","","",""
"62504400000069","Nodes","69","21.000000","30.457612","DDS demands","Known Flow","231529.074158","653928.231149","","0.000000","","","","","-6.869999","","","","","","-6.143277","-6.869999","","","","","","","D1 PROFILE","","","","",""
"62504400005014","Nodes","5014","21.000000","29.965060","DDS demands","Known Flow","231534.982347","653918.928969","","0.000000","-1.519999","","","","-10.379999","","","","","","-10.641192","-11.899999","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
