"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62101900000057","Nodes",,21.000000,67.110686,"DDS demands","Known Flow",247636.859626,685934.991644,,0.000000,,,,,-1.700000,,,-1.520170,-1.700000,,"",,,,,"D1 PROFILE",,
"62101900000044","Nodes",,21.000000,62.255889,"DDS demands","Known Flow",247748.311945,685868.080114,,0.000000,,,,,-7.340000,,,-6.563559,-7.340000,,"",,,,,"D1 PROFILE",,
"62101900000041","Nodes",,21.000000,63.564056,"Default Known Flow Node","Known Flow",247764.959656,685916.411839,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000002","Nodes",,21.000000,67.390291,"DDS demands","Known Flow",247694.282556,685956.007864,,0.000000,,,,,-1.510000,,,-1.350269,-1.510000,,"",,,,,"D1 PROFILE",,
"62101900000079","Nodes",,21.000000,68.422325,"Default Known Flow Node","Known Flow",247684.735744,685965.845419,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900083773","Nodes",,21.000000,67.274482,"Default Known Flow Node","Known Flow",247647.394419,685937.726253,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000045","Nodes",,21.000000,62.874872,"DDS demands","Known Flow",247732.609566,686414.705543,,0.000000,,,,,-6.569999,,,-5.875011,-6.569999,,"",,,,,"D1 PROFILE",,
"62101900000058","Nodes",,21.000000,63.559305,"DDS demands","Known Flow",247753.304806,686312.485934,,0.000000,,,,,-9.949999,,,-8.897467,-9.949999,,"",,,,,"D1 PROFILE",,
"62101900000059","Nodes",,21.000000,63.368591,"DDS demands","Known Flow",247807.260798,686339.173265,,0.000000,,,,,-0.710000,,,-0.634894,-0.710000,,"",,,,,"D1 PROFILE",,
"62101900504628","Nodes",,21.000000,63.286859,"Default Known Flow Node","Known Flow",247863.161781,686374.083225,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000013","Nodes",,21.000000,60.209557,"Default Known Flow Node","Known Flow",247432.402862,688370.929046,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000069","Nodes",,21.000000,72.249238,"DDS demands","Known Flow",245742.024047,688849.435101,,0.000000,,,,,-0.699999,,,-0.625952,-0.699999,,"",,,,,"D1 PROFILE",,
"62101900000086","Nodes",,21.000000,72.286348,"DDS demands","Known Flow",245770.515032,688885.326661,,0.000000,,,,,-0.970000,,,-0.867391,-0.970000,,"",,,,,"D1 PROFILE",,
"62101900000087","Nodes",,21.000000,72.289381,"Default Known Flow Node","Known Flow",245725.902020,688921.932671,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000068","Nodes",,21.000000,72.362885,"DDS demands","Known Flow",245892.442066,688832.031647,,0.000000,,,,,-1.360000,,,-1.216136,-1.360000,,"",,,,,"D1 PROFILE",,
"62101900000088","Nodes",,21.000000,47.423566,"Default Known Flow Node","Known Flow",247419.360187,688619.435828,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000070","Nodes",,21.000000,33.040158,"DDS demands","Known Flow",246132.675131,688787.958635,,0.000000,,,,,-9.140000,,,-8.173152,-9.140000,,"",,,,,"D1 PROFILE",,
"62101900000071","Nodes",,21.000000,29.870601,"DDS demands","Known Flow",246091.979120,688706.140613,,0.000000,,,-3.199999,,-25.189999,,,-25.386846,-28.389999,,"",,,"",,"D1 PROFILE",,
"62101900000072","Nodes",,21.000000,46.231816,"DDS demands","Known Flow",246291.574913,688679.353654,,0.000000,,,,,-12.890000,,,-11.526469,-12.890000,,"",,,,,"D1 PROFILE",,
"62101900000089","Nodes",,21.000000,54.709957,"Default Known Flow Node","Known Flow",246240.419160,688608.481586,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000067","Nodes",,21.000000,72.532085,"DDS demands","Known Flow",246001.466095,688588.685581,,0.000000,,,,,-13.749999,,,-12.295496,-13.749999,,"",,,,,"D1 PROFILE",,
"62101900000063","Nodes",,21.000000,71.657982,"Default Known Flow Node","Known Flow",246599.487054,688526.017480,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000090","Nodes",,21.000000,71.657982,"Default Known Flow Node","Known Flow",246613.818233,688569.751851,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900000025","Nodes",,21.000000,37.464684,"DDS demands","Known Flow",247468.415494,688803.526639,,0.000000,,,,,-21.730000,,,-19.431354,-21.730000,,"",,,,,"D1 PROFILE",,
"62101900503611","Nodes",,21.000000,34.060065,"DDS demands","Known Flow",247284.977444,688720.587617,,0.000000,,,,,-14.160000,,,-12.662125,-14.160000,,"",,,,,"D1 PROFILE",,
"62101900083850","Nodes",,21.000000,34.285836,"Default Known Flow Node","Known Flow",247279.037591,688698.305738,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62101900083835","Nodes",,21.000000,57.896253,"DDS demands","Known Flow",247431.969484,688525.273564,,0.000000,,-11.390000,,,,,,-10.185142,-11.390000,,"",,"C2 PROFILE",,,,,
"62101900000053","Nodes",,21.000000,57.213946,"DDS demands","Known Flow",247491.361501,688531.697565,,0.000000,,,,,,-11.419999,,-10.211968,-11.419999,,"",,,,,,"DM PROFILE",
"62101900000083","Nodes",,21.000000,34.000237,"DDS demands","Known Flow",247121.379989,688852.338083,,0.000000,,,,,-3.729999,,,-3.335432,-3.729999,,"",,,,,"D1 PROFILE",,
"62101900000029","Nodes",,21.000000,30.383501,"DDS demands","Known Flow",247393.276474,688807.448640,,0.000000,,,,,-14.389999,,,-12.867795,-14.389999,,"",,,,,"D1 PROFILE",,
"62101900000031","Nodes",,21.000000,30.222902,"DDS demands","Known Flow",247255.526436,688847.226651,,0.000000,,,,,-3.370000,,,-3.013514,-3.370000,,"",,,,,"D1 PROFILE",,
"62101900000028","Nodes",,21.000000,31.666133,"DDS demands","Known Flow",247392.380474,688785.630634,,0.000000,,,,,-8.470000,,,-7.574026,-8.470000,,"",,,,,"D1 PROFILE",,
"62101900000030","Nodes",,21.000000,30.815835,"DDS demands","Known Flow",247257.998437,688809.964641,,0.000000,,,,,-9.239999,,,-8.262573,-9.239999,,"",,,,,"D1 PROFILE",,
"62101900000027","Nodes",,21.000000,35.246024,"Default Known Flow Node","Known Flow",247496.877502,688954.724680,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
