"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"62505800000041","Nodes","41",21.000000,48.613667,"DDS demands","Known Flow",246053.710000,642608.825000,,0.000000,,,,,-2.829999,,,,-2.530636,-2.829999,,"",,,,,"D1 PROFILE",,,
"62505800000040","Nodes","40",21.000000,49.323008,"DDS demands","Known Flow",246067.710000,642644.950000,,0.000000,,,,,-6.239999,,,,-5.579919,-6.239999,,"",,,,,"D1 PROFILE",,,
"62505800000039","Nodes","39",21.000000,49.759419,"DDS demands","Known Flow",246098.210000,642718.075000,,0.000000,,-24.999999,,,-3.190000,,,,-25.208001,-28.190000,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"62505800000042","Nodes","42",21.000000,46.279343,"DDS demands","Known Flow",246176.835000,642754.575000,,0.000000,,,,,-5.460000,,,,-4.882429,-5.460000,,"",,,,,"D1 PROFILE",,,
"62505800000038","Nodes","HALLHOUSE, FENWICK, Site ID 3213",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",246095.960000,642720.700000,,349.999985,,,,,,,,,105.929048,118.460000,,"",,,,,,,,
"62505800000043","Nodes","43",21.000000,38.432769,"DDS demands","Known Flow",246212.960000,642781.075000,,0.000000,,,,,-22.999999,,,,-20.567011,-22.999999,,"",,,,,"D1 PROFILE",,,
"62505800000044","Nodes","44",21.000000,36.422285,"DDS demands","Known Flow",246447.710000,642637.700000,,0.000000,,,,,-2.689999,,,,-2.405446,-2.689999,,"",,,,,"D1 PROFILE",,,
"62505800000045","Nodes","45",21.000000,28.281673,"DDS demands","Known Flow",246233.210000,642965.950000,,0.000000,,,,,-13.489999,,,,-12.062999,-13.489999,,"",,,,,"D1 PROFILE",,,
"62505800000036","Nodes","36",21.000000,44.046398,"DDS demands","Known Flow",246641.960000,642986.950000,,0.000000,,,,,-10.490000,,,,-9.380345,-10.490000,,"",,,,,"D1 PROFILE",,,
"62505800000047","Nodes","47",21.000000,28.381660,"DDS demands","Known Flow",246237.585000,643040.950000,,0.000000,,,,,-2.339999,,,,-2.092469,-2.339999,,"",,,,,"D1 PROFILE",,,
"62505800000046","Nodes","46",21.000000,20.556975,"DDS demands","Known Flow",246459.335000,643207.200000,,0.000000,,,-3.579999,,-19.240000,,,,-20.406053,-22.819999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,
"62505800000017","Nodes","17",21.000000,56.463542,"DDS demands","Known Flow",246309.460000,643350.200000,,0.000000,,,,,-15.500000,,,,-13.860377,-15.500000,,"",,,,,"D1 PROFILE",,,
"62505800000019","Nodes","19",21.000000,55.653836,"DDS demands","Known Flow",246471.835000,643349.450000,,0.000000,,,,,-6.929999,,,,-6.196929,-6.929999,,"",,,,,"D1 PROFILE",,,
"62505800000020","Nodes","20",21.000000,53.182556,"DDS demands","Known Flow",246363.835000,643289.075000,,0.000000,,,,,-11.109999,,,,-9.934760,-11.109999,,"",,,,,"D1 PROFILE",,,
"62505800000018","Nodes","18",21.000000,55.840642,"DDS demands","Known Flow",246306.710000,643251.950000,,0.000000,,,,,-10.180000,,,,-9.103139,-10.180000,,"",,,,,"D1 PROFILE",,,
"62505800000021","Nodes","21",21.000000,53.125929,"DDS demands","Known Flow",246359.835000,643240.450000,,0.000000,,,,,-1.929999,,,,-1.725840,-1.929999,,"",,,,,"D1 PROFILE",,,
"62505800000022","Nodes","22",21.000000,53.120431,"DDS demands","Known Flow",246365.960000,643316.450000,,0.000000,,,,,-3.569999,,,,-3.192357,-3.569999,,"",,,,,"D1 PROFILE",,,
"62505800000023","Nodes","23",21.000000,53.002037,"DDS demands","Known Flow",246365.960000,643329.950000,,0.000000,,,,,-2.470000,,,,-2.208718,-2.470000,,"",,,,,"D1 PROFILE",,,
"62505800000002","Nodes","2",21.000000,56.633046,"DDS demands","Known Flow",246284.085000,643367.450000,,0.000000,,,,,-17.930000,,,,-16.033327,-17.930000,,"",,,,,"D1 PROFILE",,,
"62505800000001","Nodes","SMIDDY, FENWICK, Site ID 3214",21.000000,57.000000,"Default Known Pressure Node","Known Pressure",246268.585000,643366.950000,,1981.999934,,,,,,,,,405.268491,453.209990,,"",,,,,,,,
"62505800000014","Nodes","14",21.000000,54.260334,"DDS demands","Known Flow",246401.085000,643472.075000,,0.000000,,,,,-7.550000,,,,-6.751345,-7.550000,,"",,,,,"D1 PROFILE",,,
"62505800000015","Nodes","015, P11126239, Creelshaugh Road, 9.05scm/h",22.999998,51.500009,"CSEP DDS Matched","Known Flow",246561.323474,643540.935775,,0.000000,,,,,,-9.050000,,,-8.092672,-9.050000,,"",,,,,,"DC PROFILE",,
"62505800000016","Nodes","16",21.000000,54.027398,"DDS demands","Known Flow",246396.835000,643418.575000,,0.000000,,,,,-6.789999,,,,-6.071739,-6.789999,,"",,,,,"D1 PROFILE",,,
