"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62506500000019","Nodes","19",21.000000,8.116547,"DDS demands","Known Flow",244377.130000,617974.490000,,0.000000,,,,,-8.359999,,,,,-7.475661,-8.359999,,"",,,,,"D1 PROFILE",,,,
"62506500000020","Nodes","20",21.000000,7.699719,"DDS demands","Known Flow",244460.755000,617938.740000,,0.000000,,,,,-5.670000,,,,,-5.070216,-5.670000,,"",,,,,"D1 PROFILE",,,,
"62506500000002","Nodes","2",21.000000,45.972796,"DDS demands","Known Flow",244042.066234,618476.604980,,0.000000,,,,,-5.800000,,,,,-5.186464,-5.800000,,"",,,,,"D1 PROFILE",,,,
"62506500000001","Nodes","1",21.000000,47.685010,"DDS demands","Known Flow",244026.826798,618519.232774,,0.000000,-8.310000,,,,-3.559999,,,,,-10.614366,-11.870000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"62506500000211","Nodes","DRONGAN DG, Tel, No clocks, Site ID: 3149",21.000000,47.999998,"Default Known Pressure Node","Known Pressure",244029.206850,618522.749567,,999998.967025,,,,,,,,,,1471.345911,1645.399955,,"",,,,,,,,,
"62506500000005","Nodes","5",21.000000,41.462704,"DDS demands","Known Flow",244144.723849,618381.455320,,0.000000,,,,,-18.909999,,,,,-16.909660,-18.909999,,"",,,,,"D1 PROFILE",,,,
"62506500000085","Nodes","85",21.000000,39.807877,"DDS demands","Known Flow",244185.411250,618405.865000,,0.000000,,,,,-2.840000,,,,,-2.539578,-2.840000,,"",,,,,"D1 PROFILE",,,,
"62506500000218","Nodes","218",21.000000,36.934431,"Default Known Flow Node","Known Flow",244262.568248,618449.616677,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62506500000023","Nodes","23",21.000000,7.492112,"DDS demands","Known Flow",244573.735190,617915.430670,,0.000000,,,,,-8.310000,,,,,-7.430950,-8.310000,,"",,,,,"D1 PROFILE",,,,
"62506500000106","Nodes","106",21.000000,7.344535,"DDS demands","Known Flow",244567.699694,617949.679434,,0.000000,,,,,-6.179999,,,,,-5.526266,-6.179999,,"",,,,,"D1 PROFILE",,,,
