"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500900000765","Nodes","765","21.000000","22.743956","Default Known Flow Node","Known Flow","234440.204950","628742.948296","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000764","Nodes","764","21.000000","22.875211","DDS demands","Known Flow","234460.204955","628883.573334","","0.000000","","","-3.199999","","-9.079999","","","","","","","-10.980995","-12.279999","","","","","","C3 PROFILE","","D1 PROFILE","","","","","","",""
"62500900000096","Nodes","96","21.000000","38.953204","DDS demands","Known Flow","232441.079406","631594.574072","","0.000000","","","","","-29.250000","","","","","","","-26.155873","-29.250000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900001002","Nodes","Logger 9331, 50 North Shore Road","21.000000","38.803060","Val Log Cath","Known Flow","232488.177669","631692.214857","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000277","Nodes","277","21.000000","38.608697","Default Known Flow Node","Known Flow","232551.166014","631851.694871","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000975","Nodes","975","21.000000","28.246518","DDS demands","Known Flow","231312.266581","630842.695673","","0.000000","","","","","-52.940000","","","","","","","-47.339894","-52.940000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900001000","Nodes","1000, P13131781, BRADAN ROAD, SCH 9.60","22.999998","24.952358","CSEP Unmatched","Known Flow","231562.598237","630974.917992","","0.000000","","","","","","","","","","-9.600000","","-8.584492","-9.600000","","","","","","","","","","","","","PL-DC PROFILE","",""
"625009-60","Nodes","-60","21.000000","28.442546","Default Known Flow Node","Known Flow","231337.579105","630866.448874","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-133","Nodes","-133","21.000000","29.359894","Default Known Flow Node","Known Flow","231530.954158","631029.073918","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000079","Nodes","79","21.000000","29.355260","DDS demands","Known Flow","231530.875677","631031.637616","","0.000000","","","","","-18.189999","","","","","","","-16.265823","-18.189999","","","","","","","","D1 PROFILE","","","","","","",""
"625009-424","Nodes","-424","21.000000","30.630671","Default Known Flow Node","Known Flow","233097.939912","630500.966317","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000235","Nodes","235","21.000000","30.634992","DDS demands","Known Flow","233096.447584","630500.043774","","0.000000","","","","0.000000","-44.040000","","","","","","","-39.381358","-44.040000","","","","","","","C4 PROFILE","D1 PROFILE","","","","","","",""
"625009-413","Nodes","-413","21.000000","31.054703","Default Known Flow Node","Known Flow","233141.579596","630421.698753","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-24","Nodes","-24","21.000000","28.613252","Default Known Flow Node","Known Flow","231376.579116","630723.573835","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000184","Nodes","184","21.000000","28.614696","DDS demands","Known Flow","231379.174763","630726.731872","","0.000000","","","","","-41.209999","","","","","","","-36.850719","-41.209999","","","","","","","","D1 PROFILE","","","","","","",""
