"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"62506600000008","Nodes","8",21.000000,53.748587,"DDS demands","Known Flow",247757.208573,604497.191699,,0.000000,,,,-31.199999,,-27.899599,-31.199999,,"",,,,"D1 PROFILE",
"62506600000009","Nodes","9",21.000000,51.102241,"DDS demands","Known Flow",247799.958584,604386.941669,,0.000000,,,,-41.319999,,-36.949083,-41.319999,,"",,,,"D1 PROFILE",
"62506600000018","Nodes","18",21.000000,48.459558,"DDS demands","Known Flow",248006.583641,604235.066627,,0.000000,,,,-22.520000,,-20.137787,-22.520000,,"",,,,"D1 PROFILE",
"62506600001000","Nodes","1000",21.000000,48.093134,"Default Known Flow Node","Known Flow",248033.479529,604102.700441,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506600000021","Nodes","21",21.000000,47.506546,"DDS demands","Known Flow",248072.833659,604004.316565,,0.000000,,,,-9.260000,,-8.280457,-9.260000,,"",,,,"D1 PROFILE",
"62506600000012","Nodes","12",21.000000,55.931357,"DDS demands","Known Flow",247919.458617,604597.566726,,0.000000,,,-2.039999,-36.389998,,-34.364791,-38.429997,,"",,,"C4 PROFILE","D1 PROFILE",
"62506600000054","Nodes","54",21.000000,54.363883,"Default Known Flow Node","Known Flow",247865.872918,604584.675679,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506600000011","Nodes","11",21.000000,48.370938,"DDS demands","Known Flow",247857.458600,604060.941580,,0.000000,,,,-12.989999,,-11.615890,-12.989999,,"",,,,"D1 PROFILE",
"62506600000013","Nodes","13",21.000000,50.127782,"DDS demands","Known Flow",247902.458612,604415.941677,,0.000000,,,,-20.349999,,-18.197333,-20.349999,,"",,,,"D1 PROFILE",
"62506600000014","Nodes","14",21.000000,39.264494,"DDS demands","Known Flow",247889.333609,604311.441648,,0.000000,,,,-31.260000,,-27.953252,-31.260000,,"",,,,"D1 PROFILE",
"62506600000015","Nodes","15",21.000000,49.557900,"DDS demands","Known Flow",247949.583625,604324.691652,,0.000000,,,,-0.779999,,-0.697489,-0.779999,,"",,,,"D1 PROFILE",
"62506600000053","Nodes","53",21.000000,38.598073,"DDS demands","Known Flow",247812.833588,604368.566664,,0.000000,,,,-5.310000,,-4.748297,-5.310000,,"",,,,"D1 PROFILE",
