"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80009100000258","Nodes","258",21.000000,32.702437,"DDS demands","Known Flow",430642.125000,226390.375000,,0.000000,,,,,-6.320000,,,,,,,,-5.651457,-6.320000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000257","Nodes","257",21.000000,32.671443,"DDS demands","Known Flow",430704.000000,226429.375000,,0.000000,,,,,-13.749999,,,,,,,,-12.295496,-13.749999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000345","Nodes","345, P108321/01, LONDON ROAD, 20.03",24.000000,21.404921,"CSEP Unmatched","Known Flow",431699.750000,227362.875000,,0.000000,-6.000000,,,,-4.480000,-20.030001,,,,,,,-27.282589,-30.510000,,"","C1 PROFILE",,,,"D1 PROFILE","DC PROFILE",,,,,,
"800091-129683","Nodes","-129683",21.000000,21.662539,"Default Known Flow Node","Known Flow",431621.750000,227329.875000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-91023","Nodes","-91023",21.000000,21.736602,"Default Known Flow Node","Known Flow",431667.403606,227319.401071,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100003000","Nodes","3000",21.000000,23.267038,"Default Known Flow Node","Known Flow",431494.000000,227378.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-91022","Nodes","-91022",21.000000,23.251450,"Default Known Flow Node","Known Flow",431511.125000,227389.703125,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000348","Nodes","348",21.000000,23.421966,"DDS demands","Known Flow",431533.500000,227404.203125,,0.000000,,,,,-2.140000,,,,,,,,-1.913626,-2.140000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000027","Nodes","27",21.000000,22.042644,"DDS demands","Known Flow",431524.827376,227352.875852,,0.000000,-6.000000,,-2.809999,,-42.640001,,,,,,,,-46.007511,-51.450002,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",,,,,,,
"80009100000028","Nodes","28",21.000000,21.788023,"DDS demands","Known Flow",431553.375000,227354.625000,,0.000000,-7.159999,,,,-17.989999,,,,,,,,-22.489579,-25.149998,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
