"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80018800002120","Nodes","Land adj The Lodge Main Road, NA:17155",21.000000,41.635960,"Point Loads","Known Flow",484385.459962,228838.140479,,0.000000,,,,,,-10.020000,,-8.960063,-10.020000,,"",,,,,,"PL-AF PROFILE",
"80018800000071","Nodes","71",21.000000,24.515451,"DDS demands","Known Flow",483822.842809,228374.723353,,0.000000,,,,-16.659999,,,,-14.897669,-16.659999,,"",,,,"D1 PROFILE",,,
"80018800000003","Nodes",,21.000000,31.363455,"Default Known Flow Node","Known Flow",481583.956201,228964.691637,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80018800002006","Nodes","2006",21.000000,30.549852,"DDS demands","Known Flow",481583.469323,228964.970168,,0.000000,,,,-13.979999,,,,-12.501165,-13.979999,,"",,,,"D1 PROFILE",,,
"80018800002020","Nodes","2020",21.000000,28.356002,"DDS demands","Known Flow",481458.166165,229074.246543,,0.000000,,,,-9.020000,,,,-8.065845,-9.020000,,"",,,,"D1 PROFILE",,,
"80018800000072","Nodes","72",21.000000,24.432104,"DDS demands","Known Flow",483732.762784,228347.926345,,0.000000,,,,-3.299999,,,,-2.950918,-3.299999,,"",,,,"D1 PROFILE",,,
"80018800000073","Nodes","73",21.000000,24.505580,"DDS demands","Known Flow",483838.581813,228367.650351,,0.000000,,,,-2.840000,,,,-2.539578,-2.840000,,"",,,,"D1 PROFILE",,,
"80018800000057","Nodes","57",21.000000,29.778413,"DDS demands","Known Flow",483985.777853,228577.840408,,0.000000,,-5.859999,,-17.679999,,,,-21.049889,-23.539999,,"",,"C2 PROFILE",,"D1 PROFILE",,,
"80018800000054","Nodes","54",21.000000,35.935014,"DDS demands","Known Flow",484236.674743,228768.793387,,0.000000,,,-2.099999,-18.360000,-6.000000,,,-23.661006,-26.459999,,"",,,"C4 PROFILE","D1 PROFILE","I2 PROFILE",,
"80018800002015","Nodes","2015",21.000000,34.022365,"DDS demands","Known Flow",481673.949224,228877.454490,,0.000000,,,,-2.400000,,,,-2.146123,-2.400000,,"",,,,"D1 PROFILE",,,
"80018800002000","Nodes","2000",21.000000,64.327672,"DDS demands","Known Flow",481938.382732,228261.489549,,0.000000,,,,-3.410000,-4.579999,,,-7.144801,-7.990000,,"",,,,"D1 PROFILE","I2 PROFILE",,
"80018800002016","Nodes","2016",21.000000,32.897045,"DDS demands","Known Flow",481640.669215,228941.600507,,0.000000,,,,-7.440000,,,,-6.652981,-7.440000,,"",,,,"D1 PROFILE",,,
"80018800002018","Nodes","2018",21.000000,29.486677,"DDS demands","Known Flow",481624.674168,229102.922448,,0.000000,,,,-11.920000,,,,-10.659077,-11.920000,,"",,,,"D1 PROFILE",,,
"80018800002021","Nodes","2021",21.000000,26.154773,"DDS demands","Known Flow",481522.802183,229041.943534,,0.000000,,,,-16.190000,,,,-14.477388,-16.190000,,"",,,,"D1 PROFILE",,,
"80018800002024","Nodes","2024",21.000000,29.522325,"Default Known Flow Node","Known Flow",481408.323152,229055.191538,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80018800000076","Nodes","76",21.000000,26.050311,"DDS demands","Known Flow",483773.081795,228470.007379,,0.000000,,,,-10.090000,,,,-9.022658,-10.090000,,"",,,,"D1 PROFILE",,,
