"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80013900000066","Nodes","66",21.000000,30.633104,"DDS demands","Known Flow",478963.521486,239977.342510,,0.000000,,,,,,,-2.250000,,,,,,-2.011990,-2.250000,,"",,,,,,,"D1 PROFILE",,,,,
"80013900000065","Nodes","65",21.000000,30.677009,"DDS demands","Known Flow",478976.676337,239995.195522,,0.000000,,,,,,,-14.149999,,,,,,-12.653183,-14.149999,,"",,,,,,,"D1 PROFILE",,,,,
"80013900001000","Nodes","1000",21.000000,43.030543,"Default Known Flow Node","Known Flow",479364.767630,240514.590242,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900001001","Nodes","1001",21.000000,43.075737,"Default Known Flow Node","Known Flow",479355.650593,240508.876655,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900000116","Nodes","116",21.000000,42.815612,"DDS demands","Known Flow",479373.786342,240482.477594,,0.000000,,,,,,,-8.260000,,,,,,-7.386240,-8.260000,,"",,,,,,,"D1 PROFILE",,,,,
"80013900000115","Nodes","115",21.000000,44.397909,"DDS demands","Known Flow",479305.562579,240601.507680,,0.000000,,,,,,,-3.270000,,,,,,-2.924092,-3.270000,,"",,,,,,,"D1 PROFILE",,,,,
"80013900003638","Nodes","3638",21.000000,42.498433,"Default Known Flow Node","Known Flow",479331.896587,240568.467671,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900000114","Nodes","114",21.000000,43.029196,"DDS demands","Known Flow",479366.896596,240511.092655,,0.000000,,,,,,,-4.190000,,,,,,-3.746773,-4.190000,,"",,,,,,,"D1 PROFILE",,,,,
"80013900003673","Nodes","3673",21.000000,45.814145,"Default Known Flow Node","Known Flow",479880.521736,239953.967504,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900003672","Nodes","3672",21.000000,45.854000,"Default Known Flow Node","Known Flow",479877.396735,239949.717502,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900000006","Nodes","Fullers Slade DG, Constant, Site ID 5429",21.000000,45.999998,"Default Known Pressure Node","Known Pressure",480211.271826,239676.717428,,4969.999802,,,,,,,,,,,,,270.865504,302.907776,,"",,,,,,,,,,,,
"80013900003621","Nodes","3621",21.000000,45.990640,"Default Known Flow Node","Known Flow",480211.602165,239677.708444,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900003732","Nodes","3732",21.000000,45.979745,"Default Known Flow Node","Known Flow",479873.896734,239945.092501,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900000003","Nodes","Gally Hill DG, Constant, Site ID 5424",21.000000,45.999998,"Default Known Pressure Node","Known Pressure",479872.896734,239946.092501,,6910.000065,,,,,,,,,,,,,1230.882009,1376.490150,,"",,,,,,,,,,,,
"80013900000442","Nodes","442",21.000000,46.897887,"Default Known Flow Node","Known Flow",479439.032187,240682.296684,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80013900000005","Nodes","Fairfields DG, Constant Site ID 5425",21.000000,46.999998,"Default Known Pressure Node","Known Pressure",479438.146616,240684.842702,,4969.999802,,,,,,,,,,,,,1512.884363,1691.852073,,"",,,,,,,,,,,,
