"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003700000177","Nodes","177","21.000000","29.341943","DDS demands","Known Flow","471549.198181","205852.203112","","0.000000","","","","","","-17.780000","","","","","-15.899194","-17.780000","","","","","","","","D1 PROFILE","","","",""
"80003700009223","Nodes","-84247","21.000000","29.136611","Default Known Flow Node","Known Flow","471647.411891","205869.960649","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000125","Nodes","125","21.000000","35.348218","DDS demands","Known Flow","471423.724435","205636.664166","","0.000000","","","","","","-6.869999","","","","","-6.143277","-6.869999","","","","","","","","D1 PROFILE","","","",""
"80003700000662","Nodes","662","21.000000","35.869742","DDS demands","Known Flow","471377.015370","205669.037979","","0.000000","","","","","","-8.680000","","","","","-7.761811","-8.680000","","","","","","","","D1 PROFILE","","","",""
"80003700000189","Nodes","189","21.000000","35.238750","DDS demands","Known Flow","471436.679299","205624.941407","","0.000000","","","","","","-4.050000","","","","","-3.621582","-4.050000","","","","","","","","D1 PROFILE","","","",""
"80003700000029","Nodes","029, OPR","21.000000","21.642145","OPR","Known Flow","470361.990415","206225.047162","","0.000000","-8.010000","","","","","-2.329999","","-15.999999","","","-23.553699","-26.340000","","","C1 PROFILE","","","","","D1 PROFILE","","I2 PROFILE","",""
"80003700008000","Nodes","8000","21.000000","21.642145","Default Known Flow Node","Known Flow","470366.752147","206244.178331","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000483","Nodes","483","21.000000","22.109221","DDS demands","Known Flow","470359.615145","206208.565321","","0.000000","","","","","","-4.060000","","","","","-3.630524","-4.060000","","","","","","","","D1 PROFILE","","","",""
"80003700000017","Nodes","17","21.000000","30.184833","DDS demands","Known Flow","469830.446751","205649.202627","","0.000000","","","","","","-23.339999","","","","","-20.871044","-23.339999","","","","","","","","D1 PROFILE","","","",""
"80003700000485","Nodes","485","21.000000","33.701513","DDS demands","Known Flow","470687.376880","205743.334040","","0.000000","","","","","","-5.079999","","","","","-4.542626","-5.079999","","","","","","","","D1 PROFILE","","","",""
