"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003800000223","Nodes","223",21.000000,43.565806,"DDS demands","Known Flow",486856.130570,208052.130864,,0.000000,,-15.999999,,,-10.239999,,,,,-23.464278,-26.240000,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,
"80003800000224","Nodes","224",21.000000,43.217563,"DDS demands","Known Flow",486815.110901,208032.954265,,0.000000,,,,,-6.280000,,,,,-5.615688,-6.280000,,"",,,,,"D1 PROFILE",,,,
"80003800000233","Nodes","233",21.000000,45.992600,"DDS demands","Known Flow",486822.762635,208097.165180,,0.000000,,,,,-4.249999,,,,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",,,,
"80003800000397","Nodes","397",21.000000,42.541440,"DDS demands","Known Flow",487626.230844,208787.855023,,0.000000,,,,,-16.509999,,,,,-14.763537,-16.509999,,"",,,,,"D1 PROFILE",,,,
"80003800001007","Nodes","1007",21.000000,42.195297,"Default Known Flow Node","Known Flow",487638.002654,208831.515557,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000364","Nodes","364",21.000000,40.295003,"Default Known Flow Node","Known Flow",487587.280109,208761.939417,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800001006","Nodes","1006",21.000000,35.388118,"Default Known Flow Node","Known Flow",486960.647381,207866.282333,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000081","Nodes","81",21.000000,35.334578,"DDS demands","Known Flow",486961.934773,207864.940743,,0.000000,,,,,-9.249999,,,,,-8.271515,-9.249999,,"",,,,,"D1 PROFILE",,,,
"80003800000074","Nodes","74",21.000000,33.717998,"DDS demands","Known Flow",486882.670983,207709.576242,,0.000000,,,,,-12.310000,,,,,-11.007822,-12.310000,,"",,,,,"D1 PROFILE",,,,
"80003800001005","Nodes","1005",21.000000,34.299399,"Default Known Flow Node","Known Flow",486943.664310,207743.351745,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000258","Nodes","258",21.000000,34.267901,"DDS demands","Known Flow",486951.442700,207747.178850,,0.000000,,,,,-11.810000,,,,,-10.560714,-11.810000,,"",,,,,"D1 PROFILE",,,,
"80003800000413","Nodes","413",21.000000,42.496695,"Default Known Flow Node","Known Flow",487624.651559,208778.693537,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000212","Nodes","212",21.000000,40.907793,"DDS demands","Known Flow",487564.989019,208687.790789,,0.000000,,,,,-4.249999,,,,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",,,,
"80003800000105","Nodes","105",21.000000,41.243420,"DDS demands","Known Flow",487481.463727,208331.862436,,0.000000,,,,,-10.600000,,,,,-9.478710,-10.600000,,"",,,,,"D1 PROFILE",,,,
"80003800000062","Nodes","62",21.000000,34.198556,"DDS demands","Known Flow",486447.833523,208087.869833,,0.000000,,,,,-11.560000,,,,,-10.337159,-11.560000,,"",,,,,"D1 PROFILE",,,,
"80003800000061","Nodes","61",21.000000,34.070166,"DDS demands","Known Flow",486441.677426,208080.260450,,0.000000,,,,,-2.190000,,,,,-1.958337,-2.190000,,"",,,,,"D1 PROFILE",,,,
"80003800000232","Nodes","232",21.000000,48.283013,"DDS demands","Known Flow",486794.421617,208140.830847,,0.000000,,-21.879999,,,,,,,,-19.565486,-21.879999,,"",,"C2 PROFILE",,,,,,,
"80003800009729","Nodes","-105351",21.000000,41.900248,"Default Known Flow Node","Known Flow",487343.272186,208145.485626,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000183","Nodes","183",21.000000,45.588241,"DDS demands","Known Flow",486325.126218,208967.604123,,0.000000,-3.920000,,,,-4.829999,,,,,-7.824406,-8.749999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"80003800008015","Nodes","Logger 0154, os 150 Aylesbury Road",21.000000,45.350653,"Val Log Post","Known Flow",486312.770858,208981.118816,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000060","Nodes","60",21.000000,34.118853,"DDS demands","Known Flow",486405.070511,208032.183817,,0.000000,,,,,-11.649999,,,,,-10.417637,-11.649999,,"",,,,,"D1 PROFILE",,,,
"80003800008014","Nodes","8014",21.000000,34.081188,"Default Known Flow Node","Known Flow",486439.143012,208078.617460,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800008013","Nodes","8013",21.000000,44.989715,"DDS demands","Known Flow",486687.354127,208612.119721,,0.000000,,,,,-4.780000,,,,,-4.274362,-4.780000,,"",,,,,"D1 PROFILE",,,,
"80003800008002","Nodes","8002",21.000000,47.142477,"DDS demands","Known Flow",486694.801779,208702.468052,,0.000000,,,,,-14.779999,,,,,-13.216540,-14.779999,,"",,,,,"D1 PROFILE",,,,
"80003800008009","Nodes","8009",21.000000,45.248291,"DDS demands","Known Flow",486740.492753,208759.101558,,0.000000,,,,,-10.239999,,,,,-9.156791,-10.239999,,"",,,,,"D1 PROFILE",,,,
"80003800008010","Nodes","8010",21.000000,45.064649,"DDS demands","Known Flow",486749.450605,208725.005006,,0.000000,,,,,-9.999999,,,,,-8.942178,-9.999999,,"",,,,,"D1 PROFILE",,,,
"80003800008006","Nodes","8006",21.000000,45.947793,"DDS demands","Known Flow",486667.308538,208793.066407,,0.000000,,,,,-14.319999,,,,,-12.805199,-14.319999,,"",,,,,"D1 PROFILE",,,,
"80003800008003","Nodes","8003",21.000000,47.336812,"Default Known Flow Node","Known Flow",486685.895194,208717.568792,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000322","Nodes","322",21.000000,29.854687,"Default Known Flow Node","Known Flow",486840.126608,207529.121523,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000282","Nodes","282",21.000000,28.247683,"DDS demands","Known Flow",486897.548948,207385.578726,,0.000000,,,,,-1.690000,,,,,-1.511228,-1.690000,,"",,,,,"D1 PROFILE",,,,
"80003800000411","Nodes","411",21.000000,26.863101,"Default Known Flow Node","Known Flow",486968.477665,207280.298613,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000291","Nodes","291",21.000000,46.213405,"Default Known Flow Node","Known Flow",486699.128794,208420.050471,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000303","Nodes","303",21.000000,46.196806,"Default Known Flow Node","Known Flow",486693.499381,208436.956509,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000290","Nodes","290",21.000000,48.511437,"Default Known Flow Node","Known Flow",486644.562252,208541.588651,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000408","Nodes","408",21.000000,45.699023,"DDS demands","Known Flow",486646.136665,208420.270588,,0.000000,,,,,-8.329999,,,,,-7.448834,-8.329999,,"",,,,,"D1 PROFILE",,,,
"80003800000304","Nodes","304",21.000000,46.186947,"Default Known Flow Node","Known Flow",486693.987590,208435.408927,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000030","Nodes","30",21.000000,48.359419,"DDS demands","Known Flow",486529.772545,208721.425005,,0.000000,,,,,-11.640000,,,,,-10.408696,-11.640000,,"",,,,,"D1 PROFILE",,,,
"80003800009764","Nodes","-8001",21.000000,46.881165,"Default Known Flow Node","Known Flow",486426.092703,208860.319121,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800000288","Nodes","288",21.000000,46.555685,"DDS demands","Known Flow",486395.478947,208887.045621,,0.000000,,,,,-11.100000,,,,,-9.925818,-11.100000,,"",,,,,"D1 PROFILE",,,,
"80003800000339","Nodes","339",21.000000,37.749849,"DDS demands","Known Flow",488091.197446,208413.276757,,0.000000,,,,,-9.880000,,,,,-8.834873,-9.880000,,"",,,,,"D1 PROFILE",,,,
"80003800000292","Nodes","292",21.000000,41.518582,"DDS demands","Known Flow",487535.479819,208500.168945,,0.000000,,,,,-0.689999,,,,,-0.617010,-0.689999,,"",,,,,"D1 PROFILE",,,,
"80003800009725","Nodes","-105307",21.000000,43.886153,"Default Known Flow Node","Known Flow",487022.185411,208212.575434,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80003800009728","Nodes","-105344",21.000000,40.385612,"Default Known Flow Node","Known Flow",487308.459456,208001.792670,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
