"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"800084-198704","Nodes","-198704","21.000000","34.327865","Default Known Flow Node","Known Flow","443571.636856","209572.334236","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80008400001000","Nodes","1000","21.000000","32.813156","Default Known Flow Node","Known Flow","443717.040966","209611.713720","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800084-221002","Nodes","-221002","21.000000","31.332988","Default Known Flow Node","Known Flow","445978.060139","206543.388096","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800084-291831","Nodes","-291831","21.000000","31.175778","Default Known Flow Node","Known Flow","445946.460573","206565.954256","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80008400000183","Nodes","183","21.000000","32.416407","DDS demands","Known Flow","443752.761905","209617.209249","","0.000000","","","","","-10.859999","","","","","","","","-9.711205","-10.859999","","","","","","","D1 PROFILE","","","","","","",""
"800084-209750","Nodes","-209750","21.000000","36.659836","Default Known Flow Node","Known Flow","442852.261660","208602.583973","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80008400000364","Nodes","364","21.000000","36.657115","DDS demands","Known Flow","442794.503843","208544.826156","","0.000000","","","","","-1.700000","","","","","","","","-1.520170","-1.700000","","","","","","","D1 PROFILE","","","","","","",""
"800084-344","Nodes","-344","21.000000","36.657115","Default Known Flow Node","Known Flow","442805.183123","208533.958223","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80008400000286","Nodes","286","21.000000","20.598745","DDS demands","Known Flow","442809.511648","209146.334121","","0.000000","","","","","-3.589999","","","","","","","","-3.210242","-3.589999","","","","","","","D1 PROFILE","","","","","","",""
"80008400008005","Nodes","8005","21.000000","20.578721","Default Known Flow Node","Known Flow","442804.739440","209159.525557","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80008400000287","Nodes","287","21.000000","20.548321","DDS demands","Known Flow","442793.761644","209177.709129","","0.000000","","","","","-4.539999","","","","","","","","-4.059749","-4.539999","","","","","","","D1 PROFILE","","","","","","",""
"80008400000062","Nodes","62","21.000000","30.653683","DDS demands","Known Flow","445021.776315","207084.116519","","0.000000","","","","","-1.220000","","","","","","","","-1.090945","-1.220000","","","","","","","D1 PROFILE","","","","","","",""
"80008400008004","Nodes","LOGGER, SITE ID 4298","21.000000","30.702102","Val Log Post","Known Flow","445014.379462","207087.272875","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800084-274139","Nodes","-274139","21.000000","31.551077","Default Known Flow Node","Known Flow","444859.137206","207154.708579","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80008400000034","Nodes","34","21.000000","36.275244","DDS demands","Known Flow","443334.761791","209757.959287","","0.000000","","","","","-24.059999","","","","","","","","-21.514881","-24.059999","","","","","","","D1 PROFILE","","","","","","",""
"80008400008003","Nodes","LOGGER, SITE ID 4297","21.000000","36.206067","Val Log Post","Known Flow","443332.911920","209744.298698","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
