"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80003300002397","Nodes","2397",21.000000,39.268632,"DDS demands","Known Flow",479471.271625,214305.460524,,0.000000,,,,-2.829999,,,,,,-10.079999,,,,,,-11.544352,-12.910000,,"",,,,"C4 PROFILE",,,,,,"I2 PROFILE",,,,,
"80003300000888","Nodes","888",21.000000,40.354761,"Default Known Flow Node","Known Flow",479487.396629,214295.210522,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300000889","Nodes","889",21.000000,40.311742,"Default Known Flow Node","Known Flow",479546.146645,214232.210504,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-100767","Nodes","-100767",21.000000,40.852466,"Default Known Flow Node","Known Flow",479526.021639,214302.585524,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002270","Nodes","2270",21.000000,40.809480,"Default Known Flow Node","Known Flow",479521.646638,214314.335527,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002396","Nodes","2396",21.000000,38.953890,"DDS demands","Known Flow",479335.521588,214340.085534,,0.000000,-1.090000,,,,,,,,,-4.900000,,,,,,-5.356365,-5.989999,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,,,,
"80003300002395","Nodes","2395",21.000000,39.255568,"DDS demands","Known Flow",479469.037685,214306.024574,,0.000000,-4.519999,,,,,,,,,,,,,,,-4.041864,-4.519999,,"","C1 PROFILE",,,,,,,,,,,,,,
"800033-95188","Nodes","-95188",21.000000,43.179183,"Default Known Flow Node","Known Flow",479779.897909,214491.961605,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"800033-100748","Nodes","-100748",21.000000,39.255568,"Default Known Flow Node","Known Flow",479467.021623,214297.085522,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"80003300002268","Nodes","2268, P09121986, NEW DEV@53 BICESTER ROAD, -9.51SCMH",22.999998,42.573211,"CSEP Unmatched","Known Flow",481467.188538,214316.243512,,0.000000,,,,,,,,,,,,,,-9.509999,,-8.504012,-9.509999,,"",,,,,,,,,,,,,,"DC PROFILE",
