"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80300100021178","Nodes","21178",21.000000,27.788840,"DDS demands","Known Flow",466487.206330,171959.480178,,0.000000,,,,,,,-4.110000,,,,,,,,,-3.675235,-4.110000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80300100021179","Nodes","1179, P09121236, 182 & R/O 194 KIDMORE ROAD, (-12.56&CONDI 16 -23.82)SCMH",24.000000,30.493219,"CSEP DDS Matched","Known Flow",470591.324737,176189.040894,,0.000000,,,,,,-11.270000,,-12.550000,,,,,,,,-21.300271,-23.820000,,"",,,,,,"CT PROFILE",,"DC PROFILE",,,,,,,
"80300100030242","Nodes","30242",21.000000,31.131257,"DDS demands","Known Flow",471911.509802,177082.964902,,0.000000,,,,,,,-5.039999,,,,,,,,,-4.506857,-5.039999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80300100030241","Nodes","30241",21.000000,29.994021,"DDS demands","Known Flow",472046.964604,177031.361382,,0.000000,,,,,,,-17.379999,,,,,,,,,-15.541506,-17.379999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80300100006934","Nodes","6934",21.000000,26.399902,"DDS demands","Known Flow",471999.894591,173253.824354,,0.000000,,,,,,,-8.569999,,,,,,,,,-7.663447,-8.569999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80300100000641","Nodes","641",21.000000,26.437118,"DDS demands","Known Flow",472039.394602,173262.574356,,0.000000,,,,,,,-7.289999,,,,,,,,,-6.518848,-7.289999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80300100006566","Nodes","6566",21.000000,32.287615,"DDS demands","Known Flow",472425.894707,171368.323841,,0.000000,,,,,,,-5.349999,,,,,,,,,-4.784065,-5.349999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"80300100006269","Nodes","6269, P08119346, R/O 81 - 83 (FLATS 1-5 ) AMBROOK ROAD, -6.09SCMH",22.999998,31.059916,"CSEP DDS Matched","Known Flow",471829.137069,169847.693062,,0.000000,,,,,,,,-6.090000,,,,,,,,-5.445787,-6.090000,,"",,,,,,,,"DC PROFILE",,,,,,,
"80300100000031","Nodes","Suttons Seeds Ind./A4 London Road DG, R475D, Constant/Seasonal Settings, Site ID 4466",21.000000,30.000000,"Default Known Pressure Node","Known Pressure",473405.269974,173671.949468,,1679.999959,,,,,,,,,,,,,,,,359.189449,401.679989,,"",,,,,,,,,,,,,,,
"80300100006429","Nodes","6429",21.000000,30.570202,"DDS demands","Known Flow",472464.269718,173559.449437,,0.000000,-3.219999,,,-6.650000,,,,,,,,,,,,-8.825930,-9.870000,,"","C1 PROFILE",,,"C4 PROFILE",,,,,,,,,,,
