"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"80060100000036","Nodes","36",21.000000,27.899306,"DDS demands","Known Flow",465016.500000,204943.796875,,0.000000,-4.280000,,-3.827252,-4.280000,,"","D1 PROFILE",
"80060100000039","Nodes","39",21.000000,27.904988,"DDS demands","Known Flow",465024.406250,204980.296875,,0.000000,-0.639999,,-0.572299,-0.639999,,"","D1 PROFILE",
"80060100000013","Nodes","13",21.000000,27.974039,"DDS demands","Known Flow",465022.593750,205219.296875,,0.000000,-19.200001,,-17.168985,-19.200001,,"","D1 PROFILE",
"80060100000026","Nodes","26",21.000000,28.017868,"Default Known Flow Node","Known Flow",465025.375000,205195.843750,,0.000000,,,0.000000,0.000000,,"",,
"80060100000014","Nodes","14",21.000000,27.974039,"Default Known Flow Node","Known Flow",465005.250000,205192.500000,,0.000000,,,0.000000,0.000000,,"",,
"80060100000034","Nodes","34, P08119236, Station Yard, Oxford Road, -14.12 SCMHS",22.999998,27.870124,"CSEP Unmatched","Known Flow",464700.031251,205049.936184,,0.000000,,-14.120000,-12.626357,-14.120000,,"",,"DC PROFILE"
"80060100000021","Nodes","21",21.000000,26.194054,"DDS demands","Known Flow",465095.312500,204819.093750,,0.000000,-4.810000,,-4.301188,-4.810000,,"","D1 PROFILE",
"80060100000020","Nodes","20",21.000000,26.348852,"DDS demands","Known Flow",465024.812500,204803.593750,,0.000000,-20.209999,,-18.072142,-20.209999,,"","D1 PROFILE",
"80060100000038","Nodes","38",21.000000,27.950512,"DDS demands","Known Flow",465004.906250,204998.296875,,0.000000,-7.089999,,-6.340004,-7.089999,,"","D1 PROFILE",
"80060100000022","Nodes","22",21.000000,26.323831,"DDS demands","Known Flow",465023.812500,204794.796875,,0.000000,-6.239999,,-5.579919,-6.239999,,"","D1 PROFILE",
"80060100000023","Nodes","23",21.000000,26.323831,"Default Known Flow Node","Known Flow",465074.093750,204779.796875,,0.000000,,,0.000000,0.000000,,"",,
"80060100000024","Nodes","24, MANOR FARM P07115888/1",22.999998,24.415849,"CSEP Unmatched","Known Flow",465043.312500,204627.593750,,0.000000,-4.869999,-12.279999,-15.335836,-17.149998,,"","D1 PROFILE",""
"80060100000032","Nodes","32",21.000000,28.053652,"DDS demands","Known Flow",464578.406250,205021.000000,,0.000000,-1.570000,,-1.403922,-1.570000,,"","D1 PROFILE",
"80060100000031","Nodes","31",21.000000,29.000803,"DDS demands","Known Flow",464808.093750,205061.906250,,0.000000,-1.009999,,-0.903160,-1.009999,,"","D1 PROFILE",
"80060100000016","Nodes","16",21.000000,27.564580,"DDS demands","Known Flow",464874.000000,205431.500000,,0.000000,-4.239999,,-3.791483,-4.239999,,"","D1 PROFILE",
"80060100000015","Nodes","15",21.000000,27.545538,"DDS demands","Known Flow",464885.406250,205417.500000,,0.000000,-5.429999,,-4.855602,-5.429999,,"","D1 PROFILE",
"80060100000018","Nodes","18",21.000000,27.388210,"DDS demands","Known Flow",464960.593750,205448.000000,,0.000000,-2.570000,,-2.298140,-2.570000,,"","D1 PROFILE",
"80060100000017","Nodes","17",21.000000,27.402619,"DDS demands","Known Flow",464940.312500,205447.593750,,0.000000,-2.089999,,-1.868915,-2.089999,,"","D1 PROFILE",
"80060100007000","Nodes","7000",21.000000,29.269729,"Default Known Flow Node","Known Flow",464983.125000,205132.625000,,0.000000,,,0.000000,0.000000,,"",,
"80060100000030","Nodes","30",21.000000,29.454318,"Default Known Flow Node","Known Flow",464987.906250,205120.406250,,0.000000,,,0.000000,0.000000,,"",,
"80060100000033","Nodes","33",21.000000,29.011143,"Default Known Flow Node","Known Flow",464810.500000,205055.796875,,0.000000,,,0.000000,0.000000,,"",,
"80060100000006","Nodes","6",21.000000,29.010755,"DDS demands","Known Flow",464810.812500,205055.000000,,0.000000,-5.749999,,-5.141752,-5.749999,,"","D1 PROFILE",
"80060100000008","Nodes","8",21.000000,29.005661,"DDS demands","Known Flow",464727.093750,205027.906250,,0.000000,-2.640000,,-2.360735,-2.640000,,"","D1 PROFILE",
"80060100000012","Nodes","12",21.000000,28.329643,"DDS demands","Known Flow",464907.906250,205356.406250,,0.000000,-7.179999,,-6.420484,-7.179999,,"","D1 PROFILE",
"800601-122329","Nodes","-122329",21.000000,28.133508,"Default Known Flow Node","Known Flow",464965.750000,205335.750000,,0.000000,,,0.000000,0.000000,,"",,
