"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"80323100113279","Nodes","113279",21.000000,28.612617,"Default Known Flow Node","Known Flow",444940.175397,188756.945708,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000033","Nodes","33",21.000000,28.612617,"Default Known Flow Node","Known Flow",444945.453251,188729.993054,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100021002","Nodes","21002",21.000000,47.032435,"Default Known Flow Node","Known Flow",446041.373931,188717.409888,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001002","Nodes","1002",21.000000,47.024491,"Default Known Flow Node","Known Flow",446035.961429,188681.173649,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001001","Nodes","1001",21.000000,47.013703,"Default Known Flow Node","Known Flow",446036.933319,188679.063561,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100011001","Nodes","11001",21.000000,47.041254,"Default Known Flow Node","Known Flow",446038.324547,188754.671213,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000027","Nodes","27",21.000000,47.526166,"DDS demands","Known Flow",445969.520409,188968.048009,,0.000000,,,-13.760000,,,-12.304439,-13.760000,,"",,,"D1 PROFILE",,
"80323100021000","Nodes","21000",21.000000,47.554744,"Default Known Flow Node","Known Flow",445968.130502,188975.742122,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000016","Nodes","16",21.000000,47.554444,"DDS demands","Known Flow",445968.027871,188976.375626,,0.000000,-2.959999,,-17.639999,,,-18.420888,-20.599999,,"","C3  PROFILE",,"D1 PROFILE",,
"80323100000028","Nodes","28",21.000000,38.873877,"DDS demands","Known Flow",445810.777465,188837.481594,,0.000000,,,-9.529999,,,-8.521896,-9.529999,,"",,,"D1 PROFILE",,
"80323100011000","Nodes","11000",21.000000,39.099633,"Default Known Flow Node","Known Flow",445773.431140,188838.206446,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000032","Nodes","32",21.000000,28.623131,"Default Known Flow Node","Known Flow",444939.582171,188759.291041,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000030","Nodes","30",21.000000,39.114181,"DDS demands","Known Flow",445746.299682,188838.189856,,0.000000,,,-2.349999,,,-2.101411,-2.349999,,"",,,"D1 PROFILE",,
"80323100000021","Nodes","21",21.000000,45.770542,"DDS demands","Known Flow",445881.853056,188988.808526,,0.000000,,,-8.470000,,,-7.574026,-8.470000,,"",,,"D1 PROFILE",,
"80323100034818","Nodes","34818",21.000000,45.722349,"Default Known Flow Node","Known Flow",445880.955520,188988.975914,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000038","Nodes","38",21.000000,40.252465,"DDS demands","Known Flow",445783.977900,188965.883497,,0.000000,,,-1.039999,,,-0.929986,-1.039999,,"",,,"D1 PROFILE",,
"80323100000019","Nodes","19",21.000000,47.025699,"DDS demands","Known Flow",445898.335917,188985.735151,,0.000000,,-4.590000,-0.310000,,,-4.381667,-4.900000,,"",,"C4 PROFILE","D1 PROFILE",,
"80323100034823","Nodes","34823",21.000000,47.325145,"Default Known Flow Node","Known Flow",445900.406490,188985.779635,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
