"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80015300000102","Nodes",,21.000000,29.939034,"DDS demands","Known Flow",469353.795871,208903.277054,,0.000000,,,,,-6.579999,,,,-5.883953,-6.579999,,"",,,,,"D1 PROFILE",,,
"80015300000134","Nodes",,21.000000,29.426570,"DDS demands","Known Flow",469399.596445,208943.978528,,0.000000,,,,,-8.449999,,,,-7.556141,-8.449999,,"",,,,,"D1 PROFILE",,,
"80015300000105","Nodes",,21.000000,37.540535,"DDS demands","Known Flow",469242.698841,208806.408028,,0.000000,,,,,-5.530000,,,,-4.945025,-5.530000,,"",,,,,"D1 PROFILE",,,
"80015300000014","Nodes",,21.000000,38.259767,"DDS demands","Known Flow",469305.966601,208727.675903,,0.000000,,-7.289999,,,-12.119999,,,,-17.356768,-19.409999,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"80015300000066","Nodes",,21.000000,40.240699,"DDS demands","Known Flow",469415.323888,208597.105971,,0.000000,,,,-4.439999,-11.609999,,,,-14.352197,-16.049999,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"80015300000147","Nodes",,21.000000,32.900384,"DDS demands","Known Flow",469492.779931,208637.860531,,0.000000,-6.000000,,,,,,,,-5.365307,-6.000000,,"","C1 PROFILE",,,,,,,
"80015300000103","Nodes",,21.000000,30.827401,"DDS demands","Known Flow",469333.577866,208879.559048,,0.000000,,,,,-3.499999,,,,-3.129762,-3.499999,,"",,,,,"D1 PROFILE",,,
"80015300000104","Nodes",,21.000000,31.274373,"DDS demands","Known Flow",469325.586864,208871.540046,,0.000000,,,,,-7.340000,,,,-6.563559,-7.340000,,"",,,,,"D1 PROFILE",,,
"80015300000135","Nodes",,21.000000,29.377296,"DDS demands","Known Flow",469434.404410,208935.069670,,0.000000,,,,,-1.129999,,,,-1.010466,-1.129999,,"",,,,,"D1 PROFILE",,,
"80015300000136","Nodes",,21.000000,29.340601,"DDS demands","Known Flow",469427.884892,208948.030067,,0.000000,,,,,-3.930000,,,,-3.514276,-3.930000,,"",,,,,"D1 PROFILE",,,
