"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"80000600009010","Nodes","P08117801, Churchill Way, 175.48","30.000000","32.597343","CSEP DDS Matched","Known Flow","462986.818613","152271.744183","","0.000000","","","","","","","","-146.500003","","","","","","","-131.002928","-146.500003","","","","","","","","","","","DC PROFILE","","","","","","",""
"80000600006320","Nodes","","21.000000","49.235240","Default Known Flow Node","Known Flow","464981.392682","154015.944119","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"80000600000070","Nodes","Gainsborough Road / Black Dam Way DG, Site ID 4034","21.000000","33.999999","Default Known Pressure Node","Known Pressure","464591.517576","151192.443351","","2470.000080","","","","","","","","","","","","","","","349.424578","390.760017","","","","","","","","","","","","","","","","","",""
"80000600000002","Nodes","Park Pardens / Parkside Road DG","21.000000","40.000000","Default Known Pressure Node","Known Pressure","464359.892513","151311.693383","","5229.999962","","","","","","","","","","","","","","","27.899599","31.199999","","","","","","","","","","","","","","","","","",""
"80000600000011","Nodes","Hatch Warren Lane DG, Site ID 4021","21.000000","40.000000","Default Known Pressure Node","Known Pressure","462819.642093","150044.693039","","1479.999947","","","","","","","","","","","","","","","254.082924","284.139835","","","","","","","","","","","","","","","","","",""
"80000600000013","Nodes","Bilton Ind Estate DG","21.000000","40.000000","Default Known Pressure Node","Known Pressure","462617.767038","150488.818159","","2400.000003","","","","","","","","","","","","","","","131.199641","146.719995","","","","","","","","","","","","","","","","","",""
"80000600000068","Nodes","Group Profile 1, Cliddesden Road DG, 4032","21.000000","44.000001","Default Known Pressure Node","Known Pressure","463715.642337","150604.443191","","5000.000020","","","","","","","","","","","","","","","1973.082223","2206.489265","","","","","","","","","","","","","","","","","",""
"80000600000059","Nodes","Group Profile 2, Wessex Close DG,4029","21.000000","40.000000","Default Known Pressure Node","Known Pressure","463035.392152","151286.943377","","11000.000389","","","","","","","","","","","","","","","2425.312040","2712.215804","","","","","","","","","","","","","","","","","",""
"80000600006330","Nodes","","21.000000","49.370154","Default Known Flow Node","Known Flow","465006.495231","154177.614078","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"80000600006357","Nodes","","21.000000","49.501928","DDS demands","Known Flow","464944.642672","154191.069167","","0.000000","-10.479999","","","","","","","","","","","","","","-9.371402","-10.479999","","","","C1 PROFILE","","","","","","","","","","","","","",""
"80000600006317","Nodes","","21.000000","49.560761","Default Known Flow Node","Known Flow","464932.017668","154189.435979","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"80000600006332","Nodes","Reading Road DG","21.000000","49.999998","Default Known Pressure Node","Known Pressure","464929.635074","154176.790901","","399.999988","","","","","","","","","","","","","","","117.983107","131.939995","","","","","","","","","","","","","","","","","",""
"80000600000081","Nodes","Coates Close DG, Site ID 4036","21.000000","40.000000","Default Known Pressure Node","Known Pressure","462734.392070","150371.193127","","6285.000135","","","","","","","","","","","","","","","333.894797","373.393079","","","","","","","","","","","","","","","","","",""
"80000600000069","Nodes","Group Profile 2, Hackwood Road / Venture Roundabout DG, Site ID 4033","21.000000","40.000000","Default Known Pressure Node","Known Pressure","464340.142507","151038.443309","","999.999989","","","","","","","","","","","","","","","330.036958","369.078899","","","","","","","","","","","","","","","","","",""
"80000600006345","Nodes","","21.000000","48.513517","DDS demands","Known Flow","464972.642679","154292.444194","","0.000000","-59.180000","","","","","","","","","","","","","","-52.919817","-59.180000","","","","C1 PROFILE","","","","","","","","","","","","","",""
"80000600006289","Nodes","","21.000000","49.192812","Default Known Flow Node","Known Flow","464988.102558","154049.852956","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"80000600000482","Nodes","482","21.000000","29.769978","DDS demands","Known Flow","459565.391208","149210.317811","","0.000000","","","","","","","-10.320000","","","","","","","","-9.228329","-10.320000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"80000600000481","Nodes","481","21.000000","30.396342","DDS demands","Known Flow","459650.391231","149237.817819","","0.000000","","","","","","","-13.029999","","","","","","","","-11.651658","-13.029999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"80000600003551","Nodes","3551","21.000000","36.648050","DDS demands","Known Flow","463103.722128","151425.186347","","0.000000","","","","-6.579999","","","-11.260000","","","","","","","","-15.952847","-17.840000","","","","","","","C4 PROFILE","","","D1 PROFILE","","","","","","","",""
"80000622009832","Nodes","-176385","21.000000","36.636304","Default Known Flow Node","Known Flow","463105.267171","151426.443415","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"80000600005225","Nodes","5225","21.000000","22.988118","DDS demands","Known Flow","461810.016819","149219.067814","","0.000000","","","","","","","-5.059999","","","","","","","","-4.524742","-5.059999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"80000622009262","Nodes","-1139","21.000000","23.004796","Default Known Flow Node","Known Flow","461808.766818","149220.192814","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"80000600005216","Nodes","5216","21.000000","22.857492","DDS demands","Known Flow","461816.891821","149258.192825","","0.000000","-4.360000","","","","","","-6.360000","","","","","","","","-9.586015","-10.719999","","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","","",""
