"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"80220000000099","Nodes","99","21.000000","29.312604","DDS demands","Known Flow","446099.375000","231624.093750","","0.000000","","","","","-12.529999","","","-11.204550","-12.529999","","","","","","","D1 PROFILE","",""
"80220000000100","Nodes","100","21.000000","28.589215","DDS demands","Known Flow","446055.062500","231562.328125","","0.000000","","","","","-12.560000","","","-11.231377","-12.560000","","","","","","","D1 PROFILE","",""
"80220000001000","Nodes","1000","21.000000","30.504469","Default Known Flow Node","Known Flow","446102.375000","231756.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000001001","Nodes","1001, Hempton Road, Deddington, PPS7831,","27.000000","29.034677","CSEP DDS Matched","Known Flow","446041.250000","231763.937500","","0.000000","","","","","","-23.719998","","-21.210847","-23.719998","","","","","","","","DC PROFILE",""
"80220000000115","Nodes","115","21.000000","37.271570","DDS demands","Known Flow","446417.031250","231835.437500","","0.000000","","","","","-4.750000","","","-4.247535","-4.750000","","","","","","","D1 PROFILE","",""
"80220000000116","Nodes","116","21.000000","37.341552","Default Known Flow Node","Known Flow","446372.531250","231853.875000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000118","Nodes","118","21.000000","37.227116","Default Known Flow Node","Known Flow","446477.750000","231829.156250","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000098","Nodes","98","21.000000","29.511342","DDS demands","Known Flow","446129.468750","231652.796875","","0.000000","","","","","-0.999999","","","-0.894217","-0.999999","","","","","","","D1 PROFILE","",""
"802200-1005","Nodes","-1005","21.000000","41.113220","Default Known Flow Node","Known Flow","446744.156250","231763.156250","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"802200-1006","Nodes","-1006","21.000000","41.628843","Default Known Flow Node","Known Flow","446745.750000","231765.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000066","Nodes","66","21.000000","40.680294","DDS demands","Known Flow","446765.906250","231768.906250","","0.000000","","","","","-21.309999","","","-19.055783","-21.309999","","","","","","","D1 PROFILE","",""
"80220000000003","Nodes","","21.000000","28.886020","Default Known Flow Node","Known Flow","446038.711468","231754.980785","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000002","Nodes","","21.000000","31.352053","Default Known Flow Node","Known Flow","446138.162046","231839.762720","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000006","Nodes","","21.000000","37.283340","Default Known Flow Node","Known Flow","446407.953173","231817.485677","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000004","Nodes","","21.000000","28.886020","Default Known Flow Node","Known Flow","446036.118830","231739.895700","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000007","Nodes","","21.000000","37.283340","Default Known Flow Node","Known Flow","446398.774475","231820.682563","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000011","Nodes","","21.000000","32.447803","DDS demands","Known Flow","446301.926395","232027.218476","","0.000000","","","","","-3.000000","","","-2.682653","-3.000000","","","","","","","D1 PROFILE","",""
"80220000000008","Nodes","","21.000000","32.577520","DDS demands","Known Flow","446277.552179","232028.084662","","0.000000","","","","","-3.000000","","","-2.682653","-3.000000","","","","","","","D1 PROFILE","",""
"80220000000304","Nodes","","21.000000","32.573209","Default Known Flow Node","Known Flow","446262.987281","232028.013450","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"802200-000010","Nodes","","21.000000","44.352921","Default Known Flow Node","Known Flow","446571.242181","231742.012851","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80220000000023","Nodes","","21.000000","38.575466","Default Known Flow Node","Known Flow","446572.325541","231654.285833","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
