"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80010900000001","Nodes","Fox Lane DG, Site ID 4257",21.000000,38.000000,"Default Known Pressure Node","Known Pressure",458017.487686,150968.666927,,1149.999998,,,,,,,,,,,437.356097,489.093453,,"",,,,,,,,,,
"80010900008005","Nodes","Logger 0629, Oakley Lane",21.000000,37.004159,"Default Known Flow Node","Known Flow",457542.669070,150468.521192,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000013","Nodes","13",21.000000,37.141345,"DDS demands","Known Flow",457554.716661,150483.965158,,0.000000,,,,,-0.560000,,,,,,-0.500762,-0.560000,,"",,,,,"D1 PROFILE",,,,,
"80010900008001","Nodes","Logger 0646, The Drive, JCT Hill Road",21.000000,32.555441,"Val Log Post","Known Flow",457610.155277,149970.185031,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000273","Nodes","273",21.000000,31.919346,"DDS demands","Known Flow",457538.242628,149996.619977,,0.000000,,,,,-10.180000,,,,,,-9.103139,-10.180000,,"",,,,,"D1 PROFILE",,,,,
"80010900000120","Nodes","120",21.000000,30.525287,"DDS demands","Known Flow",457323.493404,149636.455278,,0.000000,,,,,-7.300000,,,,,,-6.527790,-7.300000,,"",,,,,"D1 PROFILE",,,,,
"80010900011003","Nodes","11003",21.000000,30.933193,"Default Known Flow Node","Known Flow",457362.766609,149735.898954,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900011004","Nodes","11004",21.000000,31.025911,"Default Known Flow Node","Known Flow",457434.711618,149727.588892,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000109","Nodes","109",21.000000,31.378145,"DDS demands","Known Flow",457517.795662,149760.368896,,0.000000,,,,,-0.889999,,,,,,-0.795853,-0.889999,,"",,,,,"D1 PROFILE",,,,,
"80010900011006","Nodes","11006",21.000000,31.395859,"Default Known Flow Node","Known Flow",457567.208296,149788.766697,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900011009","Nodes","11009",21.000000,28.614224,"DDS demands","Known Flow",457660.752087,149645.514122,,0.000000,,,,,-7.150000,,,,,,-6.393657,-7.150000,,"",,,,,"D1 PROFILE",,,,,
"80010900011005","Nodes","11005",21.000000,31.407849,"Default Known Flow Node","Known Flow",457524.204539,149766.894864,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000105","Nodes","105",21.000000,31.579042,"DDS demands","Known Flow",457542.683219,149822.972120,,0.000000,,,,,-10.280000,,,,,,-9.192560,-10.280000,,"",,,,,"D1 PROFILE",,,,,
"80010900011007","Nodes","11007",21.000000,32.116284,"Default Known Flow Node","Known Flow",457622.390359,149898.360798,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900011008","Nodes","11008",21.000000,32.115390,"Default Known Flow Node","Known Flow",457631.480442,149879.936392,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000276","Nodes","276",21.000000,30.167766,"DDS demands","Known Flow",457785.864583,149722.072930,,0.000000,,,,,-17.020000,,,,,,-15.219588,-17.020000,,"",,,,,"D1 PROFILE",,,,,
"80010900000275","Nodes","275",21.000000,30.848500,"DDS demands","Known Flow",457815.330006,149791.380017,,0.000000,,,,,-5.320000,,,,,,-4.757239,-5.320000,,"",,,,,"D1 PROFILE",,,,,
"80010900000070","Nodes","70",21.000000,33.156328,"DDS demands","Known Flow",457699.057700,149921.619005,,0.000000,,,,,-3.190000,,,,,,-2.852555,-3.190000,,"",,,,,"D1 PROFILE",,,,,
"80010900000292","Nodes","292",21.000000,29.014051,"DDS demands","Known Flow",457865.639855,149530.340936,,0.000000,,,,,-9.189999,,,,,,-8.217862,-9.189999,,"",,,,,"D1 PROFILE",,,,,
"80010900011010","Nodes","11010",21.000000,30.391955,"Default Known Flow Node","Known Flow",457859.756681,149805.318142,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000302","Nodes","302",21.000000,30.187241,"DDS demands","Known Flow",458118.004171,149752.217618,,0.000000,,,,,-4.190000,,,,,,-3.746773,-4.190000,,"",,,,,"D1 PROFILE",,,,,
"80010900000297","Nodes","297",21.000000,30.089571,"DDS demands","Known Flow",458162.723724,149925.095768,,0.000000,,,,,-6.820000,,,,,,-6.098566,-6.820000,,"",,,,,"D1 PROFILE",,,,,
"80010900000298","Nodes","298",21.000000,29.915256,"Default Known Flow Node","Known Flow",458408.845893,149863.906989,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80010900000299","Nodes","299",21.000000,29.857545,"DDS demands","Known Flow",458427.325898,149874.421992,,0.000000,,,,,,,-6.159999,,,,-5.508382,-6.159999,,"",,,,,,,"I2 PROFILE",,,
"80010900000143","Nodes","143",21.000000,28.136650,"DDS demands","Known Flow",457365.174609,150495.544161,,0.000000,,,,,-8.079999,,,,,,-7.225280,-8.079999,,"",,,,,"D1 PROFILE",,,,,
"80010900000208","Nodes","208",21.000000,35.840543,"DDS demands","Known Flow",457428.124953,150332.795248,,0.000000,,,,,-6.820000,,,,,,-6.098566,-6.820000,,"",,,,,"D1 PROFILE",,,,,
"80010900000019","Nodes","19",21.000000,36.697118,"DDS demands","Known Flow",457447.925632,150418.584140,,0.000000,,,,,-7.639999,,,,,,-6.831824,-7.639999,,"",,,,,"D1 PROFILE",,,,,
"80010900000020","Nodes","20",21.000000,36.745653,"DDS demands","Known Flow",457465.610637,150477.204156,,0.000000,,,,,-3.349999,,,,,,-2.995629,-3.349999,,"",,,,,"D1 PROFILE",,,,,
"80010900000268","Nodes","268",21.000000,24.523095,"DDS demands","Known Flow",457266.257396,150431.261609,,0.000000,,,,,-1.940000,,,,,,-1.734782,-1.940000,,"",,,,,"D1 PROFILE",,,,,
"80010900000270","Nodes","270",21.000000,24.473124,"DDS demands","Known Flow",457258.086414,150420.147176,,0.000000,,,,,-2.319999,,,,,,-2.074585,-2.319999,,"",,,,,"D1 PROFILE",,,,,
"80010900000266","Nodes","266",21.000000,24.674149,"DDS demands","Known Flow",457294.470005,150428.754311,,0.000000,,,,,-3.170000,,,,,,-2.834670,-3.170000,,"",,,,,"D1 PROFILE",,,,,
"80010900000241","Nodes","241",21.000000,25.346423,"DDS demands","Known Flow",457339.581497,150436.304165,,0.000000,,,,,-3.510000,,,,,,-3.138704,-3.510000,,"",,,,,"D1 PROFILE",,,,,
