"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80061100000058","Nodes","58",21.000000,35.126036,"Default Known Flow Node","Known Flow",439537.440115,217140.065578,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000054","Nodes","54",21.000000,35.002995,"Default Known Flow Node","Known Flow",439585.423750,217155.500000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000035","Nodes","35",21.000000,35.835809,"DDS demands","Known Flow",439558.673750,217196.343750,,0.000000,,,-10.010000,,,,-8.951121,-10.010000,,"",,,"D1 PROFILE",,,
"80061100000087","Nodes","87",21.000000,41.278676,"Default Known Flow Node","Known Flow",439530.111250,217528.671875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000088","Nodes","88",21.000000,41.239672,"Default Known Flow Node","Known Flow",439532.048750,217579.484375,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000041","Nodes","41",21.000000,41.212327,"DDS demands","Known Flow",439526.673750,217533.156250,,0.000000,,,-14.539999,,,,-13.001927,-14.539999,,"",,,"D1 PROFILE",,,
"80061100000085","Nodes","85",21.000000,41.526456,"Default Known Flow Node","Known Flow",439553.955000,217514.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000086","Nodes","86",21.000000,41.517793,"Default Known Flow Node","Known Flow",439567.861250,217511.390625,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000040","Nodes","P12129659, LONGNORE, SCH 6.09",22.999998,42.161874,"CSEP Unmatched","Known Flow",439530.848669,217480.140501,,0.000000,,,,,,-6.090000,-5.445787,-6.090000,,"",,,,,,"DC PROFILE"
"80061100000036","Nodes","36",21.000000,32.465973,"DDS demands","Known Flow",439695.343703,217046.212628,,0.000000,,,-18.340000,,,,-16.399957,-18.340000,,"",,,"D1 PROFILE",,,
