"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80003500000112","Nodes","112",21.000000,39.083470,"DDS demands","Known Flow",458734.330655,236481.775853,,0.000000,,,,,,-9.639999,,,,,,-8.620260,-9.639999,,"",,,,,,"D1 PROFILE",,,,,
"80003500000052","Nodes","52",21.000000,30.793464,"Default Known Flow Node","Known Flow",458662.837274,237653.780337,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000054","Nodes","54",21.000000,31.768219,"DDS demands","Known Flow",458551.340317,237956.072832,,0.000000,,,,,,-39.300000,,,,,,-35.142765,-39.300000,,"",,,,,,"D1 PROFILE",,,,,
"80003500005985","Nodes","5985",21.000000,42.611952,"Default Known Flow Node","Known Flow",459213.849772,237309.041938,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000578","Nodes","578",21.000000,42.800838,"DDS demands","Known Flow",459212.645112,237368.317800,,0.000000,,,,,,-0.790000,,,,,,-0.706432,-0.790000,,"",,,,,,"D1 PROFILE",,,,,
"80003500005986","Nodes","5986",21.000000,39.938697,"Default Known Flow Node","Known Flow",459437.861431,237213.327925,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000088","Nodes","88",21.000000,40.885667,"DDS demands","Known Flow",459319.736879,237281.564947,,0.000000,,,,,,-3.999999,,,,,,-3.576871,-3.999999,,"",,,,,,"D1 PROFILE",,,,,
"80003500005883","Nodes","5883",21.000000,40.916411,"Default Known Flow Node","Known Flow",459319.212645,237291.620754,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000087","Nodes","Site ID: 0049, GLEBE DRIVE",21.000000,41.084683,"Val Log Cath","Known Flow",459310.838797,237343.856338,,0.000000,,,,,,-22.280000,,,,,,-19.923175,-22.280000,,"",,,,,,"D1 PROFILE",,,,,
"80003500005984","Nodes","5984",21.000000,41.981014,"Default Known Flow Node","Known Flow",459247.332096,237427.993317,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000084","Nodes","84",21.000000,42.491812,"DDS demands","Known Flow",459192.583856,237435.571456,,0.000000,,,,,,-17.879999,,,,,,-15.988615,-17.879999,,"",,,,,,"D1 PROFILE",,,,,
"80003500005881","Nodes","5881",21.000000,41.469431,"Default Known Flow Node","Known Flow",459282.903929,237382.277257,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000083","Nodes","83",21.000000,42.166637,"DDS demands","Known Flow",459204.116110,237499.635836,,0.000000,,,,,,-3.229999,,,,,,-2.888323,-3.229999,,"",,,,,,"D1 PROFILE",,,,,
"80003500005983","Nodes","5983",21.000000,42.597265,"Default Known Flow Node","Known Flow",459201.820214,237423.949195,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000085","Nodes","85",21.000000,42.801721,"DDS demands","Known Flow",459201.835265,237373.551122,,0.000000,,,,-2.619999,,-26.370000,,,,,,-25.923377,-28.990000,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,
"80003500000687","Nodes","687",21.000000,29.700119,"DDS demands","Known Flow",453527.816913,239731.568788,,0.000000,,,-1.779999,,,-10.399999,,,,,,-10.891573,-12.179998,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,
"80003500000658","Nodes","658",21.000000,38.896475,"DDS demands","Known Flow",453636.924979,239770.969589,,0.000000,,,,,,-2.789999,,,,,,-2.494867,-2.789999,,"",,,,,,"D1 PROFILE",,,,,
"80003500000163","Nodes","163",21.000000,40.375506,"DDS demands","Known Flow",458427.404444,237983.434005,,0.000000,,,,,,-12.879999,,,,,,-11.517526,-12.879999,,"",,,,,,"D1 PROFILE",,,,,
"80003500000130","Nodes","130",21.000000,44.253193,"DDS demands","Known Flow",458380.051212,237781.701503,,0.000000,,,,,,-3.859999,,,,,,-3.451680,-3.859999,,"",,,,,,"D1 PROFILE",,,,,
"80003500000588","Nodes","588",21.000000,49.097239,"DDS demands","Known Flow",458566.032936,236446.613549,,0.000000,-9.920000,,,,,-5.969999,,-4.280000,,,,-18.036374,-20.170000,,"","C1 PROFILE",,,,,"D1 PROFILE",,"I2 PROFILE",,,
"80003500000007","Nodes","Brackley Business Park DG, Fixed",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",458560.148934,236440.935548,,164.999992,,,,,,,,,,,,52.231268,58.410001,,"",,,,,,,,,,,
"80003500000590","Nodes","590",21.000000,49.029563,"DDS demands","Known Flow",458658.660271,236429.128170,,0.000000,,,,-1.869999,,,,-2.170000,,,,-3.612640,-4.039999,,"",,,,"C4 PROFILE",,,,"I2 PROFILE",,,
"80003500000718","Nodes","718",21.000000,44.127193,"Default Known Flow Node","Known Flow",458610.384948,236327.077517,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80003500000730","Nodes","730",21.000000,42.487933,"DDS demands","Known Flow",458680.664967,236312.588513,,0.000000,-21.280001,,,,,,,,,,,-19.028959,-21.280001,,"","C1 PROFILE",,,,,,,,,,
"80003500000713","Nodes","713",21.000000,40.612762,"DDS demands","Known Flow",458847.901013,236310.185512,,0.000000,-135.059995,,,,,,,,,,,-120.773066,-135.059995,,"","C1 PROFILE",,,,,,,,,,
"80003500000716","Nodes","716",21.000000,45.935908,"DDS demands","Known Flow",458561.174935,236343.113521,,0.000000,,,,,,-2.480000,,,,,,-2.217660,-2.480000,,"",,,,,,"D1 PROFILE",,,,,
"80003500000717","Nodes","717",21.000000,45.061641,"DDS demands","Known Flow",459171.403208,236955.815996,,0.000000,,,,,,,,-29.940001,,,,-26.772885,-29.940001,,"",,,,,,,,"I2 PROFILE",,,
"80003500000427","Nodes","427",21.000000,42.005808,"DDS demands","Known Flow",459218.671927,236940.373424,,0.000000,,,,,,-2.549999,,-8.669999,,,,-10.033124,-11.220000,,"",,,,,,"D1 PROFILE",,"I2 PROFILE",,,
"80003500000217","Nodes","217",21.000000,49.622277,"DDS demands","Known Flow",459124.823305,236969.984016,,0.000000,,,,,,-9.529999,,,,,,-8.521896,-9.529999,,"",,,,,,"D1 PROFILE",,,,,
"80003500000714","Nodes","714",21.000000,37.578269,"DDS demands","Known Flow",457752.553715,237881.254940,,0.000000,,,,,,-2.619999,,,,,,-2.342850,-2.619999,,"",,,,,,"D1 PROFILE",,,,,
"80003500000711","Nodes","711",21.000000,37.534576,"Default Known Flow Node","Known Flow",457756.203913,237868.449544,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
