"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"80018700000050","Nodes","50",21.000000,42.819865,"DDS demands","Known Flow",448306.000000,220422.593750,,0.000000,,,-0.970000,,-0.867391,-0.970000,,"",,,"D1 PROFILE",
"80018700000002","Nodes","CHAUNDRY ROAD DG",21.000000,45.999998,"Default Known Pressure Node","Known Pressure",448247.375000,220449.750000,,999998.967025,,,,,167.924004,187.788695,,"",,,,
"80018700000047","Nodes","47",21.000000,44.195252,"DDS demands","Known Flow",448271.000000,220444.593750,,0.000000,,,-1.309999,,-1.171425,-1.309999,,"",,,"D1 PROFILE",
"80018700000029","Nodes","29",21.000000,27.040649,"DDS demands","Known Flow",448114.312500,220849.593750,,0.000000,,,-6.630000,-6.000000,-11.293971,-12.629999,,"",,,"D1 PROFILE","I2 PROFILE"
"80018700000048","Nodes","48",21.000000,44.162297,"DDS demands","Known Flow",448241.000000,220420.796875,,0.000000,,,-7.409999,,-6.626154,-7.409999,,"",,,"D1 PROFILE",
"80018700000049","Nodes","49",21.000000,42.923028,"Default Known Flow Node","Known Flow",448300.812500,220445.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000057","Nodes","57",21.000000,41.565041,"DDS demands","Known Flow",448386.500000,220422.796875,,0.000000,,,-5.449999,,-4.873487,-5.449999,,"",,,"D1 PROFILE",
"80018700000058","Nodes","58",21.000000,41.524981,"DDS demands","Known Flow",448361.906250,220467.500000,,0.000000,,,-1.159999,,-1.037292,-1.159999,,"",,,"D1 PROFILE",
"80018700000059","Nodes","59",21.000000,41.549795,"DDS demands","Known Flow",448395.593750,220419.093750,,0.000000,,,-4.099999,,-3.666293,-4.099999,,"",,,"D1 PROFILE",
"80018700000027","Nodes","27",21.000000,31.420603,"DDS demands","Known Flow",447849.593750,220667.093750,,0.000000,,,-9.970000,,-8.915352,-9.970000,,"",,,"D1 PROFILE",
"80018700000026","Nodes","26",21.000000,32.226579,"DDS demands","Known Flow",447831.093750,220570.000000,,0.000000,,,-9.729999,,-8.700739,-9.729999,,"",,,"D1 PROFILE",
"80018700000028","Nodes","28",21.000000,28.341986,"DDS demands","Known Flow",447991.867533,220770.160893,,0.000000,,,-8.939999,,-7.994307,-8.939999,,"",,,"D1 PROFILE",
"80018700000024","Nodes","24",21.000000,32.990078,"DDS demands","Known Flow",447832.500000,220541.296875,,0.000000,-0.829999,,-4.210000,,-4.506858,-5.039999,,"","C1 PROFILE",,"D1 PROFILE",
"80018700000025","Nodes","25",21.000000,32.936660,"DDS demands","Known Flow",447848.593750,220537.000000,,0.000000,,-4.810000,-1.820000,,-5.928664,-6.630000,,"",,"C4 PROFILE","D1 PROFILE",
"80018700000045","Nodes","45",21.000000,42.394834,"DDS demands","Known Flow",448156.000000,220656.500000,,0.000000,,,-2.219999,,-1.985163,-2.219999,,"",,,"D1 PROFILE",
"80018700000036","Nodes","36",21.000000,29.915926,"DDS demands","Known Flow",448394.812500,220722.093750,,0.000000,,,-5.889999,,-5.266943,-5.889999,,"",,,"D1 PROFILE",
"80018700000031","Nodes","31",21.000000,27.084078,"DDS demands","Known Flow",448239.906250,220739.500000,,0.000000,,0.000000,-23.419999,,-20.942582,-23.419999,,"",,"C4 PROFILE","D1 PROFILE",
"80018700000041","Nodes","41",21.000000,39.307924,"DDS demands","Known Flow",448189.000000,220584.406250,,0.000000,,,-5.310000,,-4.748297,-5.310000,,"",,,"D1 PROFILE",
"80018700000043","Nodes","43",21.000000,39.307924,"Default Known Flow Node","Known Flow",448181.000000,220570.406250,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000042","Nodes","42",21.000000,39.307924,"Default Known Flow Node","Known Flow",448205.000000,220571.296875,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000039","Nodes","39",21.000000,39.454312,"DDS demands","Known Flow",448217.593750,220634.500000,,0.000000,,,-1.999999,,-1.788435,-1.999999,,"",,,"D1 PROFILE",
"80018700000040","Nodes","40",21.000000,39.450087,"DDS demands","Known Flow",448195.812500,220656.500000,,0.000000,,,-1.399999,,-1.251905,-1.399999,,"",,,"D1 PROFILE",
"80018700000032","Nodes","32",21.000000,26.982959,"DDS demands","Known Flow",448209.500000,220714.093750,,0.000000,,,-2.170000,,-1.940452,-2.170000,,"",,,"D1 PROFILE",
"80018700000034","Nodes","34",21.000000,28.226570,"Default Known Flow Node","Known Flow",448288.500000,220736.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000038","Nodes","38",21.000000,39.915178,"DDS demands","Known Flow",448299.593750,220558.406250,,0.000000,,,-11.279999,,-10.086777,-11.279999,,"",,,"D1 PROFILE",
"80018700000037","Nodes","37",21.000000,39.041840,"DDS demands","Known Flow",448362.593750,220587.500000,,0.000000,,,-15.810000,,-14.137584,-15.810000,,"",,,"D1 PROFILE",
"80018700000061","Nodes","61",21.000000,21.601000,"DDS demands","Known Flow",447959.500000,221147.906250,,0.000000,,,-9.819999,,-8.781219,-9.819999,,"",,,"D1 PROFILE",
