"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80004700001997","Nodes","1997",21.000000,39.287791,"Default Known Flow Node","Known Flow",448136.013098,197393.830923,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700002003","Nodes","2003",21.000000,39.287791,"Default Known Flow Node","Known Flow",448128.266041,197413.679107,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700001305","Nodes","1305",21.000000,39.336157,"DDS demands","Known Flow",448117.019520,197385.566150,,0.000000,0.000000,,,0.000000,,-0.829999,,,,,,-0.742200,-0.829999,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,
"80004700001303","Nodes","1303",21.000000,39.268468,"DDS demands","Known Flow",448143.513100,197397.330924,,0.000000,-3.000000,,,,,,,,,,,-2.682653,-3.000000,,"","C1 PROFILE",,,,,,,,,,
"80004700001948","Nodes","1948",21.000000,36.431675,"Default Known Flow Node","Known Flow",451264.638780,197261.828144,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700001965","Nodes","1965",21.000000,36.431675,"Default Known Flow Node","Known Flow",451280.361844,197318.080882,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700001947","Nodes","1947",21.000000,36.388590,"Default Known Flow Node","Known Flow",451210.388934,197265.830888,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700001992","Nodes","1992,",0.000000,36.431675,"Default Known Flow Node","Known Flow",451218.763937,197303.205898,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700001083","Nodes","1083",21.000000,36.431675,"Default Known Flow Node","Known Flow",451281.511281,197260.787549,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"80004700001081","Nodes","1081",21.000000,36.388590,"Default Known Flow Node","Known Flow",451160.513921,197270.455889,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
