"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"80062000000046","Nodes","Maximo 314237 (11355)",21.000000,23.622898,"DDS demands","Known Flow",458058.406250,207417.296875,,0.000000,,,-2.759999,,-5.539999,-7.422008,-8.299999,,"",,,"D1 PROFILE",,"PL-AF PROFILE"
"80062000000050","Nodes","50",21.000000,29.447940,"Default Known Flow Node","Known Flow",457543.125000,209434.984375,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000051","Nodes","51",21.000000,29.430314,"Default Known Flow Node","Known Flow",457513.500000,209406.062500,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000049","Nodes","49",21.000000,29.452347,"Default Known Flow Node","Known Flow",457643.500000,209492.093750,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000022","Nodes","22",21.000000,29.480282,"DDS demands","Known Flow",457657.906250,209480.906250,,0.000000,,-1.109999,-19.879999,,,-18.769634,-20.989999,,"",,"C4 PROFILE","D1 PROFILE",,
"80062000000023","Nodes","23",21.000000,29.618017,"DDS demands","Known Flow",457519.000000,209532.500000,,0.000000,,,-3.390000,,,-3.031398,-3.390000,,"",,,"D1 PROFILE",,
"80062000000048","Nodes","48",21.000000,42.602841,"Default Known Flow Node","Known Flow",458210.187500,208272.203125,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000008000","Nodes","8000",21.000000,34.816304,"Default Known Flow Node","Known Flow",458368.593750,208049.875000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000030","Nodes","30",21.000000,34.530445,"DDS demands","Known Flow",458376.000000,208045.406250,,0.000000,,,-13.369999,,,-11.955693,-13.369999,,"",,,"D1 PROFILE",,
"80062000000021","Nodes","21",21.000000,32.980860,"DDS demands","Known Flow",457777.406250,209389.093750,,0.000000,,,-8.489999,,,-7.591909,-8.489999,,"",,,"D1 PROFILE",,
"80062000000047","Nodes","47",21.000000,49.863683,"Default Known Flow Node","Known Flow",458085.093750,208502.406250,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000045","Nodes","45",21.000000,25.465370,"DDS demands","Known Flow",458259.906250,207502.906250,,0.000000,,,-5.989999,,,-5.356365,-5.989999,,"",,,"D1 PROFILE",,
"80062000000031","Nodes","31",21.000000,33.530301,"DDS demands","Known Flow",458263.093750,207939.093750,,0.000000,,,-25.690000,,,-22.972457,-25.690000,,"",,,"D1 PROFILE",,
"80062000000032","Nodes","32",21.000000,31.792969,"DDS demands","Known Flow",458376.906250,207942.406250,,0.000000,,,-14.069999,,,-12.581645,-14.069999,,"",,,"D1 PROFILE",,
"80062000000043","Nodes","43",21.000000,28.401180,"DDS demands","Known Flow",458348.000000,207717.250000,,0.000000,,,-18.540000,,,-16.578800,-18.540000,,"",,,"D1 PROFILE",,
"80062000000044","Nodes","44",21.000000,28.716736,"DDS demands","Known Flow",458458.812500,207660.796875,,0.000000,,,-3.029999,,,-2.709480,-3.029999,,"",,,"D1 PROFILE",,
"80062000000041","Nodes","41",21.000000,29.274032,"DDS demands","Known Flow",458428.312500,207839.593750,,0.000000,,,-11.130000,,,-9.952645,-11.130000,,"",,,"D1 PROFILE",,
"80062000000042","Nodes","42",21.000000,28.761239,"DDS demands","Known Flow",458450.500000,207806.093750,,0.000000,-17.549999,,,,,-15.693524,-17.549999,,"","C2 PROFILE",,,,
"80062000000033","Nodes","33",21.000000,30.998566,"DDS demands","Known Flow",458520.812500,207888.796875,,0.000000,,,-9.750000,,,-8.718624,-9.750000,,"",,,"D1 PROFILE",,
"80062000000034","Nodes","34",21.000000,28.716335,"DDS demands","Known Flow",458598.593750,207912.296875,,0.000000,,,-5.239999,,,-4.685701,-5.239999,,"",,,"D1 PROFILE",,
"80062000000037","Nodes","37",21.000000,27.139582,"DDS demands","Known Flow",458583.906250,207819.796875,,0.000000,,,-5.810000,,,-5.195405,-5.810000,,"",,,"D1 PROFILE",,
"80062000000036","Nodes","36",21.000000,27.187524,"DDS demands","Known Flow",458671.500000,207827.593750,,0.000000,,-1.450000,-23.510000,,,-22.319680,-24.960000,,"",,"C4 PROFILE","D1 PROFILE",,
"80062000000035","Nodes","35",21.000000,27.849919,"DDS demands","Known Flow",458590.093750,207944.906250,,0.000000,,,-3.059999,-19.680000,,-20.334515,-22.739999,,"",,,"D1 PROFILE","I2 PROFILE",
"80062000000039","Nodes","39",21.000000,26.411559,"DDS demands","Known Flow",458623.500000,207732.593750,,0.000000,,,-8.830000,,,-7.895944,-8.830000,,"",,,"D1 PROFILE",,
"80062000000038","Nodes","38",21.000000,26.543666,"DDS demands","Known Flow",458683.000000,207805.593750,,0.000000,,,-4.119999,,,-3.684177,-4.119999,,"",,,"D1 PROFILE",,
"80062000000040","Nodes","40",21.000000,24.960629,"DDS demands","Known Flow",458812.312500,207663.796875,,0.000000,,,-12.359999,,,-11.052533,-12.359999,,"",,,"D1 PROFILE",,
"80062000000012","Nodes","12",21.000000,51.366307,"DDS demands","Known Flow",457859.500000,208894.906250,,0.000000,-9.689999,-14.140000,-3.989999,,,-24.877141,-27.820000,,"","","C4 PROFILE","D1 PROFILE",,
"80062000000011","Nodes","11",21.000000,55.477304,"Default Known Flow Node","Known Flow",458007.593750,208695.796875,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000001","Nodes","Forest Hill DG",21.000000,57.000000,"Default Known Pressure Node","Known Pressure",458011.093750,208698.296875,,999998.967025,,,,,,331.146751,370.320014,,"",,,,,
"80062000000029","Nodes","29",21.000000,55.452199,"Default Known Flow Node","Known Flow",458010.500000,208691.406250,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000018","Nodes","18",21.000000,34.318022,"DDS demands","Known Flow",457698.906250,209224.296875,,0.000000,,,-3.790000,,,-3.389085,-3.790000,,"",,,"D1 PROFILE",,
"80062000000020","Nodes","20",21.000000,34.361711,"Default Known Flow Node","Known Flow",457662.593750,209188.796875,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000019","Nodes","19",21.000000,34.514902,"DDS demands","Known Flow",457620.312500,209292.296875,,0.000000,,,-1.669999,,,-1.493343,-1.669999,,"",,,"D1 PROFILE",,
"80062000000017","Nodes","17",21.000000,34.401250,"DDS demands","Known Flow",457778.593750,209300.296875,,0.000000,,,-8.979999,,,-8.030076,-8.979999,,"",,,"D1 PROFILE",,
"80062000000013","Nodes","13",21.000000,39.634012,"DDS demands","Known Flow",457902.312500,209110.500000,,0.000000,,-8.850000,-17.830000,,,-23.857734,-26.680000,,"",,"C4 PROFILE","D1 PROFILE",,
"80062000000014","Nodes","14",21.000000,37.931037,"DDS demands","Known Flow",457960.093750,209138.296875,,0.000000,,,-3.700000,,,-3.308606,-3.700000,,"",,,"D1 PROFILE",,
"80062000000024","Nodes","24",21.000000,25.301526,"DDS demands","Known Flow",457943.593750,209462.296875,,0.000000,,,-15.590000,,,-13.940857,-15.590000,,"",,,"D1 PROFILE",,
"80062000000015","Nodes","15",21.000000,37.828971,"DDS demands","Known Flow",457989.000000,209157.406250,,0.000000,,,-5.130000,,,-4.587338,-5.130000,,"",,,"D1 PROFILE",,
"80062000000016","Nodes","16",21.000000,36.248490,"DDS demands","Known Flow",458033.593750,209078.796875,,0.000000,,,-15.339999,,,-13.717302,-15.339999,,"",,,"D1 PROFILE",,
"80062000000028","Nodes","28",21.000000,22.875385,"DDS demands","Known Flow",458487.093750,209721.406250,,0.000000,,,-1.909999,,,-1.707956,-1.909999,,"",,,"D1 PROFILE",,
