"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80013800000422","Nodes","422",21.000000,36.575910,"DDS demands","Known Flow",480721.896965,239880.592484,,0.000000,,,,,,,-2.259999,,,,-2.020932,-2.259999,,"",,,,,,,"D1 PROFILE",,,
"80013800000421","Nodes","421",21.000000,36.651120,"DDS demands","Known Flow",480739.646970,239846.467474,,0.000000,,,,,,,-10.899999,,,,-9.746973,-10.899999,,"",,,,,,,"D1 PROFILE",,,
"80013800001008","Nodes","1008",21.000000,31.753090,"Default Known Flow Node","Known Flow",481768.784315,242684.616957,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001010","Nodes","1010",21.000000,31.729891,"Default Known Flow Node","Known Flow",481774.099391,242702.149512,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001003","Nodes","1003",21.000000,37.942848,"Default Known Flow Node","Known Flow",481944.022297,241764.842996,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001005","Nodes","1005",21.000000,37.942848,"Default Known Flow Node","Known Flow",481929.272293,241754.217993,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800020694","Nodes","20694",21.000000,36.963091,"Default Known Flow Node","Known Flow",481757.898016,241996.466385,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001007","Nodes","1007",21.000000,37.593614,"Default Known Flow Node","Known Flow",481903.522286,241789.718003,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001006","Nodes","1006",21.000000,37.665820,"Default Known Flow Node","Known Flow",481909.647288,241781.718001,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800000234","Nodes","234",21.000000,37.977944,"Default Known Flow Node","Known Flow",481936.772295,241735.967988,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001002","Nodes","1002",21.000000,37.054809,"Default Known Flow Node","Known Flow",481067.897059,240144.217555,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800001004","Nodes","1004",21.000000,37.141575,"Default Known Flow Node","Known Flow",481071.897060,240048.217529,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800000293","Nodes","293",21.000000,37.270666,"DDS demands","Known Flow",481068.147059,240031.717525,,0.000000,,,,,,,-3.989999,,,,-3.567928,-3.989999,,"",,,,,,,"D1 PROFILE",,,
"80013800000413","Nodes","413",21.000000,36.832690,"DDS demands","Known Flow",481036.397050,240066.717534,,0.000000,,,,,,,-6.579999,,,,-5.883952,-6.579999,,"",,,,,,,"D1 PROFILE",,,
"80013800001000","Nodes","1000",21.000000,33.300616,"Default Known Flow Node","Known Flow",481808.272260,241162.342832,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80013800000389","Nodes","389",21.000000,31.260195,"DDS demands","Known Flow",481705.897233,241112.967819,,0.000000,-17.799998,,,,,,-3.319999,,-9.520000,,-27.398833,-30.639998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,"I2 PROFILE",
