"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80123100000077","Nodes","P12130405, Plots 1-14, Oxford Road, 16.62","22.999998","37.360744","CSEP DDS Matched","Known Flow","440844.868114","198235.316152","","0.000000","","","","","","-3.650000","","","","-3.263895","-3.650000","","","","","","","","DC PROFILE","","",""
"80123100000025","Nodes","25","21.000000","28.311926","DDS demands","Known Flow","440069.427903","198349.463183","","0.000000","","","","","-6.849999","","","","","-6.125392","-6.849999","","","","","","","D1 PROFILE","","","",""
"80123110000026","Nodes","10000026","21.000000","28.280936","Default Known Flow Node","Known Flow","440127.393919","198419.008202","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100305024","Nodes","305024","21.000000","28.691264","Default Known Flow Node","Known Flow","439901.690221","198099.615406","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000045","Nodes","45","21.000000","30.249689","DDS demands","Known Flow","440294.175964","198169.233134","","0.000000","","","","","-5.940000","","","","","-5.311654","-5.940000","","","","","","","D1 PROFILE","","","",""
"80123100000102","Nodes","102","21.000000","44.973240","Default Known Flow Node","Known Flow","440929.626288","198036.374048","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000098","Nodes","98","21.000000","25.693690","DDS demands","Known Flow","439633.456784","198165.426133","","0.000000","","","","","-5.179999","","","","","-4.632048","-5.179999","","","","","","","D1 PROFILE","","","",""
"80123100007002","Nodes","7002","21.000000","25.615023","DDS demands","Known Flow","439654.671790","198190.288139","","0.000000","","","","","-4.349999","","","","","-3.889847","-4.349999","","","","","","","D1 PROFILE","","","",""
"80123100000096","Nodes","96","21.000000","25.730930","DDS demands","Known Flow","439592.727773","198129.306123","","0.000000","","","","","-5.530000","","","","","-4.945025","-5.530000","","","","","","","D1 PROFILE","","","",""
"80123100007000","Nodes","7000","21.000000","25.595837","DDS demands","Known Flow","439572.150768","198141.462126","","0.000000","","","","","-1.630000","","","","","-1.457575","-1.630000","","","","","","","D1 PROFILE","","","",""
"80123100007001","Nodes","7001","21.000000","25.528448","DDS demands","Known Flow","439576.183769","198167.349133","","0.000000","","","","","-4.990000","","","","","-4.462147","-4.990000","","","","","","","D1 PROFILE","","","",""
"80123100000097","Nodes","97","21.000000","25.595586","DDS demands","Known Flow","439570.219767","198149.701128","","0.000000","","","","","-0.649999","","","","","-0.581241","-0.649999","","","","","","","D1 PROFILE","","","",""
"80123100000094","Nodes","94","21.000000","25.942146","DDS demands","Known Flow","439536.252171","198083.572479","","0.000000","","","","","-10.180000","","","","","-9.103139","-10.180000","","","","","","","D1 PROFILE","","","",""
"80123100000095","Nodes","95","21.000000","25.816939","DDS demands","Known Flow","439509.668751","198175.387135","","0.000000","","","","","-4.079999","","","","","-3.648408","-4.079999","","","","","","","D1 PROFILE","","","",""
"80123100000093","Nodes","93","21.000000","25.996757","DDS demands","Known Flow","439547.486761","198045.694100","","0.000000","","","","","-1.120000","","","","","-1.001524","-1.120000","","","","","","","D1 PROFILE","","","",""
"80123100000091","Nodes","91","21.000000","27.265617","DDS demands","Known Flow","439770.574532","197941.907656","","0.000000","","","","","-2.730000","","","","","-2.441214","-2.730000","","","","","","","D1 PROFILE","","","",""
"80123100000104","Nodes","104","21.000000","26.228491","Default Known Flow Node","Known Flow","439885.757853","197865.394051","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000041","Nodes","41","21.000000","24.315281","Default Known Flow Node","Known Flow","439903.143858","197728.563014","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000073","Nodes","73","21.000000","27.400905","DDS demands","Known Flow","439853.709844","198136.298125","","0.000000","","","","","-3.940000","","","","","-3.523218","-3.940000","","","","","","","D1 PROFILE","","","",""
"80123100000071","Nodes","71","21.000000","27.429822","DDS demands","Known Flow","439860.247684","198156.945721","","0.000000","","","","","-4.929999","","","","","-4.408494","-4.929999","","","","","","","D1 PROFILE","","","",""
"80123100305019","Nodes","305019","21.000000","27.816915","Default Known Flow Node","Known Flow","439855.661700","198196.626985","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000070","Nodes","70","21.000000","27.816915","DDS demands","Known Flow","439860.283846","198199.633142","","0.000000","","","","","-4.530000","","","","","-4.050807","-4.530000","","","","","","","D1 PROFILE","","","",""
"80123100000023","Nodes","23","21.000000","27.837071","DDS demands","Known Flow","439917.940862","198196.856141","","0.000000","","","","","-8.229999","","","","","-7.359412","-8.229999","","","","","","","D1 PROFILE","","","",""
"80123100000069","Nodes","69","21.000000","27.840284","DDS demands","Known Flow","439924.523863","198228.419150","","0.000000","","","","","-1.789999","","","","","-1.600649","-1.789999","","","","","","","D1 PROFILE","","","",""
"80123100000072","Nodes","72","21.000000","27.464947","DDS demands","Known Flow","439879.729851","198157.575130","","0.000000","","","","","-2.230000","","","","","-1.994105","-2.230000","","","","","","","D1 PROFILE","","","",""
"80123100000042","Nodes","42","21.000000","27.935080","DDS demands","Known Flow","439938.772867","198300.408169","","0.000000","","","","","-7.400000","","","","","-6.617212","-7.400000","","","","","","","D1 PROFILE","","","",""
"80123100000024","Nodes","24","21.000000","27.726584","DDS demands","Known Flow","439967.438875","198451.051210","","0.000000","","","","","-4.070000","","","","","-3.639466","-4.070000","","","","","","","D1 PROFILE","","","",""
"80123100006775","Nodes","6775","21.000000","24.957734","Default Known Flow Node","Known Flow","440069.709903","197806.940035","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100006776","Nodes","6776","21.000000","24.957734","Default Known Flow Node","Known Flow","440071.261416","197807.608503","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000035","Nodes","35","21.000000","25.932922","DDS demands","Known Flow","440097.763911","197910.691063","","0.000000","","","","","-8.430000","","","","","-7.538257","-8.430000","","","","","","","D1 PROFILE","","","",""
"80123100000075","Nodes","75","21.000000","29.625809","DDS demands","Known Flow","440169.724930","198048.989101","","0.000000","","","","","-7.219999","","","","","-6.456253","-7.219999","","","","","","","D1 PROFILE","","","",""
"80123100000074","Nodes","74","21.000000","29.741215","DDS demands","Known Flow","440172.834931","198017.363092","","0.000000","","","","","-4.999999","","","","","-4.471089","-4.999999","","","","","","","D1 PROFILE","","","",""
"80123100309641","Nodes","309641","21.000000","29.552410","Default Known Flow Node","Known Flow","440263.753956","198277.618163","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
