"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80000500006606","Nodes","6606, ""SOP10140"", ""PPS10745-Billington Road"", 6.20",24.000000,25.510711,"CSEP DDS Matched","Known Flow",492706.751913,224348.826900,,0.000000,,,,,,,-2.030000,-6.199999,,,,,-7.359413,-8.230000,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,
"80000500006145","Nodes","6145",21.000000,33.891259,"DDS demands","Known Flow",493932.025559,225562.838588,,0.000000,,,,,,,-1.999999,,,,,,-1.788435,-1.999999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500006605","Nodes","6605",21.000000,40.658144,"DDS demands","Known Flow",493834.228834,225549.630094,,0.000000,,,,,,,-8.369999,,,,,,-7.484603,-8.369999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500006141","Nodes","6141",21.000000,48.629317,"DDS demands","Known Flow",493831.900532,225641.463609,,0.000000,,,,,,,-10.490000,,,,,,-9.380345,-10.490000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500004031","Nodes","4031",21.000000,34.414945,"DDS demands","Known Flow",490286.030042,225437.714817,,0.000000,,,,,,,-7.300000,,,,,,-6.527790,-7.300000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500004254","Nodes","4254",21.000000,34.205799,"DDS demands","Known Flow",490377.150829,225513.841668,,0.000000,,,,,,,-14.649999,,,,,,-13.100292,-14.649999,,"",,,,,,,"D1 PROFILE",,,,,
"800005-255759","Nodes","-255759",21.000000,28.124635,"Default Known Flow Node","Known Flow",492589.025194,228957.839511,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500006603","Nodes","6603",21.000000,28.063248,"DDS demands","Known Flow",492561.209677,229027.334512,,0.000000,,,,,,,-2.400000,,,,,,-2.146123,-2.400000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000275","Nodes","275",21.000000,28.069945,"DDS demands","Known Flow",492487.025166,229138.464561,,0.000000,,,,,,,-2.949999,,,,,,-2.637942,-2.949999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005089","Nodes","5089",21.000000,37.468140,"DDS demands","Known Flow",491935.525016,225000.338435,,0.000000,-20.869999,,,,,,-0.790000,,,-3.769999,,,-22.739961,-25.430000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,"I2 PROFILE",,
"80000500001000","Nodes","1000",21.000000,37.103570,"DDS demands","Known Flow",491979.216447,225006.016019,,0.000000,,,,,,,-0.600000,,,,,,-0.536530,-0.600000,,"",,,,,,,"D1 PROFILE",,,,,
"800005-275080","Nodes","-275080",21.000000,36.749195,"Default Known Flow Node","Known Flow",492012.775037,225016.713439,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000557","Nodes","557",21.000000,37.806672,"Default Known Flow Node","Known Flow",491644.629738,225554.068386,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000555","Nodes","555",21.000000,37.817263,"DDS demands","Known Flow",491640.100294,225543.091564,,0.000000,,,,,,,-5.070000,,,,,,-4.533684,-5.070000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000556","Nodes","556",21.000000,37.817542,"DDS demands","Known Flow",491626.399932,225547.838584,,0.000000,,,,,,,-0.860000,,,,,,-0.769027,-0.860000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000559","Nodes","559",21.000000,37.754180,"DDS demands","Known Flow",491653.524939,225564.683750,,0.000000,,,,,,,-3.069999,,,,,,-2.745248,-3.069999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000692","Nodes","692",21.000000,38.073447,"DDS demands","Known Flow",491590.428830,225414.974775,,0.000000,,,,-3.119999,,,-1.599999,,,,,,-4.220708,-4.719999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"80000500000515","Nodes","515",21.000000,38.149967,"DDS demands","Known Flow",491668.610818,225404.591012,,0.000000,-12.950000,,,,,,,,,,,,-11.580122,-12.950000,,"","C1 PROFILE",,,,,,,,,,,
"80000500001137","Nodes","1137",21.000000,38.149967,"Default Known Flow Node","Known Flow",491638.767112,225408.752485,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500009062","Nodes","9062",21.000000,34.097659,"Default Known Flow Node","Known Flow",492336.900125,225449.213557,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000548","Nodes","548",21.000000,38.129460,"Default Known Flow Node","Known Flow",491672.849548,225416.934047,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000549","Nodes","549",21.000000,38.085467,"DDS demands","Known Flow",491660.385481,225442.439870,,0.000000,,,,,,,-4.090000,,,,,,-3.657351,-4.090000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500009012","Nodes","9012",21.000000,43.762105,"DDS demands","Known Flow",493048.029927,224650.963159,,0.000000,,,,,,,-5.630000,,,,,,-5.034446,-5.630000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500009015","Nodes","9015",21.000000,42.751654,"DDS demands","Known Flow",493114.000624,224646.664986,,0.000000,,,,-3.280000,,,-14.510000,,,,,,-15.908136,-17.790000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"80000500009013","Nodes","9013",21.000000,41.033264,"DDS demands","Known Flow",493176.903598,224610.587767,,0.000000,,,,,,,-20.220000,,,,,,-18.081085,-20.220000,,"",,,,,,,"D1 PROFILE",,,,,
