"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"80019500000031","Nodes","31",21.000000,58.531991,"Default Known Flow Node","Known Flow",456130.281273,199030.610368,,0.000000,,-1.949999,,-1.743724,-1.949999,,"",,"D1 PROFILE",
"80019500000030","Nodes","30",21.000000,58.535604,"DDS demands","Known Flow",456143.171392,199035.954186,,0.000000,,-0.820000,,-0.733258,-0.820000,,"",,"D1 PROFILE",
"80019500000041","Nodes","41",21.000000,47.275908,"DDS demands","Known Flow",456711.517431,200715.714826,,0.000000,,-4.030000,,-3.603698,-4.030000,,"",,"D1 PROFILE",
"80019500000040","Nodes","40",21.000000,49.578847,"DDS demands","Known Flow",456592.345851,200604.460710,,0.000000,,-1.679999,,-1.502286,-1.679999,,"",,"D1 PROFILE",
"80019500000413","Nodes","413",21.000000,58.017651,"Default Known Flow Node","Known Flow",456665.688668,200010.769979,,0.000000,,,,0.000000,0.000000,,"",,,
"80019500000033","Nodes","33",21.000000,59.584015,"Default Known Flow Node","Known Flow",456688.620449,199885.951742,,0.000000,,,,0.000000,0.000000,,"",,,
"80019500000032","Nodes","32",21.000000,62.435483,"Default Known Flow Node","Known Flow",456697.927111,199652.985365,,0.000000,,,,0.000000,0.000000,,"",,,
"80019500000010","Nodes","10",21.000000,64.936882,"Default Known Flow Node","Known Flow",456650.262415,199490.320493,,0.000000,,-6.229999,,-5.570977,-6.229999,,"",,"D1 PROFILE",
"80019500000038","Nodes","38",21.000000,52.213324,"DDS demands","Known Flow",456443.558723,200523.590766,,0.000000,,-4.790000,,-4.283303,-4.790000,,"",,"D1 PROFILE",
"80019500000037","Nodes","37",21.000000,53.294295,"Default Known Flow Node","Known Flow",456366.086185,200361.665014,,0.000000,,,,0.000000,0.000000,,"",,,
"80019500000036","Nodes","36",21.000000,54.376701,"DDS demands","Known Flow",456437.843357,200144.864671,,0.000000,,-8.630000,,-7.717100,-8.630000,,"",,"D1 PROFILE",
"80019500000014","Nodes","14",21.000000,58.847995,"DDS demands","Known Flow",456205.360294,199228.043422,,0.000000,,-6.789999,,-6.071739,-6.789999,,"",,"D1 PROFILE",
"80019500000016","Nodes","16",21.000000,58.556509,"DDS demands","Known Flow",456139.812734,199158.458744,,0.000000,,-1.999999,,-1.788435,-1.999999,,"",,"D1 PROFILE",
"80019500000029","Nodes","29",21.000000,58.552918,"DDS demands","Known Flow",456116.916539,199138.643428,,0.000000,,-1.919999,,-1.716898,-1.919999,,"",,"D1 PROFILE",
"80019500000019","Nodes","19",21.000000,62.796359,"DDS demands","Known Flow",456547.212387,199897.434604,,0.000000,,-6.070000,,-5.427902,-6.070000,,"",,"D1 PROFILE",
"80019500000018","Nodes","18",21.000000,61.256263,"Default Known Flow Node","Known Flow",456449.398360,199336.231451,,0.000000,,,,0.000000,0.000000,,"",,,
"80019500000017","Nodes","17",21.000000,63.436609,"DDS demands","Known Flow",456562.466391,199597.602522,,0.000000,,-6.159999,,-5.508382,-6.159999,,"",,"D1 PROFILE",
"80019500000021","Nodes","21",21.000000,61.540696,"DDS demands","Known Flow",456260.533309,199596.392522,,0.000000,,-1.350000,,-1.207194,-1.350000,,"",,"D1 PROFILE",
"80019500000020","Nodes","20",21.000000,62.537923,"DDS demands","Known Flow",456414.713456,199571.294946,,0.000000,,,,0.000000,0.000000,,"",,,
"80019500000011","Nodes","11",21.000000,64.427617,"DDS demands","Known Flow",456612.540404,199504.647497,,0.000000,,-13.560000,,-12.125594,-13.560000,,"",,"D1 PROFILE",
