"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"80019700000049","Nodes","49",21.000000,37.655907,"DDS demands","Known Flow",459501.770000,192854.205000,,0.000000,,-4.300000,-14.120000,,-16.471494,-18.420000,,"",,"C4 PROFILE","D1 PROFILE",
"80019700000012","Nodes","12",21.000000,37.850242,"DDS demands","Known Flow",459561.832500,192981.080000,,0.000000,,,-9.859999,,-8.816988,-9.859999,,"",,,"D1 PROFILE",
"80019700000014","Nodes","14",21.000000,33.892149,"DDS demands","Known Flow",459610.645000,193027.955000,,0.000000,,,-2.309999,,-2.065643,-2.309999,,"",,,"D1 PROFILE",
"80019700000016","Nodes","16",21.000000,33.511820,"DDS demands","Known Flow",459677.395000,192957.830000,,0.000000,,,-5.449999,,-4.873487,-5.449999,,"",,,"D1 PROFILE",
"80019700000027","Nodes","27",21.000000,27.730414,"DDS demands","Known Flow",460084.645000,193532.955000,,0.000000,,,-7.109999,,-6.357889,-7.109999,,"",,,"D1 PROFILE",
"80019700000025","Nodes","25",21.000000,28.541079,"DDS demands","Known Flow",459952.020000,193570.455000,,0.000000,,,-0.730000,,-0.652779,-0.730000,,"",,,"D1 PROFILE",
"80019700000031","Nodes","31",21.000000,28.739558,"DDS demands","Known Flow",460001.426250,193668.876875,,0.000000,,,-11.929999,,-10.668019,-11.929999,,"",,,"D1 PROFILE",
"80019700008000","Nodes","8000",21.000000,29.256192,"DDS demands","Known Flow",459833.645000,193699.330000,,0.000000,,-4.559999,-4.600000,,-8.191036,-9.159999,,"",,"C4 PROFILE","D1 PROFILE",
"80019700008002","Nodes","8002",21.000000,28.371630,"Default Known Flow Node","Known Flow",459796.832500,193770.080000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80019700000036","Nodes","36",21.000000,27.203502,"DDS demands","Known Flow",459725.645000,193854.455000,,0.000000,,,-26.849999,,-24.009750,-26.849999,,"",,,"D1 PROFILE",
"80019700000040","Nodes","40",21.000000,26.879354,"DDS demands","Known Flow",459693.645000,194119.705000,,0.000000,,,-14.949999,,-13.368557,-14.949999,,"",,,"D1 PROFILE",
"80019700000032","Nodes","32",21.000000,28.643684,"DDS demands","Known Flow",460000.020000,193613.876875,,0.000000,,,-0.860000,,-0.769027,-0.860000,,"",,,"D1 PROFILE",
"80019700000026","Nodes","26",21.000000,28.626807,"Default Known Flow Node","Known Flow",459989.645000,193606.205000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80019700000033","Nodes","33",21.000000,27.991415,"DDS demands","Known Flow",460295.270000,193717.705000,,0.000000,,,-5.830000,,-5.213290,-5.830000,,"",,,"D1 PROFILE",
"80019700000046","Nodes","46",21.000000,28.292525,"DDS demands","Known Flow",460157.113750,193682.876875,,0.000000,,,-1.179999,,-1.055177,-1.179999,,"",,,"D1 PROFILE",
"80019700000013","Nodes","13",21.000000,37.766694,"Default Known Flow Node","Known Flow",459534.895000,192934.830000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80019700000048","Nodes","48",21.000000,37.632557,"DDS demands","Known Flow",459484.395000,192970.330000,,0.000000,,,-5.949999,,-5.320596,-5.949999,,"",,,"D1 PROFILE",
"80019700000050","Nodes","50",21.000000,35.371063,"DDS demands","Known Flow",459631.520000,192837.580000,,0.000000,,,-17.190000,,-15.371606,-17.190000,,"",,,"D1 PROFILE",
"80019700000018","Nodes","18",21.000000,33.427647,"DDS demands","Known Flow",459741.145000,192919.705000,,0.000000,,,-7.719999,,-6.903361,-7.719999,,"",,,"D1 PROFILE",
"80019700000017","Nodes","17",21.000000,33.110748,"DDS demands","Known Flow",459660.645000,192878.080000,,0.000000,,,-9.270000,,-8.289400,-9.270000,,"",,,"D1 PROFILE",
"80019700000019","Nodes","19",21.000000,33.044224,"DDS demands","Known Flow",459696.645000,192800.580000,,0.000000,,,-6.099999,,-5.454729,-6.099999,,"",,,"D1 PROFILE",
"80019700000011","Nodes","11",21.000000,49.838134,"DDS demands","Known Flow",459596.020000,193120.580000,,0.000000,,,-6.650000,,-5.946549,-6.650000,,"",,,"D1 PROFILE",
"80019700000001","Nodes","SHILLINGFORD DG",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",459595.645000,193122.205000,,999998.967025,,,,,318.207407,355.849996,,"",,,,
"80019700000047","Nodes","47",21.000000,32.693417,"DDS demands","Known Flow",459661.270000,193175.705000,,0.000000,,,-18.309999,,-16.373129,-18.309999,,"",,,"D1 PROFILE",
"80019700000021","Nodes","21",21.000000,30.977963,"DDS demands","Known Flow",459597.895000,193438.705000,,0.000000,,,-7.219999,,-6.456253,-7.219999,,"",,,"D1 PROFILE",
