"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80014500000122","Nodes","122",21.000000,69.174134,"DDS demands","Known Flow",441595.719905,212429.308845,,0.000000,,,,,-7.309999,,,,-6.536732,-7.309999,,"",,,,,"D1 PROFILE",,,
"80014500000252","Nodes","252",21.000000,31.700035,"DDS demands","Known Flow",440733.347330,213881.505365,,0.000000,,,,,-3.270000,,,,-2.924092,-3.270000,,"",,,,,"D1 PROFILE",,,
"80014500003038","Nodes","3038",21.000000,33.959168,"Default Known Flow Node","Known Flow",440882.377153,213687.870729,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014500000265","Nodes","265",21.000000,23.197269,"DDS demands","Known Flow",445209.206167,214357.697699,,0.000000,,,,,-5.689999,,,,-5.088099,-5.689999,,"",,,,,"D1 PROFILE",,,
"80014500008011","Nodes","8011",21.000000,25.230340,"Default Known Flow Node","Known Flow",444882.866984,214623.534515,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014500008015","Nodes","8015",21.000000,38.475044,"DDS demands","Known Flow",441851.815839,214110.836726,,0.000000,,,,,-13.789999,,,,-12.331264,-13.789999,,"",,,,,"D1 PROFILE",,,
"80014500000112","Nodes","112",21.000000,37.002042,"DDS demands","Known Flow",441808.269995,214162.847849,,0.000000,,,,,-11.130000,,,,-9.952645,-11.130000,,"",,,,,"D1 PROFILE",,,
"80014500000268","Nodes","268",21.000000,37.002042,"Default Known Flow Node","Known Flow",441809.595233,214163.823555,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014500008024","Nodes","8024",21.000000,37.002042,"Default Known Flow Node","Known Flow",441799.762863,214168.587413,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80014500008023","Nodes","8023",21.000000,37.125877,"Default Known Flow Node","Known Flow",441821.211532,214156.907899,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
