"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80620000000011","Nodes","11",21.000000,30.342812,"DDS demands","Known Flow",476694.732869,195305.308354,,0.000000,,,,,-8.359999,,,,,-7.475661,-8.359999,,"",,,,,"D1 PROFILE",,,,
"80620000000009","Nodes","9",21.000000,30.431734,"DDS demands","Known Flow",476721.922289,195247.516362,,0.000000,,,,,-6.480000,,,,,-5.794532,-6.480000,,"",,,,,"D1 PROFILE",,,,
"80620000000191","Nodes","191",21.000000,35.206498,"DDS demands","Known Flow",476074.953668,196288.932374,,0.000000,,,,-3.280000,-2.819999,,,,,-5.454729,-6.099999,,"",,,,"C4 PROFILE","D1 PROFILE",,,,
"80620000000171","Nodes","171",21.000000,35.238052,"Default Known Flow Node","Known Flow",476206.004722,196209.505684,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000032","Nodes","32",21.000000,27.175070,"DDS demands","Known Flow",476027.019687,196182.026593,,0.000000,,,,,-8.460000,,,,,-7.565083,-8.460000,,"",,,,,"D1 PROFILE",,,,
"80620000000049","Nodes","49",21.000000,27.371447,"DDS demands","Known Flow",475984.251676,196203.210599,,0.000000,,,,,-17.940000,,,,,-16.042270,-17.940000,,"",,,,,"D1 PROFILE",,,,
"80620000000060","Nodes","60",21.000000,28.342662,"Default Known Flow Node","Known Flow",476109.611710,196147.088583,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000111","Nodes","111",21.000000,27.180709,"DDS demands","Known Flow",476959.367941,195936.014526,,0.000000,,,,,-9.909999,,,,,-8.861699,-9.909999,,"",,,,,"D1 PROFILE",,,,
"80620000000100","Nodes","100",21.000000,31.661222,"DDS demands","Known Flow",476698.090870,195406.179382,,0.000000,,,,,-2.819999,,,,,-2.521694,-2.819999,,"",,,,,"D1 PROFILE",,,,
"80620000008004","Nodes","Logger 0234, Marlow Road",21.000000,31.547423,"Val Log Post","Known Flow",476706.498042,195388.999906,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000008","Nodes","8",21.000000,30.646495,"Default Known Flow Node","Known Flow",476749.664884,195264.052343,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000072","Nodes","72",21.000000,35.214795,"Default Known Flow Node","Known Flow",476207.523736,196221.372604,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000008003","Nodes","8003",21.000000,35.229775,"Default Known Flow Node","Known Flow",476208.397018,196216.615187,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000172","Nodes","172",21.000000,35.242646,"Default Known Flow Node","Known Flow",476211.116737,196212.619601,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000097","Nodes","97",21.000000,26.662803,"DDS demands","Known Flow",476996.107951,195262.526343,,0.000000,,,,,-20.059999,,,,,-17.938010,-20.059999,,"",,,,,"D1 PROFILE",,,,
"80620000008005","Nodes","Logger 0238, Eastwood Road",21.000000,26.692898,"Val Log Post","Known Flow",477029.285670,195292.101735,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000099","Nodes","99",21.000000,26.685241,"DDS demands","Known Flow",477041.331480,195310.483052,,0.000000,,,,,-2.180000,,,,,-1.949395,-2.180000,,"",,,,,"D1 PROFILE",,,,
"80620000000058","Nodes","58",21.000000,28.345506,"DDS demands","Known Flow",476086.067703,196094.062569,,0.000000,,,,,-3.469999,,,,,-3.102936,-3.469999,,"",,,,,"D1 PROFILE",,,,
"80620000008002","Nodes","Logger 0029, Slade Road",21.000000,28.316716,"Val Log Post","Known Flow",476082.071374,196095.045298,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"80620000000056","Nodes","56",21.000000,28.069939,"DDS demands","Known Flow",476053.140694,196079.694565,,0.000000,,,,,-5.110000,,,,,-4.569453,-5.110000,,"",,,,,"D1 PROFILE",,,,
"80620000000155","Nodes","155",21.000000,36.837679,"DDS demands","Known Flow",476391.346786,196073.863563,,0.000000,,,,,-1.019999,,,,,-0.912102,-1.019999,,"",,,,,"D1 PROFILE",,,,
"80620000000156","Nodes","156",21.000000,36.692096,"DDS demands","Known Flow",476409.133019,196062.771493,,0.000000,,,,-1.290000,-13.369999,,,,,-13.109234,-14.659999,,"",,,,"C4 PROFILE","D1 PROFILE",,,,
"80620000000161","Nodes","161",21.000000,36.561181,"DDS demands","Known Flow",476433.931798,196050.421557,,0.000000,,,,,-8.970000,,,,,-8.021135,-8.970000,,"",,,,,"D1 PROFILE",,,,
"80620000000002","Nodes","Stokenchurch DG, Constant/Seasonal, Site ID 5492",21.000000,37.000000,"Default Known Pressure Node","Known Pressure",475737.776568,196363.543864,,176.000007,,,,,,,,,,146.998410,164.387679,,"",,,,,,,,,
"80620000000140","Nodes","P00084452, Stockfields, 17.26",24.000000,36.515844,"CSEP DDS Matched","Known Flow",475738.044874,196367.150567,,0.000000,,,,,,-17.260000,,,,-15.434201,-17.260000,,"",,,,,,"DC PROFILE",,,
"80620000000170","Nodes","170",21.000000,35.348361,"DDS demands","Known Flow",475740.249609,196377.629646,,0.000000,,,,,-2.119999,,,,,-1.895741,-2.119999,,"",,,,,"D1 PROFILE",,,,
"80620000000006","Nodes","6",21.000000,29.322155,"DDS demands","Known Flow",476685.195866,195653.250449,,0.000000,,,,,-10.830000,,,,,-9.684380,-10.830000,,"",,,,,"D1 PROFILE",,,,
"80620000000138","Nodes","138",21.000000,31.485518,"DDS demands","Known Flow",475992.870678,196390.875650,,0.000000,,,,,-11.149999,,,,,-9.970529,-11.149999,,"",,,,,"D1 PROFILE",,,,
"80620000000137","Nodes","137",21.000000,31.158072,"DDS demands","Known Flow",476032.136864,196398.469765,,0.000000,-6.000000,,,,-1.169999,,,,,-6.411542,-7.170000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"80620000000135","Nodes","135",21.000000,31.018678,"DDS demands","Known Flow",476059.595696,196386.080648,,0.000000,,,,-3.989999,-9.720000,,,,,-12.259727,-13.709999,,"",,,,"C4 PROFILE","D1 PROFILE",,,,
