"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"80060400000008","Nodes","8",21.000000,33.927631,"DDS demands","Known Flow",479173.093750,204347.093750,,0.000000,,-7.430000,-120.620007,-114.504606,-128.050010,,"",,"D1 PROFILE","I2 PROFILE"
"80060400001001","Nodes","1001",21.000000,32.812556,"DDS demands","Known Flow",479156.125000,204248.500000,,0.000000,-6.229999,-7.129999,,-11.946751,-13.359999,,"","C1 PROFILE","D1 PROFILE",
"80060400000023","Nodes","23",21.000000,28.908228,"DDS demands","Known Flow",478725.406250,205044.296875,,0.000000,,-29.309998,,-26.209525,-29.309998,,"",,"D1 PROFILE",
"80060400000024","Nodes","24",21.000000,28.908228,"Default Known Flow Node","Known Flow",478755.906250,205036.296875,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000039","Nodes","39",21.000000,24.264926,"Default Known Flow Node","Known Flow",478325.375000,205640.062500,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000037","Nodes","37",21.000000,25.291540,"DDS demands","Known Flow",478401.812500,205527.296875,,0.000000,,-3.039999,,-2.718422,-3.039999,,"",,"D1 PROFILE",
"80060400000041","Nodes","41",21.000000,24.207823,"DDS demands","Known Flow",478304.593750,205685.000000,,0.000000,,-1.919999,,-1.716898,-1.919999,,"",,"D1 PROFILE",
"80060400000040","Nodes","40",21.000000,24.046680,"DDS demands","Known Flow",478349.250000,205662.203125,,0.000000,,-10.060000,0.000000,-8.995832,-10.060000,,"",,"D1 PROFILE","I2 PROFILE"
"80060400001004","Nodes","1004",21.000000,33.208160,"DDS demands","Known Flow",479155.250000,204425.250000,,0.000000,,-4.320000,,-3.863021,-4.320000,,"",,"",
"80060400001005","Nodes","1005",21.000000,32.924142,"DDS demands","Known Flow",479145.312500,204454.625000,,0.000000,,-15.290000,,-13.672592,-15.290000,,"",,"",
"80060400000010","Nodes","10",21.000000,32.525067,"DDS demands","Known Flow",479128.500000,204500.906250,,0.000000,,-9.319999,,-8.334110,-9.319999,,"",,"D1 PROFILE",
"80060400000028","Nodes","28",21.000000,28.828967,"Default Known Flow Node","Known Flow",478747.593750,204943.593750,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000027","Nodes","27",21.000000,28.828967,"DDS demands","Known Flow",478689.593750,205006.500000,,0.000000,,-8.140000,,-7.278933,-8.140000,,"",,"D1 PROFILE",
"80060400000029","Nodes","29",21.000000,28.872927,"Default Known Flow Node","Known Flow",478601.312500,204910.500000,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000043","Nodes","43",21.000000,30.031494,"Default Known Flow Node","Known Flow",478850.159179,204909.848459,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400001003","Nodes","1003",21.000000,30.031494,"Default Known Flow Node","Known Flow",478862.144336,204919.874357,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400001002","Nodes","1002",21.000000,29.818687,"DDS demands","Known Flow",478828.105678,205016.499524,,0.000000,,-2.409999,,-2.155065,-2.409999,,"",,"D1 PROFILE",
"80060400000020","Nodes","20",21.000000,29.639276,"DDS demands","Known Flow",478775.906250,205083.906250,,0.000000,,-11.119999,,-9.943702,-11.119999,,"",,"D1 PROFILE",
"80060400000042","Nodes","42",21.000000,30.031494,"DDS demands","Known Flow",478890.661352,204947.958223,,0.000000,,-22.940001,,-20.513360,-22.940001,,"",,"D1 PROFILE",
"80060400000009","Nodes","9",21.000000,32.769641,"DDS demands","Known Flow",479151.812500,204199.093750,,0.000000,,-1.479999,,-1.323442,-1.479999,,"",,"D1 PROFILE",
"80060400000021","Nodes","21",21.000000,29.610836,"DDS demands","Known Flow",478823.406250,205115.000000,,0.000000,,-2.669999,,-2.387561,-2.669999,,"",,"D1 PROFILE",
"80060400001000","Nodes","1000",21.000000,29.624344,"Default Known Flow Node","Known Flow",478808.312500,205104.718750,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400008001","Nodes","8001",21.000000,31.421437,"Default Known Flow Node","Known Flow",479059.750000,204660.375000,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000031","Nodes","31",21.000000,25.676868,"DDS demands","Known Flow",478566.593750,205328.906250,,0.000000,,-4.050000,,-3.621582,-4.050000,,"",,"D1 PROFILE",
"80060400008000","Nodes","8000",21.000000,25.941563,"DDS demands","Known Flow",478582.531250,205312.500000,,0.000000,,-1.240000,,-1.108830,-1.240000,,"",,"D1 PROFILE",
"80060400000030","Nodes","30",21.000000,27.675900,"DDS demands","Known Flow",478676.268301,205208.047356,,0.000000,,-2.759999,,-2.468041,-2.759999,,"",,"D1 PROFILE",
"80060400000044","Nodes","44",21.000000,40.509915,"Default Known Flow Node","Known Flow",479398.312500,204590.796875,,0.000000,,-2.599999,,-2.324966,-2.599999,,"",,"",
"80060400000006","Nodes","6",21.000000,46.813139,"DDS demands","Known Flow",479656.143411,204539.839934,,0.000000,,-2.059999,,-1.842088,-2.059999,,"",,"D1 PROFILE",
"80060400000001","Nodes","RISBOROUGH RD DG",21.000000,46.999998,"Default Known Pressure Node","Known Pressure",479657.586766,204548.139226,,999998.967025,,,,450.667904,503.979996,,"",,,
"80060400000007","Nodes","7",21.000000,40.013315,"DDS demands","Known Flow",479378.687500,204575.593750,,0.000000,,-21.890000,,-19.574429,-21.890000,,"",,"D1 PROFILE",
"80060400000011","Nodes","11",21.000000,26.430132,"DDS demands","Known Flow",479203.312500,204621.703125,,0.000000,,-27.780001,,-24.841374,-27.780001,,"",,"D1 PROFILE",
"80060400000012","Nodes","12",21.000000,32.895424,"DDS demands","Known Flow",479079.125000,204438.671875,,0.000000,,-1.510000,,-1.350269,-1.510000,,"",,"",
"80060400000016","Nodes","16",21.000000,29.007075,"DDS demands","Known Flow",478975.906250,204527.796875,,0.000000,,-2.329999,,-2.083527,-2.329999,,"",,"D1 PROFILE",
"80060400000017","Nodes","17",21.000000,29.007075,"Default Known Flow Node","Known Flow",478929.906250,204557.093750,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000018","Nodes","18",21.000000,27.343952,"DDS demands","Known Flow",479047.000000,204481.500000,,0.000000,,-21.479998,,-19.207799,-21.479998,,"",,"D1 PROFILE",
"80060400000015","Nodes","15",21.000000,31.157055,"DDS demands","Known Flow",479002.312500,204598.093750,,0.000000,,-3.980000,,-3.558987,-3.980000,,"",,"D1 PROFILE",
"80060400000014","Nodes","14",21.000000,31.161797,"DDS demands","Known Flow",479004.906250,204594.796875,,0.000000,,-5.010000,,-4.480031,-5.010000,,"",,"D1 PROFILE",
"80060400000045","Nodes","45",21.000000,37.495239,"DDS demands","Known Flow",479348.500000,204644.093750,,0.000000,,-25.719998,,-22.999282,-25.719998,,"",,"D1 PROFILE",
"80060400000019","Nodes","19",21.000000,30.703462,"DDS demands","Known Flow",479006.000000,204790.796875,,0.000000,,-16.950000,-11.899999,-25.798186,-28.850001,,"",,"D1 PROFILE","I2 PROFILE"
"80060400000013","Nodes","13",21.000000,31.574551,"DDS demands","Known Flow",479073.812500,204629.406250,,0.000000,,-14.140000,,-12.644242,-14.140000,,"",,"D1 PROFILE",
"80060400000033","Nodes","33",21.000000,25.426372,"Default Known Flow Node","Known Flow",478627.622258,205470.119688,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000032","Nodes","32",21.000000,25.470558,"DDS demands","Known Flow",478590.593750,205349.796875,,0.000000,,-17.830000,,-15.943905,-17.830000,,"",,"D1 PROFILE",
"80060400000034","Nodes","34",21.000000,23.813680,"DDS demands","Known Flow",478688.906250,205358.296875,,0.000000,,-15.970000,,-14.280660,-15.970000,,"",,"D1 PROFILE",
"80060400000036","Nodes","36",21.000000,23.813680,"Default Known Flow Node","Known Flow",478708.406250,205372.000000,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000035","Nodes","35",21.000000,23.813680,"Default Known Flow Node","Known Flow",478670.497753,205419.406736,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000025","Nodes","25",21.000000,28.886273,"DDS demands","Known Flow",478698.812500,205018.406250,,0.000000,,-5.440000,,-4.864545,-5.440000,,"",,"D1 PROFILE",
"80060400000026","Nodes","26",21.000000,28.833578,"DDS demands","Known Flow",478674.093750,205051.906250,,0.000000,,-4.239999,,-3.791483,-4.239999,,"",,"D1 PROFILE",
"80060400000022","Nodes","22",21.000000,29.623849,"DDS demands","Known Flow",478769.000000,205092.000000,,0.000000,,-2.730000,,-2.441214,-2.730000,,"",,"D1 PROFILE",
"80060400000038","Nodes","38",21.000000,25.291540,"Default Known Flow Node","Known Flow",478370.093750,205519.406250,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000005","Nodes",,21.000000,30.031494,"Default Known Flow Node","Known Flow",478857.594625,204916.187051,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000003","Nodes",,21.000000,29.899950,"DDS demands","Known Flow",478854.864953,204987.510309,,0.000000,,-15.540000,,-13.896146,-15.540000,,"",,"D1 PROFILE",
"80060400000047","Nodes",,21.000000,32.790185,"Default Known Flow Node","Known Flow",479150.876057,204222.994714,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000002","Nodes",,21.000000,27.675900,"Default Known Flow Node","Known Flow",478609.042362,205159.588123,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000004","Nodes",,21.000000,29.899950,"Default Known Flow Node","Known Flow",478922.819429,204991.970189,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000046","Nodes",,21.000000,30.031494,"Default Known Flow Node","Known Flow",478755.054251,204805.204029,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000048","Nodes",,21.000000,32.790185,"Default Known Flow Node","Known Flow",479219.771989,204196.085415,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000050","Nodes",,21.000000,33.221255,"Default Known Flow Node","Known Flow",479188.781250,204446.562500,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000052","Nodes",,21.000000,30.031494,"Default Known Flow Node","Known Flow",478865.662556,204925.306731,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000049","Nodes",,21.000000,29.818687,"Default Known Flow Node","Known Flow",478854.512858,205028.705509,,0.000000,,,,0.000000,0.000000,,"",,,
"80060400000061","Nodes",,21.000000,31.572029,"Default Known Flow Node","Known Flow",479073.500000,204629.875000,,0.000000,,,,0.000000,0.000000,,"",,,
