"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000209","Nodes","209","21.000000","42.326286","Default Known Flow Node","Known Flow","454274.198603","252694.545789","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000282","Nodes","282","21.000000","38.372818","DDS demands","Known Flow","453590.307582","252610.680948","","0.000000","","","","-21.370000","","","","-19.109437","-21.370000","","","","","","D1 PROFILE","","",""
"80014200000323","Nodes","323","21.000000","41.327556","Default Known Flow Node","Known Flow","451835.886988","253232.091528","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000322","Nodes","322","21.000000","41.362833","Default Known Flow Node","Known Flow","451802.590096","253284.133131","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000067","Nodes","67","21.000000","41.416927","DDS demands","Known Flow","451839.001190","253233.595957","","0.000000","","","","-18.669999","","","","-16.695048","-18.669999","","","","","","D1 PROFILE","","",""
"80014200000068","Nodes","68","21.000000","38.364809","DDS demands","Known Flow","451812.357523","253126.201895","","0.000000","","","","-12.099999","","","","-10.820037","-12.099999","","","","","","D1 PROFILE","","",""
"80014200000127","Nodes","127","21.000000","23.528355","DDS demands","Known Flow","451342.478839","253116.775809","","0.000000","","","","-4.510000","","","","-4.032922","-4.510000","","","","","","D1 PROFILE","","",""
"80014200000128","Nodes","Logger 58, Bell Lane","21.000000","25.561357","Val Log Cath","Known Flow","451351.802235","253077.858454","","0.000000","","-7.880000","","-20.909998","","","","-25.744533","-28.789998","","","","C2 PROFILE","","D1 PROFILE","","",""
"80014200000291","Nodes","291","21.000000","42.919334","Default Known Flow Node","Known Flow","453489.945010","252421.098421","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000865","Nodes","865","21.000000","39.659672","Default Known Flow Node","Known Flow","453538.731687","252650.538688","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
