"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80011900003770","Nodes","","21.000000","44.759545","DDS demands","Known Flow","461184.541649","162479.123422","","0.000000","","","","","-8.619999","","","","","","","-7.708158","-8.619999","","","","","","","D1 PROFILE","","","","","",""
"80011900000424","Nodes","424","21.000000","46.798849","Default Known Flow Node","Known Flow","461183.759077","162428.667185","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000518","Nodes","518","21.000000","38.273987","DDS demands","Known Flow","459532.865199","161295.133100","","0.000000","","","","","-8.920000","","","","","","","-7.976423","-8.920000","","","","","","","D1 PROFILE","","","","","",""
"80011900001900","Nodes","-1094","21.000000","38.273987","Default Known Flow Node","Known Flow","459537.152200","161298.099101","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900001930","Nodes","-155474","21.000000","38.273987","Default Known Flow Node","Known Flow","459528.120198","161292.375099","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000849","Nodes","849","21.000000","30.879731","DDS demands","Known Flow","460093.053351","161297.375100","","0.000000","","","","","-2.710000","","","","","","","-2.423330","-2.710000","","","","","","","D1 PROFILE","","","","","",""
"80011900000847","Nodes","847","21.000000","30.891295","DDS demands","Known Flow","460098.324353","161310.291104","","0.000000","","","","","-5.199999","","","","","","","-4.649932","-5.199999","","","","","","","D1 PROFILE","","","","","",""
"80011900000682","Nodes","682","21.000000","47.197267","Default Known Flow Node","Known Flow","459558.488206","161147.407060","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000538","Nodes","538","21.000000","45.673539","DDS demands","Known Flow","459585.919066","161154.477527","","0.000000","","","","","-7.119999","","","","","","","-6.366831","-7.119999","","","","","","","D1 PROFILE","","","","","",""
"80011900000280","Nodes","280","21.000000","41.802021","DDS demands","Known Flow","459649.745231","161189.155071","","0.000000","","","","","-0.430000","","","","","","","-0.384513","-0.430000","","","","","","","D1 PROFILE","","","","","",""
"80011900000009","Nodes","9, GUTTERIDGE LANE DG, R340D, Constant Setting, Site ID 4249","21.000000","48.999998","Default Known Pressure Node","Known Pressure","459552.782204","161174.448067","","1970.000049","","","","","","","","","","","","1584.699521","1772.162600","","","","","","","","","","","","",""
"80011900000440","Nodes","440","21.000000","48.638083","Default Known Flow Node","Known Flow","459554.699733","161171.305732","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000683","Nodes","683","21.000000","48.332575","Default Known Flow Node","Known Flow","459557.039206","161166.422065","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000282","Nodes","282","21.000000","41.104306","DDS demands","Known Flow","459640.781228","161220.771080","","0.000000","","","","","-2.039999","","","","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","","","","",""
"80011900000283","Nodes","283","21.000000","41.133751","DDS demands","Known Flow","459574.423547","161211.936454","","0.000000","","","","","-11.910000","","","","","","","-10.650135","-11.910000","","","","","","","D1 PROFILE","","","","","",""
"80011900000281","Nodes","281","21.000000","41.225893","DDS demands","Known Flow","459644.594229","161214.810078","","0.000000","","","","","-3.739999","","","","","","","-3.344374","-3.739999","","","","","","","D1 PROFILE","","","","","",""
"80011900000285","Nodes","285","21.000000","40.187961","DDS demands","Known Flow","459616.518222","161280.461096","","0.000000","","","","","-3.299999","","","","","","","-2.950918","-3.299999","","","","","","","D1 PROFILE","","","","","",""
"80011900000286","Nodes","286","21.000000","40.498297","DDS demands","Known Flow","459638.189790","161260.650781","","0.000000","","","","","-2.819999","","","","","","","-2.521694","-2.819999","","","","","","","D1 PROFILE","","","","","",""
"80011900000284","Nodes","284","21.000000","40.789675","DDS demands","Known Flow","459637.971228","161237.812084","","0.000000","","","","","-1.820000","","","","","","","-1.627476","-1.820000","","","","","","","D1 PROFILE","","","","","",""
"80011900003862","Nodes","-205321","21.000000","39.303531","Default Known Flow Node","Known Flow","459698.210715","161482.972812","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000537","Nodes","537","21.000000","39.160525","DDS demands","Known Flow","459731.692405","161501.104461","","0.000000","","","","","-3.000000","","","","","","","-2.682653","-3.000000","","","","","","","D1 PROFILE","","","","","",""
"80011900000684","Nodes","684","21.000000","38.893672","Default Known Flow Node","Known Flow","459782.624162","161510.547353","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000691","Nodes","691","21.000000","69.106910","Default Known Flow Node","Known Flow","458414.448895","162809.301512","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900001079","Nodes","1079","21.000000","69.041353","Default Known Flow Node","Known Flow","458420.045461","162800.804429","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900001076","Nodes","1076","21.000000","68.566403","Default Known Flow Node","Known Flow","458453.848609","162847.174263","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000175","Nodes","175","21.000000","29.451575","DDS demands","Known Flow","457674.643693","162197.409345","","0.000000","","","","","-6.690000","","","","","","","-5.982318","-6.690000","","","","","","","D1 PROFILE","","","","","",""
"80011900001998","Nodes","-190180","21.000000","30.914825","Default Known Flow Node","Known Flow","457777.184370","162247.298615","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000182","Nodes","182","21.000000","32.464017","DDS demands","Known Flow","457865.299745","162325.454380","","0.000000","","","","","-12.109999","","","","","","","-10.828979","-12.109999","","","","","","","D1 PROFILE","","","","","",""
"80011900001009","Nodes","1009","21.000000","35.932097","DDS demands","Known Flow","459240.011119","162072.060311","","0.000000","","","","","-9.529999","","","","","","","-8.521896","-9.529999","","","","","","","D1 PROFILE","","","","","",""
"80011900001003","Nodes","1003","21.000000","33.033952","Default Known Flow Node","Known Flow","457999.558155","162276.919172","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"80011900000010","Nodes","10, SHERIDAN CRESCENT DG, R362D, Constant Setting,","21.000000","69.999999","Default Known Pressure Node","Known Pressure","458212.984840","162063.495309","","359.999986","","","","","","","","","","","","100.367015","112.240002","","","","","","","","","","","","",""
"80011900000606","Nodes","606","21.000000","69.836568","DDS demands","Known Flow","458217.560729","162069.864640","","0.000000","","","","","-3.039999","","","","","","","-2.718422","-3.039999","","","","","","","D1 PROFILE","","","","","",""
"80011900000607","Nodes","607","21.000000","69.409154","DDS demands","Known Flow","458224.892843","162100.822319","","0.000000","","","","","-4.999999","","","","","","","-4.471089","-4.999999","","","","","","","D1 PROFILE","","","","","",""
