"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80005800000902","Nodes","902",21.000000,29.399218,"DDS demands","Known Flow",479749.146700,136311.939302,,0.000000,,,,,,,-11.669999,,,,,,,,,,,-10.435522,-11.669999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000993","Nodes","993",21.000000,39.502895,"Default Known Flow Node","Known Flow",479782.542849,135691.682104,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000992","Nodes","992",21.000000,39.849922,"Default Known Flow Node","Known Flow",479769.585486,135695.756995,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800009005","Nodes","9005",21.000000,39.966507,"Default Known Flow Node","Known Flow",479762.645375,135697.934882,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000004","Nodes","Essex Road DG, GCM, Tel, Clocked, Site ID 5660",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",479762.021704,135695.939134,,999999.999410,,,,,,,,,,,,,,,,,,1679.971000,1878.704306,,"",,,,,,,,,,,,,,,,,
"80005800008008","Nodes","8008",21.000000,19.614976,"Default Known Flow Node","Known Flow",478398.268009,135004.791829,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800001140","Nodes","1140",21.000000,19.623162,"DDS demands","Known Flow",478398.576616,135006.869057,,0.000000,,,,,,,-12.060000,,,,,,,,,,,-10.784268,-12.060000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800001001","Nodes","1001, P12130043, Hogmoor Road, SCH 6.92",22.999998,19.607819,"CSEP Unmatched","Known Flow",478475.429026,135026.117274,,0.000000,,,,,,,,-2.990000,,,,,,,,,,-2.673711,-2.990000,,"",,,,,,,,"DC PROFILE",,,,,,,,,
"80005800001007","Nodes","1007",21.000000,19.362824,"DDS demands","Known Flow",478356.271321,135009.813947,,0.000000,,,,,,,-5.680000,,,,,,,,,,,-5.079157,-5.680000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800008007","Nodes","8007",21.000000,19.169040,"Default Known Flow Node","Known Flow",478342.753070,134958.698363,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
