"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80015700009000","Nodes","502","21.000000","37.274410","DDS demands","Known Flow","483574.397741","239999.342516","","0.000000","","","","","-1.999999","","","","","-1.788435","-1.999999","","","","","","","D1 PROFILE","","","",""
"80015700009001","Nodes","6032","21.000000","36.840971","Default Known Flow Node","Known Flow","483617.647753","239965.217507","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009002","Nodes","644","21.000000","36.402382","DDS demands","Known Flow","483676.772769","239992.467514","","0.000000","","","","","-2.369999","","","","","-2.119296","-2.369999","","","","","","","D1 PROFILE","","","",""
"80015700009003","Nodes","1117","21.000000","35.084266","DDS demands","Known Flow","484246.397924","239697.092434","","0.000000","","","","","-2.730000","","","","","-2.441214","-2.730000","","","","","","","D1 PROFILE","","","",""
"80015700009004","Nodes","Closed Valve","21.000000","35.127906","Default Known Flow Node","Known Flow","484298.956355","239642.949347","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009005","Nodes","600","21.000000","34.932068","DDS demands","Known Flow","483590.022745","239624.217414","","0.000000","","","","","-5.760000","","","","","-5.150695","-5.760000","","","","","","","D1 PROFILE","","","",""
"80015700009006","Nodes","Logger 5804, Walgrave Drive","21.000000","34.905762","Val Log Post","Known Flow","483601.629223","239620.990565","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009007","Nodes","602","21.000000","34.858629","DDS demands","Known Flow","483619.772753","239615.967412","","0.000000","","","","","-3.489999","","","","","-3.120820","-3.489999","","","","","","","D1 PROFILE","","","",""
"80015700009008","Nodes","2025","21.000000","29.121568","DDS demands","Known Flow","483358.147682","239220.467304","","0.000000","","","","","-1.980000","","","","","-1.770551","-1.980000","","","","","","","D1 PROFILE","","","",""
"80015700009009","Nodes","Logger 5802, Quinton Drive","21.000000","29.110971","Val Log Post","Known Flow","483359.987346","239217.390344","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009010","Nodes","2026","21.000000","29.019531","DDS demands","Known Flow","483375.647687","239190.717296","","0.000000","","","","","-4.179999","","","","","-3.737830","-4.179999","","","","","","","D1 PROFILE","","","",""
"80015700009011","Nodes","1237","21.000000","24.035378","Default Known Flow Node","Known Flow","483894.897828","240346.717610","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009012","Nodes","Logger 5814, Lothersdale","21.000000","24.034579","Val Log Post","Known Flow","483888.202069","240338.000441","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009013","Nodes","1238","21.000000","24.034086","DDS demands","Known Flow","483884.522825","240332.217606","","0.000000","","","","","-0.999999","","","","","-0.894217","-0.999999","","","","","","","D1 PROFILE","","","",""
"80015700009014","Nodes","547","21.000000","31.397289","DDS demands","Known Flow","483112.590453","239935.767102","","0.000000","","","","","-3.930000","","","","","-3.514276","-3.930000","","","","","","","D1 PROFILE","","","",""
"80015700009015","Nodes","545","21.000000","31.841722","DDS demands","Known Flow","483152.424341","239919.842783","","0.000000","","","","","-1.690000","","","","","-1.511228","-1.690000","","","","","","","D1 PROFILE","","","",""
"80015700009016","Nodes","541","21.000000","31.969144","DDS demands","Known Flow","483169.147631","239921.842495","","0.000000","","","","","-2.470000","","","","","-2.208718","-2.470000","","","","","","","D1 PROFILE","","","",""
"80015700009017","Nodes","2014","21.000000","29.060331","DDS demands","Known Flow","483267.147657","239244.217310","","0.000000","","","","","-2.230000","","","","","-1.994105","-2.230000","","","","","","","D1 PROFILE","","","",""
"80015700009018","Nodes","2016","21.000000","29.071634","DDS demands","Known Flow","483279.172408","239251.028204","","0.000000","","","","","-1.710000","","","","","-1.529112","-1.710000","","","","","","","D1 PROFILE","","","",""
"80015700009019","Nodes","2017","21.000000","29.114481","DDS demands","Known Flow","483320.397672","239270.217317","","0.000000","","","","","-2.369999","","","","","-2.119296","-2.369999","","","","","","","D1 PROFILE","","","",""
"80015700009020","Nodes","596","21.000000","31.743730","DDS demands","Known Flow","483492.022719","239512.342383","","0.000000","","","","","-9.000000","","","","","-8.047961","-9.000000","","","","","","","D1 PROFILE","","","",""
"80015700009021","Nodes","595","21.000000","31.369260","DDS demands","Known Flow","483480.890716","239479.572541","","0.000000","","","","","-5.079999","","","","","-4.542626","-5.079999","","","","","","","D1 PROFILE","","","",""
"80015700009022","Nodes","593","21.000000","30.515103","DDS demands","Known Flow","483443.044397","239431.198101","","0.000000","","","","","-1.339999","","","","","-1.198251","-1.339999","","","","","","","D1 PROFILE","","","",""
"80015700009023","Nodes","2047","21.000000","32.764178","Default Known Flow Node","Known Flow","483658.772764","239448.592366","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80015700009024","Nodes","2050","21.000000","32.735863","DDS demands","Known Flow","483658.276326","239445.365517","","0.000000","","","","","-3.190000","","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","","",""
"80015700009025","Nodes","2051","21.000000","32.193546","DDS demands","Known Flow","483729.897783","239429.717361","","0.000000","","","","","-6.919999","","","","","-6.187987","-6.919999","","","","","","","D1 PROFILE","","","",""
"80015700009026","Nodes","2048","21.000000","32.725632","DDS demands","Known Flow","483659.944126","239451.960032","","0.000000","","","","","-1.409999","","","","","-1.260847","-1.409999","","","","","","","D1 PROFILE","","","",""
"80015700009027","Nodes","2049","21.000000","32.045042","DDS demands","Known Flow","483692.522773","239501.217380","","0.000000","","","","","-10.090000","","","","","-9.022658","-10.090000","","","","","","","D1 PROFILE","","","",""
"80015700009028","Nodes","599","21.000000","34.804251","DDS demands","Known Flow","483584.920083","239623.166083","","0.000000","","","","","-1.339999","","","","","-1.198251","-1.339999","","","","","","","D1 PROFILE","","","",""
"80015700009029","Nodes","598","21.000000","33.092495","DDS demands","Known Flow","483522.647727","239591.592405","","0.000000","","","","","-7.530000","","","","","-6.733460","-7.530000","","","","","","","D1 PROFILE","","","",""
"80015700009030","Nodes","518","21.000000","33.473753","DDS demands","Known Flow","483433.027847","239831.897511","","0.000000","","","","","-7.170000","","","","","-6.411542","-7.170000","","","","","","","D1 PROFILE","","","",""
"80015700009031","Nodes","564","21.000000","32.228911","DDS demands","Known Flow","483063.322589","239716.988956","","0.000000","","","","","-3.759999","","","","","-3.362259","-3.759999","","","","","","","D1 PROFILE","","","",""
"80015700009032","Nodes","560","21.000000","30.125246","DDS demands","Known Flow","483012.522588","239768.592453","","0.000000","","","","","-5.980000","","","","","-5.347423","-5.980000","","","","","","","D1 PROFILE","","","",""
"80015700009033","Nodes","1141","21.000000","27.476271","DDS demands","Known Flow","484058.272873","240215.592575","","0.000000","","","","","-2.160000","","","","","-1.931510","-2.160000","","","","","","","D1 PROFILE","","","",""
"80015700009034","Nodes","1142","21.000000","27.171871","DDS demands","Known Flow","484078.927975","240176.467187","","0.000000","","","","","-7.250000","","","","","-6.483080","-7.250000","","","","","","","D1 PROFILE","","","",""
"80015700009035","Nodes","1143","21.000000","27.115426","DDS demands","Known Flow","484113.272888","240177.967564","","0.000000","","","","","-3.329999","","","","","-2.977745","-3.329999","","","","","","","D1 PROFILE","","","",""
"80015700009036","Nodes","1134","21.000000","27.392051","DDS demands","Known Flow","484020.022862","240166.342561","","0.000000","","","","","-8.140000","","","","","-7.278933","-8.140000","","","","","","","D1 PROFILE","","","",""
"80015700009037","Nodes","1135","21.000000","27.386698","DDS demands","Known Flow","484010.318508","240160.379645","","0.000000","","","","","-1.049999","","","","","-0.938928","-1.049999","","","","","","","D1 PROFILE","","","",""
"80015700009038","Nodes","1136","21.000000","27.384972","DDS demands","Known Flow","484002.272857","240173.592563","","0.000000","","","","","-0.950000","","","","","-0.849507","-0.950000","","","","","","","D1 PROFILE","","","",""
