"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80018900000630","Nodes","630",21.000000,62.603265,"DDS demands","Known Flow",489384.899322,234831.841110,,0.000000,,-3.289999,,,,,-4.699999,,,,,,,-7.144800,-7.989999,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,
"80018900001178","Nodes","1178",21.000000,62.426265,"DDS demands","Known Flow",489325.295070,234792.054948,,0.000000,-7.170000,,,,,,,,,,,,,-6.411542,-7.170000,,"","C1 PROFILE",,,,,,,,,,,,
"80018900001434","Nodes","1434",21.000000,67.847384,"DDS demands","Known Flow",489123.524251,239290.967323,,0.000000,,,,,,,-1.299999,,,,,,,-1.162483,-1.299999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900001414","Nodes","P00036487, Plots 79-90, Site ME02, Middleton East, 25.93",26.000000,67.717866,"CSEP DDS Matched","Known Flow",489124.274251,239288.967323,,0.000000,,,,,,,-27.219999,-25.930000,,,,,,-47.527684,-53.150000,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,,
"80018900011450","Nodes","-155484",21.000000,67.865434,"Default Known Flow Node","Known Flow",489116.899249,239287.842322,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900011451","Nodes","-155485",21.000000,67.847384,"Default Known Flow Node","Known Flow",489163.774262,239333.467335,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900011390","Nodes","-1352",21.000000,64.705977,"Default Known Flow Node","Known Flow",488092.784984,239172.317985,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900011448","Nodes","-155482",21.000000,67.916606,"Default Known Flow Node","Known Flow",489006.143736,239452.223947,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001430","Nodes","1430",21.000000,67.953235,"Default Known Flow Node","Known Flow",488929.399198,239464.217370,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001423","Nodes","P00090354, CP1 BYRD CRESCENT, 30.37",26.000000,51.626243,"CSEP DDS Matched","Known Flow",490866.475694,236523.621500,,0.000000,,,,,,,,-30.370000,,,,,,-27.157398,-30.370000,,"",,,,,,,,"DC PROFILE",,,,,
"80018900001424","Nodes","3038, CP2 BYRD CRESCENT, 10.00",24.000000,51.450994,"CSEP DDS Matched","Known Flow",490923.403614,236503.332618,,0.000000,,,,,,,,-9.999999,,,,,,-8.942178,-9.999999,,"",,,,,,,,"DC PROFILE",,,,,
"80018900001317","Nodes","1317",21.000000,51.382635,"DDS demands","Known Flow",490928.680057,236479.865230,,0.000000,,,,,,,-19.780000,,,,,,,-17.687630,-19.780000,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900001316","Nodes","1316",21.000000,52.173383,"DDS demands","Known Flow",490782.257572,236489.965889,,0.000000,,,,,,,-3.459999,,,,,,,-3.093993,-3.459999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900001421","Nodes","1421",21.000000,52.246427,"DDS demands","Known Flow",490598.264394,236793.895733,,0.000000,,-21.920000,,,,,,,,,,,,-19.601258,-21.920000,,"",,"C2 PROFILE",,,,,,,,,,,
"80018900000469","Nodes","469",21.000000,52.270151,"DDS demands","Known Flow",490434.418521,236718.059385,,0.000000,,,,,,,-12.189999,,,,,,,-10.900516,-12.189999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900000432","Nodes","432",21.000000,52.236884,"DDS demands","Known Flow",490630.799661,236794.713644,,0.000000,,,,,,,-4.639999,,,,,,,-4.149170,-4.639999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900011449","Nodes",,21.000000,67.969041,"DDS demands","Known Flow",489114.062746,239266.980870,,0.000000,-9.500000,,,,,,-15.160000,,,,,,,-22.051414,-24.660001,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,
"80018900011392","Nodes","-1414",21.000000,67.951986,"Default Known Flow Node","Known Flow",489120.521910,239269.725543,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001391","Nodes","1391",21.000000,59.780051,"DDS demands","Known Flow",489522.660183,239248.383617,,0.000000,,,,,,,-4.659999,,,,,,,-4.167055,-4.659999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900001413","Nodes","P00095393, GUC1722, MILTON ROAD, 93.33",64.000000,58.373678,"CSEP DDS Matched","Known Flow",489459.794362,239433.698499,,0.000000,,,,,,,,-68.300001,,,,,,-61.075082,-68.300001,,"",,,,,,,,"DC PROFILE",,,,,
"80018900001411","Nodes","1411",21.000000,59.160850,"DDS demands","Known Flow",489600.909087,239765.645621,,0.000000,,,,,,,-9.029999,,,,,,,-8.074787,-9.029999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900001406","Nodes","P00074012, SITE 18 MONKSTON PARK, 59.17",24.000000,37.208866,"CSEP DDS Matched","Known Flow",488596.146979,237788.201166,,0.000000,,,,,,,,-59.169999,,,,,,-52.910874,-59.169999,,"",,,,,,,,"DC PROFILE",,,,,
"80018900001407","Nodes","1407",21.000000,37.165715,"Default Known Flow Node","Known Flow",488583.517104,237700.455890,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001408","Nodes","1408",21.000000,37.165715,"Default Known Flow Node","Known Flow",488575.649102,237687.841887,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001403","Nodes","1403",21.000000,58.309412,"Default Known Flow Node","Known Flow",488465.284306,238083.003968,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001401","Nodes","1401",21.000000,55.385274,"Default Known Flow Node","Known Flow",488310.971873,238113.945437,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001214","Nodes","P07111947, Brickhil Street CSEP, 34.80",24.000000,61.802005,"Default Known Flow Node","Known Flow",488524.799615,238123.242754,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001220","Nodes","1220",21.000000,62.544794,"Default Known Flow Node","Known Flow",488529.457825,238180.498390,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001218","Nodes","P07115387, P09121035, Brickhill Street, Monkston Park, -96.19 SCMHS",27.000000,63.204376,"CSEP DDS Matched","Known Flow",488562.872492,238192.094037,,0.000000,,,,,-39.880001,,,-56.309999,,,,,,-86.014818,-96.190000,,"",,,,,"CC PROFILE",,,"DC PROFILE",,,,,
"80018900001216","Nodes","P00069792, MONKSTON SITE 3, 99.33",40.000000,64.688683,"CSEP DDS Matched","Known Flow",488613.008112,238188.543023,,0.000000,,,,,,,,-99.330002,,,,,,-88.822663,-99.330002,,"",,,,,,,,"DC PROFILE",,,,,
"80018900001219","Nodes","1219",21.000000,62.544794,"Default Known Flow Node","Known Flow",488533.274090,238176.717020,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001217","Nodes","1217",21.000000,64.008422,"Default Known Flow Node","Known Flow",488584.274104,238175.842020,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900001215","Nodes","1215",21.000000,64.688683,"Default Known Flow Node","Known Flow",488591.788106,238208.101028,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"80018900000277","Nodes","277",21.000000,54.566002,"DDS demands","Known Flow",489989.274487,236288.466506,,0.000000,,,,,,,-8.199999,,,,,,,-7.332586,-8.199999,,"",,,,,,,"D1 PROFILE",,,,,,
"80018900000276","Nodes","276",21.000000,54.535381,"DDS demands","Known Flow",489990.024487,236273.966502,,0.000000,,,,,,,-0.820000,,,,,,,-0.733258,-0.820000,,"",,,,,,,"D1 PROFILE",,,,,,
