"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",9999.989670,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"C2","Flow Categories",-547.229993,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-77.139998,0.000000,1.000000,"Volumetric",-1.000000
"D1","Flow Categories",-2245.009996,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-124.339999,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-232.299995,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-29.510000,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-322.009998,0.000000,1.000000,"Volumetric",-1.000000
"PL-DC","Flow Categories",-136.070005,0.000000,1.000000,"Volumetric",-1.000000
"DH","Flow Categories",,,1.000000,"Volumetric",-1.000000
"DM","Flow Categories",,,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"PL-AF","Flow Categories",,,1.000000,"Volumetric",-1.000000
