"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80001200001128","Nodes","1128","21.000000","32.865958","DDS demands","Known Flow","485601.812500","232899.296875","","0.000000","","","","","","-9.635999","","","","","","","-8.616683","-9.635999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001833","Nodes","1833","21.000000","32.060118","DDS demands","Known Flow","485376.406250","233067.593750","","0.000000","","","","","","-7.441000","","","","","","","-6.653875","-7.441000","","","","","","","","D1 PROFILE","","","","","",""
"80001200000747","Nodes","747","21.000000","31.175533","DDS demands","Known Flow","485264.312500","232935.593750","","0.000000","","","","","","-18.856000","","","","","","","-16.861373","-18.856000","","","","","","","","D1 PROFILE","","","","","",""
"800012-246446","Nodes","-246446","21.000000","31.990534","Default Known Flow Node","Known Flow","485214.750000","232866.875000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80001200002337","Nodes","2337","21.000000","29.412501","DDS demands","Known Flow","484865.812500","232365.000000","","0.000000","-14.069999","","","","","-12.095999","","","","","","","-23.398105","-26.165997","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"80001200002515","Nodes","2515","21.000000","29.344908","DDS demands","Known Flow","484878.406250","232236.000000","","0.000000","","","","","","-1.098000","","","","","","","-0.981851","-1.098000","","","","","","","","D1 PROFILE","","","","","",""
"80001200002516","Nodes","2516","21.000000","29.413298","DDS demands","Known Flow","484883.812500","232089.093750","","0.000000","","","","","","-1.342000","","","","","","","-1.200040","-1.342000","","","","","","","","D1 PROFILE","","","","","",""
"80001200000167","Nodes","167","21.000000","41.877292","DDS demands","Known Flow","485145.093750","233485.406250","","0.000000","","","","","","-11.109999","-10.329999","","","","","","-19.172031","-21.439999","","","","","","","","D1 PROFILE","DC PROFILE","","","","",""
"80001200000732","Nodes","732","21.000000","42.012954","DDS demands","Known Flow","485279.000000","233619.296875","","0.000000","","","","","","-21.326000","","","","","","","-19.070091","-21.326000","","","","","","","","D1 PROFILE","","","","","",""
"80001200000172","Nodes","172","21.000000","39.820653","DDS demands","Known Flow","485321.406250","233680.296875","","0.000000","","","","","","-3.883000","","","","","","","-3.472248","-3.883000","","","","","","","","D1 PROFILE","","","","","",""
"80001200000173","Nodes","173","21.000000","39.807248","DDS demands","Known Flow","485285.312500","233690.500000","","0.000000","","","","","","-7.775999","","","","","","","-6.953438","-7.775999","","","","","","","","D1 PROFILE","","","","","",""
"80001200000174","Nodes","174","21.000000","39.792503","DDS demands","Known Flow","485295.093750","233654.406250","","0.000000","","","","","","-6.494999","","","","","","","-5.807945","-6.494999","","","","","","","","D1 PROFILE","","","","","",""
"80001200000870","Nodes","870","21.000000","37.507646","DDS demands","Known Flow","484715.406250","233293.406250","","0.000000","","","","","","-13.356999","","","","","","","-11.944068","-13.356999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001475","Nodes","1475","21.000000","37.418147","DDS demands","Known Flow","484727.000000","233286.593750","","0.000000","","","","","","-6.068999","","","","","","","-5.427008","-6.068999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001476","Nodes","1476","21.000000","37.457402","DDS demands","Known Flow","484755.406250","233222.500000","","0.000000","","","","","","-5.580999","","","","","","","-4.990629","-5.580999","","","","","","","","D1 PROFILE","","","","","",""
"80001200002182","Nodes","2182","21.000000","48.588961","DDS demands","Known Flow","484667.406250","232630.093750","","0.000000","","","","","","-3.659000","","","","","","","-3.271943","-3.659000","","","","","","","","D1 PROFILE","","","","","",""
"80001200002183","Nodes","2183","21.000000","48.303405","Default Known Flow Node","Known Flow","484634.187500","232674.796875","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80001200002187","Nodes","2187","21.000000","48.340223","DDS demands","Known Flow","484637.093750","232677.406250","","0.000000","","","","","","-3.761000","","","","","","","-3.363153","-3.761000","","","","","","","","D1 PROFILE","","","","","",""
"80001200002170","Nodes","2170","21.000000","48.407267","DDS demands","Known Flow","484693.093750","232796.593750","","0.000000","","","","","","-7.746000","","","","","","","-6.926611","-7.746000","","","","","","","","D1 PROFILE","","","","","",""
"80001200002168","Nodes","2168","21.000000","48.268741","DDS demands","Known Flow","484667.500000","232794.296875","","0.000000","","","","","","-3.212000","","","","","","","-2.872227","-3.212000","","","","","","","","D1 PROFILE","","","","","",""
"80001200002167","Nodes","2167","21.000000","47.990949","DDS demands","Known Flow","484638.312500","232822.906250","","0.000000","","","","","","-3.243000","","","","","","","-2.899948","-3.243000","","","","","","","","D1 PROFILE","","","","","",""
"80001200000719","Nodes","719","21.000000","25.279020","DDS demands","Known Flow","487501.000000","234065.000000","","0.000000","-131.830004","","","","","-15.237000","","","","","","","-131.509946","-147.067001","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"80001200000721","Nodes","721","21.000000","27.113706","DDS demands","Known Flow","487769.812500","234117.203125","","0.000000","","","","","","-25.635999","","","","","","","-22.924168","-25.635999","","","","","","","","D1 PROFILE","","","","","",""
"80001200002567","Nodes","2567","21.000000","30.280833","DDS demands","Known Flow","487982.093750","234122.406250","","0.000000","","","","","","-17.462999","","","","","","","-15.615726","-17.462999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001450","Nodes","1450","21.000000","30.315732","DDS demands","Known Flow","487982.500000","234120.406250","","0.000000","","","","","","-10.723999","","","","","","","-9.589592","-10.723999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001088","Nodes","1088","21.000000","32.924717","DDS demands","Known Flow","487915.500000","234430.000000","","0.000000","","","","","","-19.861998","","","","","","","-17.760955","-19.861998","","","","","","","","D1 PROFILE","","","","","",""
"80001200001087","Nodes","1087","21.000000","32.747591","DDS demands","Known Flow","487921.593750","234461.000000","","0.000000","","","","","","-3.099999","","","","","","","-2.772075","-3.099999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001211","Nodes","1211","21.000000","32.683897","DDS demands","Known Flow","487924.093750","234487.000000","","0.000000","","","","","","-4.188000","","","","","","","-3.744984","-4.188000","","","","","","","","D1 PROFILE","","","","","",""
"80001200001212","Nodes","1212","21.000000","32.772381","DDS demands","Known Flow","487934.500000","234473.406250","","0.000000","","","","","","-2.704000","","","","","","","-2.417965","-2.704000","","","","","","","","D1 PROFILE","","","","","",""
"80001200002493","Nodes","2493","21.000000","33.540443","DDS demands","Known Flow","487724.406250","234430.796875","","0.000000","-27.339999","","","","","-1.057000","","","","","","","-25.393104","-28.396998","","","C1 PROFILE","","","","","D1 PROFILE","","","","","",""
"80001200002107","Nodes","2107","21.000000","33.713755","DDS demands","Known Flow","487708.093750","234420.296875","","0.000000","-161.690002","","","","","","","","","","","","-144.586090","-161.690002","","","C1 PROFILE","","","","","","","","","","",""
"80001200001722","Nodes","1722","21.000000","43.890000","DDS demands","Known Flow","484946.093750","234789.093750","","0.000000","","","","","","-4.656000","","","","","","","-4.163478","-4.656000","","","","","","","","D1 PROFILE","","","","","",""
"80001200001723","Nodes","1723","21.000000","43.870056","DDS demands","Known Flow","484964.812500","234796.406250","","0.000000","","","","","","-3.608999","","","","","","","-3.227232","-3.608999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001724","Nodes","1724","21.000000","43.870216","DDS demands","Known Flow","484984.312500","234820.406250","","0.000000","","","","","","-6.728999","","","","","","","-6.017192","-6.728999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001950","Nodes","1950","21.000000","44.131648","DDS demands","Known Flow","485284.812500","235171.000000","","0.000000","","","","","","-1.169000","","","","","","","-1.045340","-1.169000","","","","","","","","D1 PROFILE","","","","","",""
"80001200001657","Nodes","1657","21.000000","44.125438","DDS demands","Known Flow","485284.406250","235171.203125","","0.000000","","","","","","-2.256999","","","","","","","-2.018249","-2.256999","","","","","","","","D1 PROFILE","","","","","",""
"80001200001659","Nodes","1659","21.000000","43.879935","DDS demands","Known Flow","485262.000000","235188.406250","","0.000000","","","","","","-1.291000","","","","","","","-1.154435","-1.291000","","","","","","","","D1 PROFILE","","","","","",""
"80001200001695","Nodes","1695","21.000000","45.078191","DDS demands","Known Flow","484599.906250","234376.796875","","0.000000","","","","-3.299999","","-2.713999","","","","","","","-5.377826","-6.013999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","",""
"80001200001696","Nodes","1696","21.000000","43.203792","DDS demands","Known Flow","484613.500000","234424.796875","","0.000000","","","","","","-5.347000","","","","","","","-4.781383","-5.347000","","","","","","","","D1 PROFILE","","","","","",""
"80001200001697","Nodes","1697","21.000000","42.520411","DDS demands","Known Flow","484632.406250","234441.906250","","0.000000","","","-21.850001","","","-3.121000","","","","","","","-22.329516","-24.971002","","","","","C3 PROFILE","","","D1 PROFILE","","","","","",""
"80001200001353","Nodes","1353","21.000000","46.834660","DDS demands","Known Flow","485434.593750","235520.906250","","0.000000","","","","","","-14.079000","","","","","","","-12.589695","-14.079000","","","","","","","","D1 PROFILE","","","","","",""
"80001200001636","Nodes","1636","21.000000","47.127412","DDS demands","Known Flow","485484.812500","235521.593750","","0.000000","","","","","","-10.418999","","","","","","","-9.316855","-10.418999","","","","","","","","D1 PROFILE","","","","","",""
