"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"80061000000014","Nodes","14",21.000000,62.524998,"DDS demands","Known Flow",491782.193974,217256.589327,,0.000000,,,,-2.589999,-20.229998,,-20.406050,-22.819997,,"",,,,"D1 PROFILE","I2 PROFILE",
"80061000000015","Nodes","15",21.000000,62.303273,"DDS demands","Known Flow",491686.666948,217122.016291,,0.000000,,,,-8.430000,,,-7.538257,-8.430000,,"",,,,"D1 PROFILE",,
"80061000000038","Nodes","38",21.000000,59.483396,"DDS demands","Known Flow",491831.119988,216997.535257,,0.000000,,,,-17.660000,,,-15.791888,-17.660000,,"",,,,"D1 PROFILE",,
"80061000000037","Nodes","37",21.000000,61.934543,"DDS demands","Known Flow",491949.278020,217145.710297,,0.000000,,,,-7.389999,,,-6.608270,-7.389999,,"",,,,"D1 PROFILE",,
"80061000001001","Nodes","1001",21.000000,60.432018,"Default Known Flow Node","Known Flow",492151.343075,217366.925357,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000001000","Nodes","1000",21.000000,60.423659,"Default Known Flow Node","Known Flow",492169.081080,217396.731366,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000019","Nodes","19",21.000000,60.444001,"DDS demands","Known Flow",492164.800436,217346.904745,,0.000000,,,,-3.410000,,,-3.049283,-3.410000,,"",,,,"D1 PROFILE",,
"80061000000020","Nodes","20",21.000000,60.423079,"DDS demands","Known Flow",492136.776071,217380.879361,,0.000000,,,,-2.549999,,,-2.280255,-2.549999,,"",,,,"D1 PROFILE",,
"80061000001111","Nodes","-82315",21.000000,60.502366,"Default Known Flow Node","Known Flow",492073.321054,217176.143306,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000035","Nodes","35",21.000000,61.345441,"DDS demands","Known Flow",491993.909032,217083.202280,,0.000000,,,,-14.990000,,,-13.404326,-14.990000,,"",,,,"D1 PROFILE",,
"80061000000076","Nodes","76",21.000000,58.133788,"DDS demands","Known Flow",492159.184451,218298.332670,,0.000000,,,,-17.849999,,,-15.961788,-17.849999,,"",,,,"D1 PROFILE",,
"80061000001113","Nodes","-82323",21.000000,58.686340,"Default Known Flow Node","Known Flow",492092.801403,218184.247536,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000074","Nodes","74",21.000000,58.711827,"DDS demands","Known Flow",492076.109054,218158.614573,,0.000000,,0.000000,,-3.150000,,,-2.816786,-3.150000,,"",,"C2 PROFILE",,"D1 PROFILE",,
"80061000000080","Nodes","80",21.000000,59.063987,"Default Known Flow Node","Known Flow",491896.734317,217854.608146,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000059","Nodes","59",21.000000,59.081485,"Default Known Flow Node","Known Flow",491841.225592,217767.588879,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000018","Nodes","18",21.000000,61.411137,"DDS demands","Known Flow",492085.065172,217368.555576,,0.000000,-3.420000,,,-14.819999,,,-16.310534,-18.239999,,"","C1 PROFILE",,,"D1 PROFILE",,
"80061000000072","Nodes","72",21.000000,62.919540,"DDS demands","Known Flow",491960.090307,217295.119112,,0.000000,,,,-22.830000,,,-20.414995,-22.830000,,"",,,,"D1 PROFILE",,
"80061000000016","Nodes","16",21.000000,64.356266,"DDS demands","Known Flow",491855.819301,217236.326480,,0.000000,,,,-10.150000,,,-9.076311,-10.150000,,"",,,,"D1 PROFILE",,
"80061000000012","Nodes","12",21.000000,64.641855,"Default Known Flow Node","Known Flow",491832.013988,217245.290324,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000002","Nodes","2, ""WEST END FARM UNITS - 2/""",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",491339.807854,217246.375325,,999998.967025,,,,,,,6.357889,7.109999,,"",,,,,,
"80061000000077","Nodes","77",21.000000,39.755853,"DDS demands","Known Flow",491403.028871,217264.165329,,0.000000,,,,-7.109999,,,-6.357889,-7.109999,,"",,,,"D1 PROFILE",,
"80061000000043","Nodes","43",21.000000,57.549547,"DDS demands","Known Flow",491799.266979,217087.572281,,0.000000,,,,-7.040000,,,-6.295294,-7.040000,,"",,,,"D1 PROFILE",,
"80061000000045","Nodes","45",21.000000,57.441691,"DDS demands","Known Flow",491783.294975,217062.092274,,0.000000,,,,-9.809999,,,-8.772278,-9.809999,,"",,,,"D1 PROFILE",,
"80061000000044","Nodes","44",21.000000,56.911003,"DDS demands","Known Flow",491816.736984,217128.421293,,0.000000,,,,-10.729999,,,-9.594957,-10.729999,,"",,,,"D1 PROFILE",,
"80061000000013","Nodes","13",21.000000,64.352917,"DDS demands","Known Flow",491827.521987,217236.694322,,0.000000,,,,-9.560000,,,-8.548724,-9.560000,,"",,,,"D1 PROFILE",,
"80061000000040","Nodes","40",21.000000,63.010514,"DDS demands","Known Flow",491893.558005,217200.365312,,0.000000,,,,-10.660000,,,-9.532363,-10.660000,,"",,,,"D1 PROFILE",,
"80061000000011","Nodes","11",21.000000,64.942373,"Default Known Flow Node","Known Flow",491836.795989,217255.570327,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000001","Nodes","1, ""CHEDDINGTON - 1/""",21.000000,64.999998,"Default Known Pressure Node","Known Pressure",491834.800989,217256.182327,,999998.967025,,,,,,,514.103758,574.919992,,"",,,,,,
"80061000001106","Nodes","-82284",21.000000,63.712634,"Default Known Flow Node","Known Flow",491906.622008,217363.832357,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061000000041","Nodes","41",21.000000,60.120901,"DDS demands","Known Flow",491855.443702,217160.860139,,0.000000,,,,-4.139999,,,-3.702062,-4.139999,,"",,,,"D1 PROFILE",,
"80061000000042","Nodes","42",21.000000,59.917377,"DDS demands","Known Flow",491779.934974,217186.165308,,0.000000,,,,-4.489999,,,-4.015038,-4.489999,,"",,,,"D1 PROFILE",,
