"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80017100000076","Nodes","76",21.000000,28.878364,"Default Known Flow Node","Known Flow",443209.500000,225703.296875,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100000050","Nodes","50",21.000000,28.922614,"DDS demands","Known Flow",443282.500000,225704.296875,,0.000000,,,-7.199999,-14.369999,,,,,-19.288279,-21.569999,,"",,,"C4 PROFILE","D1 PROFILE",,,,
"80017100000042","Nodes","42",21.000000,39.982230,"DDS demands","Known Flow",443779.000000,225778.406250,,0.000000,,,,-8.640000,,,,,-7.726043,-8.640000,,"",,,,"D1 PROFILE",,,,
"80017100000064","Nodes","64",21.000000,43.822220,"Default Known Flow Node","Known Flow",443963.562500,225808.468750,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100000033","Nodes","33",21.000000,44.443390,"DDS demands","Known Flow",443987.312500,225802.296875,,0.000000,,,-5.300000,-5.749999,,,,,-9.881108,-11.050000,,"",,,"C4 PROFILE","D1 PROFILE",,,,
"80017100000038","Nodes","38",21.000000,43.883819,"DDS demands","Known Flow",443966.906250,225808.593750,,0.000000,,,,-6.220000,,,,,-5.562035,-6.220000,,"",,,,"D1 PROFILE",,,,
"80017100000065","Nodes","65",21.000000,43.886852,"Default Known Flow Node","Known Flow",443963.031250,225826.578125,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100000039","Nodes","39",21.000000,48.050973,"DDS demands","Known Flow",443965.906250,225800.000000,,0.000000,,,,-3.089999,,,,,-2.763133,-3.089999,,"",,,,"D1 PROFILE",,,,
"80017100000011","Nodes","11",21.000000,63.336310,"Default Known Flow Node","Known Flow",443964.531250,225841.453125,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100000012","Nodes","12",21.000000,59.568103,"DDS demands","Known Flow",443942.906250,225865.906250,,0.000000,,,,-1.980000,,,,,-1.770551,-1.980000,,"",,,,"D1 PROFILE",,,,
"80017100000002","Nodes","2, ""HOLLIERS CRESCENT - 2/ OM66""",21.000000,64.999998,"Default Known Pressure Node","Known Pressure",443961.406250,225840.906250,,999998.967025,,,,,,,,,575.572200,643.659977,,"",,,,,,,,
"800171-1003","Nodes","-1003",21.000000,39.623968,"Default Known Flow Node","Known Flow",443735.250000,225834.703125,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100001002","Nodes","1002",21.000000,39.471934,"Default Known Flow Node","Known Flow",443764.437500,225771.828125,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100000046","Nodes","46",21.000000,36.410971,"DDS demands","Known Flow",443678.812500,225748.093750,,0.000000,,,,-21.479998,,,,,-19.207799,-21.479998,,"",,,,"D1 PROFILE",,,,
"800171-1002","Nodes","-1002",21.000000,34.492600,"Default Known Flow Node","Known Flow",443589.781250,225675.093750,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100001001","Nodes","1001",21.000000,34.536433,"Default Known Flow Node","Known Flow",443577.500000,225729.640625,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80017100000049","Nodes","49",21.000000,32.054514,"DDS demands","Known Flow",443472.500000,225775.093750,,0.000000,,,,-25.459998,,-11.159999,,,-32.746258,-36.619998,,"",,,,"D1 PROFILE",,"I2 PROFILE",,
"80017100000067","Nodes","67",21.000000,30.327975,"Default Known Flow Node","Known Flow",443398.093750,226237.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
