"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"80007900000261","Nodes","261",21.000000,44.479801,"Default Known Flow Node","Known Flow",444963.477182,216474.264535,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80007900000197","Nodes","197",21.000000,44.359763,"Default Known Flow Node","Known Flow",444948.523557,216453.111878,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80007900000208","Nodes","208",21.000000,43.604403,"DDS demands","Known Flow",445108.226247,216329.619724,,0.000000,,,,-19.249999,,,,-17.213693,-19.249999,,"",,,,"C4 PROFILE",,,
"80007900000289","Nodes","289",21.000000,31.513585,"Default Known Flow Node","Known Flow",445180.812782,216968.788641,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80007900000068","Nodes","68",21.000000,31.469764,"Default Known Flow Node","Known Flow",445124.780608,216937.028061,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80007900000073","Nodes","73",21.000000,31.469764,"DDS demands","Known Flow",445124.092241,216935.651328,,0.000000,,,,,-7.510000,,,-6.715576,-7.510000,,"",,,,,"D1 PROFILE",,
"80007900000064","Nodes","64",21.000000,31.519585,"DDS demands","Known Flow",445137.356433,216927.077229,,0.000000,,,,,-7.620000,,,-6.813940,-7.620000,,"",,,,,"D1 PROFILE",,
"80007900000143","Nodes","143",21.000000,30.914903,"DDS demands","Known Flow",444528.190508,216831.537706,,0.000000,,,,,-4.060000,,,-3.630524,-4.060000,,"",,,,,"D1 PROFILE",,
"80007900000288","Nodes","288",21.000000,31.100994,"Default Known Flow Node","Known Flow",444539.519008,216842.721894,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80007900000124","Nodes","124",21.000000,31.066635,"DDS demands","Known Flow",444536.921390,216845.463824,,0.000000,,,,,-13.520000,,,-12.089825,-13.520000,,"",,,,,"D1 PROFILE",,
