"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"800044-2345","Nodes","-2345",21.000000,30.012908,"Default Known Flow Node","Known Flow",451660.905000,167408.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400002816","Nodes","2816",21.000000,36.848446,"DDS demands","Known Flow",448206.030000,165966.695000,,0.000000,,,,,,,-12.629999,,,,,,,,-11.293970,-12.629999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400001125","Nodes","1125",21.000000,30.887034,"Default Known Flow Node","Known Flow",447813.405000,167961.695000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400009014","Nodes","9014,",21.000000,29.806900,"DDS demands","Known Flow",447164.467500,167271.820000,,0.000000,-5.010000,,,,,,,,,,,,,,-4.480031,-5.010000,,"","C1 PROFILE",,,,,,,,,,,,,
"800044-974128","Nodes","-974128",21.000000,32.461864,"Default Known Flow Node","Known Flow",447561.530000,166454.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400002143","Nodes","2143",21.000000,35.326449,"DDS demands","Known Flow",447559.405000,168430.320000,,0.000000,,-133.609996,,,,,0.000000,,,,,,,,-119.476438,-133.609996,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,,
"800044-742","Nodes","-742",21.000000,32.685978,"Default Known Flow Node","Known Flow",447535.842500,166619.523125,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1400909","Nodes","-1400909",21.000000,28.412019,"Default Known Flow Node","Known Flow",452044.530000,167825.320000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400003414","Nodes","3414",21.000000,37.875557,"DDS demands","Known Flow",448902.280000,167408.945000,,0.000000,,,,,,,-8.189999,,,,,,,,-7.323643,-8.189999,,"",,,,,,,"D1 PROFILE",,,,,,,
"800044-189","Nodes","-189",21.000000,33.452710,"Default Known Flow Node","Known Flow",446384.217500,165548.523125,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1464501","Nodes","-1464501",21.000000,37.757739,"Default Known Flow Node","Known Flow",448004.655000,167060.726250,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-2410","Nodes","-2410",21.000000,28.749101,"Default Known Flow Node","Known Flow",452241.530000,167677.585625,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400003278","Nodes","3278",21.000000,27.670404,"Default Known Flow Node","Known Flow",451644.030000,168407.570000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1949","Nodes","-1949",21.000000,31.997278,"Default Known Flow Node","Known Flow",451079.280000,168166.070000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400000526","Nodes","526, 72053/01, ""FORMER NEWBURY COLLEGE, OXFORD RD"", 82.16",27.000000,31.757841,"CSEP DDS Matched","Known Flow",446733.655000,167932.195000,,0.000000,,,,,,,-7.580000,-82.160002,,,,,,,-80.247106,-89.740001,,"",,,,,,,"D1 PROFILE","DC PROFILE",,,,,,
"800044-187","Nodes","-187",21.000000,33.452710,"Default Known Flow Node","Known Flow",446405.186250,165537.507500,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-1463752","Nodes","-1463752",21.000000,33.584225,"Default Known Flow Node","Known Flow",446390.405000,165506.366875,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-286870","Nodes","-286870",21.000000,32.371613,"Default Known Flow Node","Known Flow",452459.405000,167036.195000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400000772","Nodes","772",21.000000,34.487837,"DDS demands","Known Flow",450589.030000,167852.195000,,0.000000,,,,,,,-0.920000,,,,,,,,-0.822680,-0.920000,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400009009","Nodes","9009",21.000000,30.845506,"Default Known Flow Node","Known Flow",446830.530000,165999.320000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-459363","Nodes","-459363",21.000000,33.249677,"Default Known Flow Node","Known Flow",451113.780000,167926.570000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400009297","Nodes","9297",21.000000,39.845903,"DDS demands","Known Flow",447458.905000,168543.320000,,0.000000,-414.239995,,,,,,,,,,,,,,-370.420766,-414.239995,,"","C1 PROFILE",,,,,,,,,,,,,
"800044-1463902","Nodes","-1463902",21.000000,67.953202,"Default Known Flow Node","Known Flow",447622.905000,167445.695000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"800044-4904946","Nodes","-4904946",21.000000,36.023009,"Default Known Flow Node","Known Flow",450255.655000,167482.320000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400002526","Nodes","2526",21.000000,38.737701,"Default Known Flow Node","Known Flow",448233.405000,167246.195000,,0.000000,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"","C1 PROFILE",,,,,,,,,,,,,
"800044-1464085","Nodes","-1464085",21.000000,41.427612,"Default Known Flow Node","Known Flow",448542.717500,166916.913750,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400001127","Nodes","1127",21.000000,31.693698,"Default Known Flow Node","Known Flow",445730.530000,167913.070000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
