"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"80007300004063","Nodes","4063,",21.000000,21.422312,"DDS demands","Known Flow",453160.859465,201224.697965,,0.000000,,,,,,-4.650000,,,,,,,,-4.158113,-4.650000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300002114","Nodes","2114,",21.000000,32.997235,"DDS demands","Known Flow",453076.580442,205620.208161,,0.000000,,-11.449999,,,,,,,,,,,,-10.238795,-11.449999,,,"",,"C2 PROFILE",,,,,,,,,,,,
"80007300909294","Nodes","909294,",21.000000,33.000397,"Default Known Flow Node","Known Flow",453084.180363,205627.886181,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300004068","Nodes","P07114688, Rosemary Court, 22.5",22.999998,30.917749,"CSEP DDS Matched","Known Flow",452834.588901,205179.822768,,0.000000,,,,,-4.600000,,-17.899999,,,,,,,-20.119903,-22.499999,,,"",,,,,"CC PROFILE",,"DC PROFILE",,,,,,,
"80007300001972","Nodes","1972,",21.000000,32.929649,"DDS demands","Known Flow",456358.265335,207369.208637,,0.000000,-102.540000,,,,,,,,,,,,,-91.693101,-102.540000,,,"","C1 PROFILE",,,,,,,,,,,,,
"80007300909295","Nodes","909295,",21.000000,32.560085,"Default Known Flow Node","Known Flow",456527.560293,207402.417314,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300001973","Nodes","1973,",21.000000,32.549287,"Default Known Flow Node","Known Flow",456534.025263,207403.787011,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300003036","Nodes","3036,",21.000000,30.835972,"DDS demands","Known Flow",456317.634171,207402.123881,,0.000000,,,,,,-3.710000,,,,,,,,-3.317548,-3.710000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300909291","Nodes","909291,",21.000000,26.658270,"DDS demands","Known Flow",456383.852941,207509.566850,,0.000000,,,,,,-6.260000,,,,,,,,-5.597804,-6.260000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300001974","Nodes","1974,",21.000000,30.862029,"Default Known Flow Node","Known Flow",456554.640389,207474.208666,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300001048","Nodes","1048,",21.000000,34.992910,"Default Known Flow Node","Known Flow",454195.389747,203160.457492,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300909293","Nodes","909293,",21.000000,34.969374,"Default Known Flow Node","Known Flow",454190.623791,203162.855346,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300001050","Nodes","1050,",21.000000,34.603000,"Default Known Flow Node","Known Flow",454097.889720,203208.082505,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300001223","Nodes","1223,",21.000000,38.781571,"DDS demands","Known Flow",455216.226024,202595.409338,,0.000000,,,,,,-3.790000,,,,,,,,-3.389085,-3.790000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300909314","Nodes","909314,",21.000000,38.738580,"Default Known Flow Node","Known Flow",455189.822017,202571.966332,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300909182","Nodes","909182,",21.000000,33.004114,"Default Known Flow Node","Known Flow",452721.235346,205752.951197,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300002773","Nodes","2773,",21.000000,33.063422,"DDS demands","Known Flow",452696.673231,205764.416520,,0.000000,-5.800000,,,,,-5.530000,,,,,,,,-10.131489,-11.330000,,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,,,,
"80007300909202","Nodes","909202,",21.000000,42.298666,"Default Known Flow Node","Known Flow",452881.844738,204806.123500,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300906920","Nodes","906920,",21.000000,41.975236,"Default Known Flow Node","Known Flow",452870.282609,204831.591307,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300001007","Nodes","1007,",21.000000,38.081514,"DDS demands","Known Flow",454058.812501,203727.677699,,0.000000,,,,,,-4.179999,,,,,,,,-3.737830,-4.179999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300000982","Nodes","982,",21.000000,38.248043,"DDS demands","Known Flow",454058.105296,203743.706108,,0.000000,,,,,,-3.039999,,,,,,,,-2.718422,-3.039999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300001005","Nodes","1005,",21.000000,37.756038,"DDS demands","Known Flow",454059.762888,203695.986918,,0.000000,,,,,,-1.269999,,,,,,,,-1.135656,-1.269999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300004143","Nodes","4143,",21.000000,37.729514,"DDS demands","Known Flow",454047.889707,203693.457637,,0.000000,,,,,,-2.140000,,,,,,,,-1.913626,-2.140000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300001004","Nodes","1004,",21.000000,37.498189,"DDS demands","Known Flow",454060.889710,203674.832632,,0.000000,-1.190000,,,,,-25.040000,,,,,,,,-23.455335,-26.229999,,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,,,,
"80007300006019","Nodes","6019,",21.000000,35.321230,"DDS demands","Known Flow",452857.144831,203673.955685,,0.000000,,,,,,-36.839999,,,,,,,,-32.942987,-36.839999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300006060","Nodes","6060,",21.000000,36.091216,"DDS demands","Known Flow",452731.764348,203680.582633,,0.000000,,,,,,-1.450000,,,,,,,,-1.296616,-1.450000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300004296","Nodes","4296,",21.000000,35.686232,"DDS demands","Known Flow",452729.015553,203593.707629,,0.000000,,,,,,-12.440000,,,,,,,,-11.124070,-12.440000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300000213","Nodes","213,",21.000000,36.175068,"DDS demands","Known Flow",452733.264349,203688.582635,,0.000000,,,,,,-2.689999,,,,,,,,-2.405446,-2.689999,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300000476","Nodes","476,",21.000000,32.921140,"DDS demands","Known Flow",452805.297405,205713.563672,,0.000000,-9.580000,,,-1.440000,,-1.279999,,,,,,,,-10.998880,-12.300000,,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,,,,
"80007300006044","Nodes","P07116231, Dynham Place, 7.11",22.999998,33.296424,"CSEP DDS Matched","Known Flow",454805.074913,206193.724317,,0.000000,,,,,,,-7.109999,,,,,,,-6.357889,-7.109999,,,"",,,,,,,"DC PROFILE",,,,,,,
"80007300002540","Nodes","2540,",21.000000,32.950883,"DDS demands","Known Flow",452847.688528,205693.337831,,0.000000,,,,,,-1.090000,,,,,,,,-0.974697,-1.090000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300002544","Nodes","2544,",21.000000,34.418543,"DDS demands","Known Flow",452335.000569,205924.966478,,0.000000,,,,-4.230000,,-9.829999,,,,,,,,-12.572703,-14.059999,,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,,,,
"80007300003057","Nodes","3057,",21.000000,34.821803,"Default Known Flow Node","Known Flow",452423.124481,205878.556241,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300002792","Nodes","2792,",21.000000,34.955279,"DDS demands","Known Flow",452457.787238,205867.785957,,0.000000,-6.289999,,,-8.250000,,-20.729999,,,,,,,,-31.539064,-35.269998,,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,,,,,
"80007300000289","Nodes","289,",21.000000,45.857284,"DDS demands","Known Flow",453417.639535,206576.833421,,0.000000,,,,,,-5.420000,,,,,,,,-4.846660,-5.420000,,,"",,,,,,"D1 PROFILE",,,,,,,,
"80007300908706","Nodes","908706,",21.000000,30.540190,"Default Known Flow Node","Known Flow",456548.890387,207491.333670,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,
"80007300002841","Nodes","P00027235, Merewood Avenue, 107.07",25.000000,30.437984,"CSEP DDS Matched","Known Flow",456550.765388,207493.083671,,0.000000,,,,,-37.200001,,-69.870002,,,,,,,-95.743917,-107.070005,,,"",,,,,"CC PROFILE",,"DC PROFILE",,,,,,,
